dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,0.000000,0.000000,0.000001,0.000482,0.096327,19.265494,0.000000
0.005000,0.000000,0.000000,0.000006,0.001445,0.192655,19.265494,0.000000
0.005000,0.000001,-0.000000,0.000017,0.002890,0.288982,19.265494,6.283185
0.005000,0.000020,-0.000000,0.000036,0.004816,0.385310,19.265494,6.283185
0.005000,0.000050,-0.000000,0.000066,0.007225,0.481637,19.265494,6.283185
0.005000,0.000093,-0.000000,0.000110,0.010114,0.577965,19.265494,6.283185
0.005000,0.000152,-0.000000,0.000169,0.013486,0.674292,19.265494,6.283185
0.005000,0.000229,-0.000000,0.000246,0.017339,0.770620,19.265494,6.283185
0.005000,0.000327,-0.000000,0.000343,0.021674,0.866947,19.265494,6.283185
0.005000,0.000447,-0.000000,0.000464,0.026490,0.963275,19.265494,6.283185
0.005000,0.000593,-0.000000,0.000609,0.031788,1.059602,19.265494,6.283185
0.005000,0.000766,-0.000000,0.000783,0.037568,1.155930,19.265494,6.283185
0.005000,0.000970,-0.000000,0.000986,0.043829,1.252257,19.265494,6.283185
0.005000,0.001206,-0.000000,0.001222,0.050572,1.348585,19.265494,6.283185
0.005000,0.001477,-0.000000,0.001493,0.057796,1.444912,19.265494,6.283185
0.005000,0.001785,-0.000000,0.001801,0.065503,1.541240,19.265494,6.283185
0.005000,0.002133,-0.000000,0.002149,0.073691,1.637567,19.265494,6.283185
0.005000,0.002523,-0.000000,0.002539,0.082360,1.733894,19.265494,6.283185
0.005000,0.002958,-0.000000,0.002974,0.091511,1.830222,19.265494,6.283185
0.005000,0.003439,-0.000000,0.003456,0.101144,1.926549,19.265494,6.283185
0.005000,0.003970,-0.000000,0.003987,0.111258,2.022877,19.265494,6.283185
0.005000,0.004553,-0.000000,0.004570,0.121854,2.119204,19.265494,6.283185
0.005000,0.005190,-0.000000,0.005206,0.132932,2.215532,19.265494,6.283185
0.005000,0.005884,-0.000000,0.005900,0.144491,2.311859,19.265494,6.283185
0.005000,0.006636,-0.000000,0.006653,0.156532,2.408187,19.265494,6.283185
0.005000,0.007450,-0.000000,0.007467,0.169055,2.504514,19.265494,6.283185
0.005000,0.008328,-0.000000,0.008344,0.182059,2.600842,19.265494,6.283185
0.005000,0.009272,-0.000000,0.009288,0.195545,2.697169,19.265494,6.283185
0.005000,0.010285,-0.000000,0.010301,0.209512,2.793497,19.265494,6.283185
0.005000,0.011368,-0.000000,0.011385,0.223961,2.889824,19.265494,6.283185
0.005000,0.012526,-0.000000,0.012542,0.238892,2.986152,19.265494,6.283185
0.005000,0.013759,-0.000000,0.013775,0.254305,3.082479,19.265494,6.283185
0.005000,0.015070,-0.000000,0.015086,0.270199,3.178806,19.265494,6.283185
0.005000,0.016462,-0.000000,0.016478,0.286574,3.275134,19.265494,6.283185
0.005000,0.017937,-0.000000,0.017953,0.303432,3.371461,19.265494,6.283185
0.005000,0.019497,-0.000000,0.019514,0.320770,3.467789,19.265494,6.283185
0.005000,0.021146,-0.000000,0.021162,0.338591,3.564116,19.265494,6.283185
0.005000,0.022884,-0.000000,0.022901,0.356893,3.660444,19.265494,6.283185
0.005000,0.024716,-0.000000,0.024732,0.375677,3.756771,19.265494,6.283185
0.005000,0.026642,-0.000000,0.026659,0.394943,3.853099,19.265494,6.283185
0.005000,0.028666,-0.000000,0.028683,0.414690,3.949426,19.265494,6.283185
0.005000,0.030790,-0.000000,0.030807,0.434919,4.045754,19.265494,6.283185
0.005000,0.033017,-0.000000,0.033033,0.455629,4.142081,19.265494,6.283185
0.005000,0.035348,-0.000000,0.035364,0.476821,4.238409,19.265494,6.283185
0.005000,0.037786,-0.000000,0.037803,0.498495,4.334736,19.265494,6.283185
0.005000,0.040334,-0.000000,0.040350,0.520650,4.431064,19.265494,6.283185
0.005000,0.042994,-0.000000,0.043010,0.543287,4.527391,19.265494,6.283185
0.005000,0.045768,-0.000000,0.045784,0.566406,4.623719,19.265494,6.283185
0.005000,0.048659,-0.000000,0.048675,0.590006,4.720046,19.265494,6.283185
0.005000,0.051669,-0.000000,0.051686,0.614088,4.816373,19.265494,6.283185
0.005000,0.054801,-0.000000,0.054818,0.638651,4.912701,19.265494,6.283185
0.005000,0.058057,-0.000000,0.058073,0.663696,5.009028,19.265494,6.283185
0.005000,0.061439,-0.000000,0.061456,0.689223,5.105356,19.265494,6.283185
0.005000,0.064951,-0.000000,0.064967,0.715231,5.201683,19.265494,6.283185
0.005000,0.068593,-0.000000,0.068609,0.741722,5.298011,19.265494,6.283185
0.005000,0.072369,-0.000000,0.072385,0.768693,5.394338,19.265494,6.283185
0.005000,0.076281,-0.000000,0.076297,0.796147,5.490666,19.265494,6.283185
0.005000,0.080332,-0.000000,0.080348,0.824081,5.586993,19.265494,6.283185
0.005000,0.084523,-0.000000,0.084539,0.852498,5.683321,19.265494,6.283185
0.005000,0.088858,-0.000000,0.088874,0.881396,5.779648,19.265494,6.283185
0.005000,0.093338,-0.000000,0.093355,0.910776,5.875976,19.265494,6.283185
0.005000,0.097967,-0.000000,0.097983,0.940638,5.972303,19.265494,6.283185
0.005000,0.102746,-0.000000,0.102762,0.970981,6.068631,19.265494,6.283185
0.005000,0.107677,-0.000000,0.107693,1.001324,6.068631,-0.000000,6.283185
0.005000,0.112759,-0.000000,0.112775,1.031667,6.068631,0.000000,6.283185
0.005000,0.117993,-0.000000,0.118010,1.062010,6.068631,-0.000000,6.283185
0.005000,0.123379,-0.000000,0.123395,1.092353,6.068631,0.000000,6.283185
0.005000,0.128917,-0.000000,0.128933,1.122697,6.068631,0.000000,6.283185
0.005000,0.134606,-0.000000,0.134622,1.153040,6.068631,-0.000000,6.283185
0.005000,0.140447,-0.000000,0.140464,1.183383,6.068631,0.000000,6.283185
0.005000,0.146440,-0.000000,0.146456,1.213726,6.068631,-0.000000,6.283185
0.005000,0.152585,-0.000000,0.152601,1.244069,6.068631,0.000000,6.283185
0.005000,0.158881,-0.000000,0.158897,1.274412,6.068631,-0.000000,6.283185
0.005000,0.165329,-0.000000,0.165345,1.304756,6.068631,0.000000,6.283185
0.005000,0.171928,-0.000000,0.171945,1.335099,6.068631,0.000000,6.283185
0.005000,0.178680,-0.000000,0.178696,1.365442,6.068631,0.000000,6.283185
0.005000,0.185583,-0.000000,0.185599,1.395785,6.068631,-0.000000,6.283185
0.005000,0.192636,-0.000000,0.192653,1.425647,5.972303,-19.265494,6.283185
0.005000,0.199838,-0.000000,0.199854,1.455026,5.875976,-19.265494,6.283185
0.005000,0.207185,-0.000000,0.207202,1.483925,5.779648,-19.265494,6.283185
0.005000,0.214676,-0.000000,0.214692,1.512341,5.683321,-19.265494,6.283185
0.005000,0.222308,-0.000000,0.222324,1.540276,5.586993,-19.265494,6.283185
0.005000,0.230078,-0.000000,0.230094,1.567730,5.490666,-19.265494,6.283185
0.005000,0.237984,-0.000000,0.238000,1.594701,5.394338,-19.265494,6.283185
0.005000,0.246023,-0.000000,0.246040,1.621191,5.298011,-19.265494,6.283185
0.005000,0.254194,-0.000000,0.254211,1.647200,5.201683,-19.265494,6.283185
0.005000,0.262494,-0.000000,0.262510,1.672727,5.105356,-19.265494,6.283185
0.005000,0.270920,-0.000000,0.270937,1.697772,5.009028,-19.265494,6.283185
0.005000,0.279471,-0.000000,0.279487,1.722335,4.912701,-19.265494,6.283185
0.005000,0.288143,-0.000000,0.288159,1.746417,4.816373,-19.265494,6.283185
0.005000,0.296934,-0.000000,0.296950,1.770017,4.720046,-19.265494,6.283185
0.005000,0.305842,-0.000000,0.305858,1.793136,4.623719,-19.265494,6.283185
0.005000,0.314864,-0.000000,0.314880,1.815773,4.527391,-19.265494,6.283185
0.005000,0.323998,-0.000000,0.324014,1.837928,4.431064,-19.265494,6.283185
0.005000,0.333242,-0.000000,0.333258,1.859602,4.334736,-19.265494,6.283185
0.005000,0.342593,-0.000000,0.342609,1.880794,4.238409,-19.265494,6.283185
0.005000,0.352049,-0.000000,0.352065,1.901504,4.142081,-19.265494,6.283185
0.005000,0.361607,-0.000000,0.361623,1.921733,4.045754,-19.265494,6.283185
0.005000,0.371265,-0.000000,0.371281,1.941480,3.949426,-19.265494,6.283185
0.005000,0.381020,-0.000000,0.381037,1.960746,3.853099,-19.265494,6.283185
0.005000,0.390871,-0.000000,0.390887,1.979529,3.756771,-19.265494,6.283185
0.005000,0.400814,-0.000000,0.400831,1.997832,3.660444,-19.265494,6.283185
0.005000,0.410848,-0.000000,0.410864,2.015652,3.564116,-19.265494,6.283185
0.005000,0.420970,-0.000000,0.420986,2.032991,3.467789,-19.265494,6.283185
0.005000,0.431177,-0.000000,0.431193,2.049849,3.371461,-19.265494,6.283185
0.005000,0.441467,-0.000000,0.441483,2.066224,3.275134,-19.265494,6.283185
0.005000,0.451838,-0.000000,0.451854,2.082118,3.178806,-19.265494,6.283185
0.005000,0.462287,-0.000000,0.462303,2.097531,3.082479,-19.265494,6.283185
0.005000,0.472812,-0.000000,0.472828,2.112461,2.986152,-19.265494,6.283185
0.005000,0.483410,-0.000000,0.483427,2.126911,2.889824,-19.265494,6.283185
0.005000,0.494080,-0.000000,0.494096,2.140878,2.793497,-19.265494,6.283185
0.005000,0.504818,-0.000000,0.504834,2.154364,2.697169,-19.265494,6.283185
0.005000,0.515622,-0.000000,0.515639,2.167368,2.600842,-19.265494,6.283185
0.005000,0.526490,-0.000000,0.526507,2.179891,2.504514,-19.265494,6.283185
0.005000,0.537420,-0.000000,0.537436,2.191932,2.408187,-19.265494,6.283185
0.005000,0.548409,-0.000000,0.548425,2.203491,2.311859,-19.265494,6.283185
0.005000,0.559454,-0.000000,0.559470,2.214569,2.215532,-19.265494,6.283185
0.005000,0.570553,-0.000000,0.570569,2.225165,2.119204,-19.265494,6.283185
0.005000,0.581704,-0.000000,0.581720,2.235279,2.022877,-19.265494,6.283185
0.005000,0.592905,-0.000000,0.592921,2.244912,1.926549,-19.265494,6.283185
