dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,0.000000,0.000000,0.000001,0.000486,0.097188,19.437628,3.141572
0.005000,0.000000,0.000000,0.000006,0.001458,0.194376,19.437628,3.141578
0.005000,0.000000,0.000000,0.000017,0.002916,0.291564,19.437628,3.141593
0.005000,-0.000019,-0.000000,0.000036,0.004859,0.388753,19.437628,3.141618
0.005000,-0.000050,-0.000000,0.000067,0.007289,0.485941,19.437628,3.141659
0.005000,-0.000093,-0.000000,0.000111,0.010205,0.583129,19.437628,3.141717
0.005000,-0.000153,-0.000000,0.000170,0.013606,0.680317,19.437628,3.141796
0.005000,-0.000231,-0.000000,0.000248,0.017494,0.777505,19.437628,3.141899
0.005000,-0.000329,-0.000000,0.000346,0.021867,0.874693,19.437628,3.142029
0.005000,-0.000451,-0.000000,0.000468,0.026727,0.971881,19.437628,3.142191
0.005000,-0.000598,-0.000000,0.000615,0.032072,1.069070,19.437628,3.142386
0.005000,-0.000773,-0.000000,0.000790,0.037903,1.166258,19.437628,3.142619
0.005000,-0.000978,-0.000001,0.000995,0.044221,1.263446,19.437628,3.142892
0.005000,-0.001216,-0.000001,0.001233,0.051024,1.360634,19.437628,3.143209
0.005000,-0.001489,-0.000001,0.001506,0.058313,1.457822,19.437628,3.143574
0.005000,-0.001800,-0.000002,0.001817,0.066088,1.555010,19.437628,3.143989
0.005000,-0.002151,-0.000003,0.002169,0.074349,1.652198,19.437628,3.144458
0.005000,-0.002545,-0.000004,0.002562,0.083096,1.749387,19.437628,3.144985
0.005000,-0.002984,-0.000006,0.003001,0.092329,1.846575,19.437628,3.145573
0.005000,-0.003470,-0.000008,0.003487,0.102048,1.943763,19.437628,3.146225
0.005000,-0.004005,-0.000011,0.004022,0.112252,2.040951,19.437628,3.146946
0.005000,-0.004593,-0.000014,0.004610,0.122943,2.138139,19.437628,3.147739
0.005000,-0.005236,-0.000018,0.005253,0.134120,2.235327,19.437628,3.148607
0.005000,-0.005936,-0.000024,0.005953,0.145782,2.332515,19.437628,3.149556
0.005000,-0.006695,-0.000030,0.006712,0.157931,2.429703,19.437628,3.150588
0.005000,-0.007516,-0.000038,0.007533,0.170565,2.526892,19.437628,3.151707
0.005000,-0.008402,-0.000047,0.008419,0.183686,2.624080,19.437628,3.152918
0.005000,-0.009354,-0.000059,0.009371,0.197292,2.721268,19.437628,3.154225
0.005000,-0.010376,-0.000072,0.010393,0.211384,2.818456,19.437628,3.155633
0.005000,-0.011469,-0.000089,0.011486,0.225962,2.915644,19.437628,3.157145
0.005000,-0.012636,-0.000108,0.012654,0.241027,3.012832,19.437628,3.158768
0.005000,-0.013880,-0.000130,0.013898,0.256577,3.110020,19.437628,3.160504
0.005000,-0.015203,-0.000156,0.015221,0.272613,3.207209,19.437628,3.162360
0.005000,-0.016607,-0.000187,0.016625,0.289135,3.304397,19.437628,3.164341
0.005000,-0.018095,-0.000222,0.018113,0.306143,3.401585,19.437628,3.166451
0.005000,-0.019668,-0.000263,0.019688,0.323637,3.498773,19.437628,3.168698
0.005000,-0.021331,-0.000310,0.021351,0.341616,3.595961,19.437628,3.171086
0.005000,-0.023084,-0.000364,0.023105,0.360082,3.693149,19.437628,3.173621
0.005000,-0.024931,-0.000426,0.024953,0.379034,3.790337,19.437628,3.176311
0.005000,-0.026874,-0.000496,0.026897,0.398471,3.887526,19.437628,3.179161
0.005000,-0.028914,-0.000576,0.028939,0.418395,3.984714,19.437628,3.182179
0.005000,-0.031055,-0.000666,0.031082,0.438804,4.081902,19.437628,3.185372
0.005000,-0.033299,-0.000768,0.033328,0.459700,4.179090,19.437628,3.188747
0.005000,-0.035648,-0.000883,0.035680,0.481081,4.276278,19.437628,3.192314
0.005000,-0.038105,-0.001013,0.038140,0.502949,4.373466,19.437628,3.196079
0.005000,-0.040672,-0.001158,0.040711,0.525302,4.470654,19.437628,3.200053
0.005000,-0.043350,-0.001320,0.043395,0.548141,4.567843,19.437628,3.204245
0.005000,-0.046143,-0.001502,0.046194,0.571466,4.665031,19.437628,3.208664
0.005000,-0.049053,-0.001704,0.049110,0.595277,4.762219,19.437628,3.213321
0.005000,-0.052082,-0.001929,0.052148,0.619574,4.859407,19.437628,3.218227
0.005000,-0.055232,-0.002179,0.055307,0.644357,4.956595,19.437628,3.223394
0.005000,-0.058505,-0.002456,0.058592,0.669626,5.053783,19.437628,3.228834
0.005000,-0.061904,-0.002763,0.062005,0.695381,5.150971,19.437628,3.234561
0.005000,-0.065430,-0.003103,0.065547,0.721622,5.248160,19.437628,3.240587
0.005000,-0.069086,-0.003478,0.069222,0.748349,5.345348,19.437628,3.246927
0.005000,-0.072873,-0.003891,0.073032,0.775561,5.442536,19.437628,3.253598
0.005000,-0.076794,-0.004346,0.076979,0.803260,5.539724,19.437628,3.260614
0.005000,-0.080850,-0.004846,0.081066,0.831445,5.636912,19.437628,3.267994
0.005000,-0.085043,-0.005395,0.085295,0.860115,5.734100,19.437628,3.275755
0.005000,-0.089375,-0.005998,0.089668,0.889271,5.831288,19.437628,3.283917
0.005000,-0.093847,-0.006658,0.094189,0.918914,5.928476,19.437628,3.292500
0.005000,-0.098460,-0.007381,0.098859,0.949042,6.025665,19.437628,3.301526
0.005000,-0.103217,-0.008171,0.103680,0.979656,6.122853,19.437628,3.311016
0.005000,-0.108117,-0.009035,0.108656,1.010757,6.220041,19.437628,3.320995
0.005000,-0.113163,-0.009977,0.113789,1.042343,6.317229,19.437628,3.331487
0.005000,-0.118354,-0.011004,0.119081,1.074415,6.414417,19.437628,3.342518
0.005000,-0.123691,-0.012124,0.124534,1.106973,6.511605,19.437628,3.354116
0.005000,-0.129175,-0.013342,0.130152,1.140017,6.608793,19.437628,3.366308
0.005000,-0.134805,-0.014667,0.135936,1.173547,6.705982,19.437628,3.379124
0.005000,-0.140581,-0.016106,0.141889,1.207563,6.803170,19.437628,3.392593
0.005000,-0.146502,-0.017669,0.148013,1.242064,6.900358,19.437628,3.406747
0.005000,-0.152568,-0.019364,0.154310,1.277052,6.997546,19.437628,3.421617
0.005000,-0.158775,-0.021202,0.160784,1.312526,7.094734,19.437628,3.437233
0.005000,-0.165123,-0.023192,0.167437,1.348485,7.191922,19.437628,3.453628
0.005000,-0.171608,-0.025346,0.174270,1.384931,7.289110,19.437628,3.470831
0.005000,-0.178226,-0.027673,0.181286,1.421377,7.289110,-0.000000,3.488869
0.005000,-0.184971,-0.030187,0.188484,1.457822,7.289110,0.000000,3.507762
0.005000,-0.191836,-0.032897,0.195864,1.494268,7.289110,-0.000000,3.527527
0.005000,-0.198812,-0.035816,0.203427,1.530713,7.289110,0.000000,3.548177
0.005000,-0.205892,-0.038954,0.211172,1.567159,7.289110,-0.000000,3.569721
0.005000,-0.213066,-0.042326,0.219099,1.603604,7.289110,0.000000,3.592160
0.005000,-0.220324,-0.045942,0.227208,1.640050,7.289110,-0.000000,3.615487
0.005000,-0.227655,-0.049814,0.235499,1.676495,7.289110,0.000000,3.639689
0.005000,-0.235048,-0.053955,0.243973,1.712941,7.289110,-0.000000,3.664740
0.005000,-0.242490,-0.058376,0.252628,1.749387,7.289110,-0.000000,3.690607
0.005000,-0.249967,-0.063088,0.261466,1.785832,7.289110,0.000000,3.717241
0.005000,-0.257465,-0.068101,0.270487,1.822278,7.289110,0.000000,3.744584
0.005000,-0.264971,-0.073425,0.279689,1.858723,7.289110,0.000000,3.772564
0.005000,-0.272468,-0.079069,0.289074,1.895169,7.289110,-0.000000,3.801098
0.005000,-0.279943,-0.085040,0.298641,1.931614,7.289110,0.000000,3.830089
0.005000,-0.287379,-0.091344,0.308390,1.968060,7.289110,-0.000000,3.859430
0.005000,-0.294762,-0.097986,0.318322,2.004505,7.289110,0.000000,3.889006
0.005000,-0.302076,-0.104970,0.328435,2.040951,7.289110,-0.000000,3.918694
0.005000,-0.309308,-0.112298,0.338731,2.077396,7.289110,0.000000,3.948367
0.005000,-0.316444,-0.119970,0.349209,2.113842,7.289110,0.000000,3.977894
0.005000,-0.323472,-0.127986,0.359869,2.150288,7.289110,-0.000000,4.007146
0.005000,-0.330379,-0.136343,0.370712,2.186733,7.289110,-0.000000,4.035998
0.005000,-0.337157,-0.145038,0.381737,2.223179,7.289110,0.000000,4.064330
0.005000,-0.343797,-0.154066,0.392944,2.259624,7.289110,-0.000000,4.092028
0.005000,-0.350291,-0.163421,0.404333,2.296070,7.289110,0.000000,4.118990
0.005000,-0.356634,-0.173099,0.415904,2.332515,7.289110,-0.000000,4.145124
0.005000,-0.362823,-0.183091,0.427658,2.368961,7.289110,0.000000,4.170349
0.005000,-0.368855,-0.193390,0.439594,2.405406,7.289110,0.000000,4.194595
0.005000,-0.374728,-0.203988,0.451711,2.441366,7.191922,-19.437628,4.217802
0.005000,-0.380443,-0.214875,0.464007,2.476840,7.094734,-19.437628,4.239920
0.005000,-0.386001,-0.226039,0.476478,2.511827,6.997546,-19.437628,4.260908
0.005000,-0.391403,-0.237472,0.489124,2.546329,6.900358,-19.437628,4.280736
0.005000,-0.396655,-0.249163,0.501940,2.580345,6.803170,-19.437628,4.299382
0.005000,-0.401762,-0.261102,0.514926,2.613875,6.705982,-19.437628,4.316831
0.005000,-0.406729,-0.273280,0.528078,2.646919,6.608793,-19.437628,4.333075
