dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,0.000000,0.000000,0.000001,0.000487,0.097349,19.469852,3.141600
0.005000,0.000000,0.000000,0.000006,0.001460,0.194699,19.469852,3.141598
0.005000,0.000000,0.000000,0.000017,0.002920,0.292048,19.469852,3.141594
0.005000,-0.000017,0.000000,0.000037,0.004867,0.389397,19.469852,3.141586
0.005000,-0.000047,0.000000,0.000067,0.007301,0.486746,19.469852,3.141575
0.005000,-0.000091,0.000000,0.000111,0.010222,0.584096,19.469852,3.141558
0.005000,-0.000150,0.000000,0.000170,0.013629,0.681445,19.469852,3.141535
0.005000,-0.000228,0.000000,0.000248,0.017523,0.778794,19.469852,3.141506
0.005000,-0.000327,0.000000,0.000347,0.021904,0.876143,19.469852,3.141468
0.005000,-0.000449,0.000000,0.000468,0.026771,0.973493,19.469852,3.141422
0.005000,-0.000596,0.000000,0.000616,0.032125,1.070842,19.469852,3.141366
0.005000,-0.000771,0.000000,0.000791,0.037966,1.168191,19.469852,3.141300
0.005000,-0.000977,0.000000,0.000997,0.044294,1.265540,19.469852,3.141222
0.005000,-0.001215,0.000000,0.001235,0.051108,1.362890,19.469852,3.141131
0.005000,-0.001489,0.000000,0.001509,0.058410,1.460239,19.469852,3.141027
0.005000,-0.001801,0.000001,0.001820,0.066197,1.557588,19.469852,3.140909
0.005000,-0.002152,0.000001,0.002172,0.074472,1.654937,19.469852,3.140776
0.005000,-0.002546,0.000001,0.002566,0.083234,1.752287,19.469852,3.140627
0.005000,-0.002986,0.000002,0.003006,0.092482,1.849636,19.469852,3.140460
0.005000,-0.003472,0.000002,0.003492,0.102217,1.946985,19.469852,3.140277
0.005000,-0.004009,0.000003,0.004029,0.112438,2.044334,19.469852,3.140074
0.005000,-0.004598,0.000004,0.004618,0.123147,2.141684,19.469852,3.139852
0.005000,-0.005242,0.000005,0.005262,0.134342,2.239033,19.469852,3.139609
0.005000,-0.005943,0.000007,0.005963,0.146024,2.336382,19.469852,3.139345
0.005000,-0.006703,0.000009,0.006723,0.158193,2.433732,19.469852,3.139059
0.005000,-0.007526,0.000011,0.007546,0.170848,2.531081,19.469852,3.138751
0.005000,-0.008413,0.000013,0.008433,0.183990,2.628430,19.469852,3.138418
0.005000,-0.009367,0.000017,0.009387,0.197619,2.725779,19.469852,3.138061
0.005000,-0.010390,0.000020,0.010410,0.211735,2.823129,19.469852,3.137679
0.005000,-0.011486,0.000025,0.011505,0.226337,2.920478,19.469852,3.137271
0.005000,-0.012655,0.000030,0.012675,0.241426,3.017827,19.469852,3.136836
0.005000,-0.013901,0.000036,0.013921,0.257002,3.115176,19.469852,3.136374
