dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,0.000000,0.000000,0.000001,0.000487,0.097396,19.479206,3.141597
0.005000,0.000000,0.000000,0.000006,0.001461,0.194792,19.479206,3.141596
0.005000,0.000000,0.000000,0.000017,0.002922,0.292188,19.479206,3.141593
0.005000,-0.000017,0.000000,0.000037,0.004870,0.389584,19.479206,3.141589
0.005000,-0.000047,0.000000,0.000067,0.007305,0.486980,19.479206,3.141582
0.005000,-0.000091,0.000000,0.000111,0.010227,0.584376,19.479206,3.141572
0.005000,-0.000151,0.000000,0.000170,0.013635,0.681772,19.479206,3.141558
0.005000,-0.000229,0.000000,0.000248,0.017531,0.779168,19.479206,3.141540
0.005000,-0.000327,0.000000,0.000347,0.021914,0.876564,19.479206,3.141517
0.005000,-0.000449,0.000000,0.000469,0.026784,0.973960,19.479206,3.141489
0.005000,-0.000596,0.000000,0.000616,0.032141,1.071356,19.479206,3.141455
0.005000,-0.000772,0.000000,0.000791,0.037984,1.168752,19.479206,3.141414
0.005000,-0.000978,0.000000,0.000997,0.044315,1.266148,19.479206,3.141367
0.005000,-0.001216,0.000000,0.001236,0.051133,1.363544,19.479206,3.141312
0.005000,-0.001490,0.000000,0.001510,0.058438,1.460940,19.479206,3.141249
0.005000,-0.001802,0.000000,0.001821,0.066229,1.558336,19.479206,3.141177
0.005000,-0.002154,0.000001,0.002173,0.074508,1.655733,19.479206,3.141096
0.005000,-0.002548,0.000001,0.002568,0.083274,1.753129,19.479206,3.141005
0.005000,-0.002988,0.000001,0.003007,0.092526,1.850525,19.479206,3.140904
0.005000,-0.003475,0.000001,0.003494,0.102266,1.947921,19.479206,3.140793
0.005000,-0.004011,0.000002,0.004031,0.112492,2.045317,19.479206,3.140670
0.005000,-0.004601,0.000002,0.004620,0.123206,2.142713,19.479206,3.140535
0.005000,-0.005245,0.000003,0.005264,0.134407,2.240109,19.479206,3.140388
0.005000,-0.005946,0.000004,0.005966,0.146094,2.337505,19.479206,3.140228
0.005000,-0.006707,0.000005,0.006726,0.158269,2.434901,19.479206,3.140054
0.005000,-0.007530,0.000007,0.007549,0.170930,2.532297,19.479206,3.139867
0.005000,-0.008417,0.000008,0.008437,0.184078,2.629693,19.479206,3.139666
0.005000,-0.009372,0.000010,0.009391,0.197714,2.727089,19.479206,3.139450
0.005000,-0.010396,0.000012,0.010415,0.211836,2.824485,19.479206,3.139218
0.005000,-0.011491,0.000015,0.011511,0.226446,2.921881,19.479206,3.138972
0.005000,-0.012661,0.000018,0.012681,0.241542,3.019277,19.479206,3.138709
0.005000,-0.013908,0.000022,0.013928,0.257126,3.116673,19.479206,3.138429
0.005000,-0.015234,0.000027,0.015253,0.273196,3.214069,19.479206,3.138133
0.005000,-0.016641,0.000032,0.016661,0.289753,3.311465,19.479206,3.137820
0.005000,-0.018133,0.000037,0.018152,0.306797,3.408861,19.479206,3.137489
0.005000,-0.019710,0.000044,0.019730,0.324329,3.506257,19.479206,3.137141
0.005000,-0.021377,0.000052,0.021397,0.342347,3.603653,19.479206,3.136774
0.005000,-0.023135,0.000061,0.023155,0.360852,3.701049,19.479206,3.136388
0.005000,-0.024987,0.000071,0.025006,0.379845,3.798445,19.479206,3.135984
0.005000,-0.026935,0.000082,0.026954,0.399324,3.895841,19.479206,3.135561
0.005000,-0.028981,0.000095,0.029001,0.419290,3.993237,19.479206,3.135118
0.005000,-0.031129,0.000109,0.031148,0.439743,4.090633,19.479206,3.134657
0.005000,-0.033380,0.000125,0.033400,0.460683,4.188029,19.479206,3.134175
0.005000,-0.035737,0.000144,0.035757,0.482110,4.285425,19.479206,3.133674
0.005000,-0.038202,0.000164,0.038222,0.504024,4.382821,19.479206,3.133153
0.005000,-0.040778,0.000186,0.040798,0.526426,4.480217,19.479206,3.132612
0.005000,-0.043467,0.000211,0.043487,0.549314,4.577613,19.479206,3.132051
0.005000,-0.046272,0.000239,0.046292,0.572689,4.675009,19.479206,3.131470
0.005000,-0.049195,0.000269,0.049215,0.596551,4.772405,19.479206,3.130869
0.005000,-0.052238,0.000303,0.052259,0.620900,4.869802,19.479206,3.130248
0.005000,-0.055405,0.000340,0.055426,0.645736,4.967198,19.479206,3.129607
0.005000,-0.058696,0.000380,0.058718,0.671059,5.064594,19.479206,3.128947
0.005000,-0.062116,0.000425,0.062137,0.696869,5.161990,19.479206,3.128267
0.005000,-0.065666,0.000473,0.065688,0.723166,5.259386,19.479206,3.127567
0.005000,-0.069348,0.000526,0.069370,0.749949,5.356782,19.479206,3.126849
0.005000,-0.073166,0.000584,0.073188,0.777220,5.454178,19.479206,3.126112
0.005000,-0.077121,0.000647,0.077144,0.804978,5.551574,19.479206,3.125356
0.005000,-0.081216,0.000715,0.081239,0.833223,5.648970,19.479206,3.124582
0.005000,-0.085453,0.000788,0.085477,0.861955,5.746366,19.479206,3.123791
0.005000,-0.089835,0.000868,0.089860,0.891174,5.843762,19.479206,3.122983
0.005000,-0.094364,0.000954,0.094390,0.920879,5.941158,19.479206,3.122158
0.005000,-0.099043,0.001047,0.099070,0.951072,6.038554,19.479206,3.121318
0.005000,-0.103874,0.001147,0.103902,0.981752,6.135950,19.479206,3.120462
0.005000,-0.108860,0.001255,0.108889,1.012919,6.233346,19.479206,3.119592
0.005000,-0.114002,0.001370,0.114032,1.044572,6.330742,19.479206,3.118708
0.005000,-0.119304,0.001494,0.119336,1.076713,6.428138,19.479206,3.117811
0.005000,-0.124768,0.001626,0.124801,1.109341,6.525534,19.479206,3.116902
0.005000,-0.130395,0.001768,0.130430,1.142455,6.622930,19.479206,3.115983
0.005000,-0.136190,0.001919,0.136227,1.176057,6.720326,19.479206,3.115053
0.005000,-0.142153,0.002080,0.142192,1.210146,6.817722,19.479206,3.114115
0.005000,-0.148288,0.002252,0.148329,1.244721,6.915118,19.479206,3.113170
0.005000,-0.154596,0.002434,0.154641,1.279784,7.012514,19.479206,3.112218
0.005000,-0.161081,0.002628,0.161128,1.315333,7.109910,19.479206,3.111261
0.005000,-0.167745,0.002833,0.167795,1.351370,7.207306,19.479206,3.110300
0.005000,-0.174589,0.003051,0.174643,1.387893,7.304702,19.479206,3.109338
0.005000,-0.181616,0.003281,0.181674,1.424417,7.304702,-0.000000,3.108375
0.005000,-0.188826,0.003524,0.188887,1.460940,7.304702,0.000000,3.107414
0.005000,-0.196217,0.003780,0.196283,1.497464,7.304702,0.000000,3.106457
0.005000,-0.203791,0.004050,0.203862,1.533987,7.304702,0.000000,3.105505
0.005000,-0.211547,0.004334,0.211623,1.570511,7.304702,0.000000,3.104562
0.005000,-0.219485,0.004632,0.219567,1.607034,7.304702,0.000000,3.103628
0.005000,-0.227606,0.004944,0.227694,1.643558,7.304702,-0.000000,3.102707
0.005000,-0.235909,0.005271,0.236003,1.680082,7.304702,0.000000,3.101800
