dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,0.000000,0.000000,0.000001,0.000485,0.096941,19.388126,0.000012
0.005000,0.000000,0.000000,0.000006,0.001454,0.193881,19.388126,0.000008
0.005000,0.000001,-0.000000,0.000017,0.002908,0.290822,19.388126,6.283184
0.005000,0.000021,-0.000000,0.000036,0.004847,0.387763,19.388126,6.283168
0.005000,0.000051,-0.000000,0.000067,0.007271,0.484703,19.388126,6.283143
0.005000,0.000095,-0.000000,0.000110,0.010179,0.581644,19.388126,6.283107
0.005000,0.000154,-0.000000,0.000170,0.013572,0.678584,19.388126,6.283058
0.005000,0.000232,-0.000000,0.000247,0.017449,0.775525,19.388126,6.282993
0.005000,0.000330,-0.000000,0.000345,0.021812,0.872466,19.388126,6.282912
0.005000,0.000451,-0.000000,0.000467,0.026659,0.969406,19.388126,6.282811
0.005000,0.000598,-0.000000,0.000613,0.031990,1.066347,19.388126,6.282690
0.005000,0.000772,-0.000000,0.000788,0.037807,1.163288,19.388126,6.282545
0.005000,0.000977,-0.000000,0.000992,0.044108,1.260228,19.388126,6.282375
0.005000,0.001214,-0.000001,0.001230,0.050894,1.357169,19.388126,6.282177
0.005000,0.001487,-0.000001,0.001503,0.058164,1.454109,19.388126,6.281950
0.005000,0.001797,-0.000001,0.001813,0.065920,1.551050,19.388126,6.281692
0.005000,0.002147,-0.000002,0.002163,0.074160,1.647991,19.388126,6.281401
0.005000,0.002540,-0.000003,0.002556,0.082884,1.744931,19.388126,6.281073
0.005000,0.002978,-0.000004,0.002993,0.092094,1.841872,19.388126,6.280708
0.005000,0.003462,-0.000005,0.003478,0.101788,1.938813,19.388126,6.280303
0.005000,0.003997,-0.000007,0.004012,0.111966,2.035753,19.388126,6.279856
0.005000,0.004583,-0.000009,0.004599,0.122630,2.132694,19.388126,6.279365
0.005000,0.005224,-0.000011,0.005240,0.133778,2.229634,19.388126,6.278827
0.005000,0.005922,-0.000015,0.005938,0.145411,2.326575,19.388126,6.278240
0.005000,0.006679,-0.000019,0.006695,0.157529,2.423516,19.388126,6.277602
0.005000,0.007499,-0.000023,0.007514,0.170131,2.520456,19.388126,6.276911
0.005000,0.008382,-0.000029,0.008397,0.183218,2.617397,19.388126,6.276164
0.005000,0.009332,-0.000036,0.009348,0.196789,2.714338,19.388126,6.275359
0.005000,0.010351,-0.000045,0.010367,0.210846,2.811278,19.388126,6.274493
0.005000,0.011442,-0.000055,0.011457,0.225387,2.908219,19.388126,6.273563
0.005000,0.012606,-0.000067,0.012622,0.240413,3.005159,19.388126,6.272568
0.005000,0.013847,-0.000080,0.013863,0.255923,3.102100,19.388126,6.271505
0.005000,0.015166,-0.000097,0.015182,0.271918,3.199041,19.388126,6.270370
0.005000,0.016567,-0.000115,0.016583,0.288398,3.295981,19.388126,6.269161
0.005000,0.018051,-0.000137,0.018067,0.305363,3.392922,19.388126,6.267875
0.005000,0.019621,-0.000162,0.019638,0.322812,3.489863,19.388126,6.266510
0.005000,0.021280,-0.000191,0.021297,0.340746,3.586803,19.388126,6.265061
0.005000,0.023029,-0.000224,0.023046,0.359165,3.683744,19.388126,6.263527
0.005000,0.024872,-0.000262,0.024890,0.378068,3.780685,19.388126,6.261903
0.005000,0.026811,-0.000305,0.026828,0.397457,3.877625,19.388126,6.260186
0.005000,0.028847,-0.000353,0.028865,0.417329,3.974566,19.388126,6.258374
0.005000,0.030984,-0.000409,0.031003,0.437687,4.071506,19.388126,6.256461
0.005000,0.033223,-0.000471,0.033243,0.458529,4.168447,19.388126,6.254445
0.005000,0.035568,-0.000541,0.035589,0.479856,4.265388,19.388126,6.252322
0.005000,0.038021,-0.000619,0.038043,0.501668,4.362328,19.388126,6.250087
