dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,0.000000,0.000000,0.000001,0.000482,0.096411,19.282235,0.000000
0.005000,0.000000,0.000000,0.000006,0.001446,0.192822,19.282235,0.000000
0.005000,0.000002,0.000000,0.000017,0.002892,0.289234,19.282235,0.000000
0.005000,0.000022,0.000000,0.000036,0.004821,0.385645,19.282235,0.000000
0.005000,0.000052,0.000000,0.000066,0.007231,0.482056,19.282235,0.000000
0.005000,0.000095,0.000000,0.000110,0.010123,0.578467,19.282235,0.000000
0.005000,0.000154,0.000000,0.000169,0.013498,0.674878,19.282235,0.000000
0.005000,0.000231,0.000000,0.000246,0.017354,0.771289,19.282235,0.000000
0.005000,0.000329,0.000000,0.000343,0.021693,0.867701,19.282235,0.000000
0.005000,0.000450,0.000000,0.000464,0.026513,0.964112,19.282235,0.000000
0.005000,0.000595,0.000000,0.000610,0.031816,1.060523,19.282235,0.000000
0.005000,0.000769,0.000000,0.000783,0.037600,1.156934,19.282235,0.000000
0.005000,0.000973,0.000000,0.000987,0.043867,1.253345,19.282235,0.000000
0.005000,0.001209,0.000000,0.001223,0.050616,1.349756,19.282235,0.000000
0.005000,0.001480,0.000000,0.001494,0.057847,1.446168,19.282235,0.000000
0.005000,0.001788,0.000000,0.001803,0.065560,1.542579,19.282235,0.000000
0.005000,0.002137,0.000000,0.002151,0.073755,1.638990,19.282235,0.000000
0.005000,0.002527,0.000000,0.002542,0.082432,1.735401,19.282235,0.000000
0.005000,0.002962,0.000000,0.002977,0.091591,1.831812,19.282235,0.000000
0.005000,0.003444,0.000000,0.003459,0.101232,1.928224,19.282235,0.000000
0.005000,0.003976,0.000000,0.003990,0.111355,2.024635,19.282235,0.000000
0.005000,0.004559,0.000000,0.004574,0.121960,2.121046,19.282235,0.000000
0.005000,0.005197,0.000000,0.005211,0.133047,2.217457,19.282235,0.000000
0.005000,0.005891,0.000000,0.005905,0.144617,2.313868,19.282235,0.000000
0.005000,0.006644,0.000000,0.006658,0.156668,2.410279,19.282235,0.000000
0.005000,0.007459,0.000000,0.007473,0.169202,2.506691,19.282235,0.000000
0.005000,0.008337,0.000000,0.008352,0.182217,2.603102,19.282235,0.000000
0.005000,0.009282,0.000000,0.009296,0.195715,2.699513,19.282235,0.000000
