dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,0.000000,0.000000,0.000001,0.000486,0.097206,19.441259,3.141591
0.005000,-0.000001,-0.000000,0.000006,0.001458,0.194413,19.441259,3.141593
0.005000,-0.000012,-0.000000,0.000017,0.002916,0.291619,19.441259,3.141596
0.005000,-0.000031,-0.000000,0.000036,0.004860,0.388825,19.441259,3.141603
0.005000,-0.000062,-0.000000,0.000067,0.007290,0.486031,19.441259,3.141612
0.005000,-0.000106,-0.000000,0.000111,0.010207,0.583238,19.441259,3.141626
0.005000,-0.000165,-0.000000,0.000170,0.013609,0.680444,19.441259,3.141645
0.005000,-0.000243,-0.000000,0.000248,0.017497,0.777650,19.441259,3.141670
0.005000,-0.000341,-0.000000,0.000346,0.021871,0.874857,19.441259,3.141701
0.005000,-0.000463,-0.000000,0.000468,0.026732,0.972063,19.441259,3.141740
0.005000,-0.000610,-0.000000,0.000615,0.032078,1.069269,19.441259,3.141786
0.005000,-0.000785,-0.000000,0.000790,0.037910,1.166476,19.441259,3.141841
0.005000,-0.000990,-0.000000,0.000995,0.044229,1.263682,19.441259,3.141906
0.005000,-0.001228,-0.000000,0.001233,0.051033,1.360888,19.441259,3.141980
0.005000,-0.001502,-0.000000,0.001507,0.058324,1.458094,19.441259,3.142066
0.005000,-0.001813,-0.000001,0.001818,0.066100,1.555301,19.441259,3.142162
0.005000,-0.002164,-0.000001,0.002169,0.074363,1.652507,19.441259,3.142270
0.005000,-0.002558,-0.000001,0.002563,0.083111,1.749713,19.441259,3.142390
0.005000,-0.002996,-0.000001,0.003001,0.092346,1.846920,19.441259,3.142524
0.005000,-0.003482,-0.000002,0.003487,0.102067,1.944126,19.441259,3.142670
0.005000,-0.004018,-0.000003,0.004023,0.112273,2.041332,19.441259,3.142830
0.005000,-0.004606,-0.000003,0.004611,0.122966,2.138539,19.441259,3.143003
0.005000,-0.005249,-0.000004,0.005254,0.134145,2.235745,19.441259,3.143190
0.005000,-0.005949,-0.000005,0.005954,0.145809,2.332951,19.441259,3.143392
0.005000,-0.006708,-0.000007,0.006713,0.157960,2.430157,19.441259,3.143607
0.005000,-0.007530,-0.000009,0.007535,0.170597,2.527364,19.441259,3.143836
0.005000,-0.008416,-0.000011,0.008420,0.183720,2.624570,19.441259,3.144079
0.005000,-0.009368,-0.000013,0.009373,0.197329,2.721776,19.441259,3.144335
0.005000,-0.010390,-0.000016,0.010395,0.211424,2.818983,19.441259,3.144605
0.005000,-0.011484,-0.000020,0.011489,0.226005,2.916189,19.441259,3.144887
0.005000,-0.012651,-0.000024,0.012656,0.241072,3.013395,19.441259,3.145180
0.005000,-0.013895,-0.000028,0.013901,0.256625,3.110602,19.441259,3.145484
0.005000,-0.015219,-0.000034,0.015224,0.272664,3.207808,19.441259,3.145798
0.005000,-0.016623,-0.000040,0.016628,0.289189,3.305014,19.441259,3.146121
0.005000,-0.018112,-0.000047,0.018117,0.306200,3.402220,19.441259,3.146451
0.005000,-0.019687,-0.000055,0.019692,0.323697,3.499427,19.441259,3.146786
0.005000,-0.021350,-0.000064,0.021355,0.341680,3.596633,19.441259,3.147125
0.005000,-0.023104,-0.000074,0.023110,0.360149,3.693839,19.441259,3.147467
0.005000,-0.024953,-0.000085,0.024958,0.379105,3.791046,19.441259,3.147807
0.005000,-0.026897,-0.000097,0.026902,0.398546,3.888252,19.441259,3.148145
0.005000,-0.028939,-0.000111,0.028944,0.418473,3.985458,19.441259,3.148477
0.005000,-0.031083,-0.000126,0.031088,0.438886,4.082664,19.441259,3.148801
0.005000,-0.033329,-0.000143,0.033334,0.459786,4.179871,19.441259,3.149113
0.005000,-0.035681,-0.000161,0.035687,0.481171,4.277077,19.441259,3.149409
