dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,0.000000,0.000000,0.000001,0.000485,0.097051,19.410149,6.283171
0.005000,0.000000,0.000000,0.000006,0.001456,0.194101,19.410149,6.283172
0.005000,0.000000,0.000000,0.000017,0.002912,0.291152,19.410149,6.283174
0.005000,0.000000,0.000000,0.000036,0.004853,0.388203,19.410149,6.283178
0.005000,0.000000,0.000000,0.000067,0.007279,0.485254,19.410149,6.283185
0.005000,0.000041,0.000000,0.000110,0.010190,0.582304,19.410149,0.000009
0.005000,0.000100,0.000000,0.000170,0.013587,0.679355,19.410149,0.000021
0.005000,0.000178,0.000000,0.000247,0.017469,0.776406,19.410149,0.000037
0.005000,0.000276,0.000000,0.000346,0.021836,0.873457,19.410149,0.000058
0.005000,0.000398,0.000000,0.000467,0.026689,0.970507,19.410149,0.000083
0.005000,0.000544,0.000000,0.000614,0.032027,1.067558,19.410149,0.000113
0.005000,0.000719,0.000000,0.000789,0.037850,1.164609,19.410149,0.000150
0.005000,0.000924,0.000000,0.000994,0.044158,1.261660,19.410149,0.000193
0.005000,0.001162,0.000000,0.001231,0.050952,1.358710,19.410149,0.000242
0.005000,0.001435,0.000000,0.001504,0.058230,1.455761,19.410149,0.000299
0.005000,0.001745,0.000000,0.001815,0.065995,1.552812,19.410149,0.000364
0.005000,0.002096,0.000000,0.002165,0.074244,1.649863,19.410149,0.000437
0.005000,0.002489,0.000001,0.002559,0.082978,1.746913,19.410149,0.000519
0.005000,0.002927,0.000001,0.002996,0.092198,1.843964,19.410149,0.000610
0.005000,0.003412,0.000001,0.003482,0.101903,1.941015,19.410149,0.000712
0.005000,0.003947,0.000002,0.004017,0.112094,2.038066,19.410149,0.000823
0.005000,0.004534,0.000002,0.004604,0.122769,2.135116,19.410149,0.000946
0.005000,0.005176,0.000003,0.005246,0.133930,2.232167,19.410149,0.001080
0.005000,0.005875,0.000004,0.005944,0.145576,2.329218,19.410149,0.001226
0.005000,0.006633,0.000005,0.006703,0.157707,2.426269,19.410149,0.001385
0.005000,0.007453,0.000006,0.007523,0.170324,2.523319,19.410149,0.001557
0.005000,0.008338,0.000007,0.008407,0.183426,2.620370,19.410149,0.001742
0.005000,0.009289,0.000009,0.009358,0.197013,2.717421,19.410149,0.001942
0.005000,0.010309,0.000011,0.010378,0.211085,2.814472,19.410149,0.002156
0.005000,0.011401,0.000014,0.011470,0.225643,2.911522,19.410149,0.002385
0.005000,0.012567,0.000017,0.012636,0.240686,3.008573,19.410149,0.002631
0.005000,0.013809,0.000020,0.013878,0.256214,3.105624,19.410149,0.002892
0.005000,0.015130,0.000024,0.015199,0.272227,3.202675,19.410149,0.003171
0.005000,0.016532,0.000029,0.016602,0.288726,3.299725,19.410149,0.003467
0.005000,0.018018,0.000034,0.018088,0.305710,3.396776,19.410149,0.003781
0.005000,0.019591,0.000040,0.019660,0.323179,3.493827,19.410149,0.004113
0.005000,0.021251,0.000047,0.021321,0.341133,3.590878,19.410149,0.004465
0.005000,0.023003,0.000055,0.023073,0.359573,3.687928,19.410149,0.004837
0.005000,0.024848,0.000065,0.024918,0.378498,3.784979,19.410149,0.005229
0.005000,0.026789,0.000075,0.026859,0.397908,3.882030,19.410149,0.005642
0.005000,0.028828,0.000087,0.028898,0.417803,3.979081,19.410149,0.006076
0.005000,0.030968,0.000101,0.031038,0.438184,4.076131,19.410149,0.006533
0.005000,0.033211,0.000116,0.033281,0.459050,4.173182,19.410149,0.007013
0.005000,0.035560,0.000133,0.035630,0.480401,4.270233,19.410149,0.007516
0.005000,0.038016,0.000152,0.038086,0.502238,4.367284,19.410149,0.008044
0.005000,0.040583,0.000173,0.040653,0.524559,4.464334,19.410149,0.008597
0.005000,0.043263,0.000197,0.043333,0.547366,4.561385,19.410149,0.009175
0.005000,0.046058,0.000224,0.046128,0.570658,4.658436,19.410149,0.009779
0.005000,0.048971,0.000253,0.049041,0.594436,4.755487,19.410149,0.010410
0.005000,0.052003,0.000286,0.052074,0.618699,4.852537,19.410149,0.011069
0.005000,0.055158,0.000322,0.055229,0.643446,4.949588,19.410149,0.011757
0.005000,0.058439,0.000361,0.058509,0.668680,5.046639,19.410149,0.012473
0.005000,0.061846,0.000405,0.061917,0.694398,5.143690,19.410149,0.013220
0.005000,0.065383,0.000453,0.065455,0.720602,5.240740,19.410149,0.013997
0.005000,0.069052,0.000506,0.069124,0.747291,5.337791,19.410149,0.014806
0.005000,0.072856,0.000564,0.072929,0.774465,5.434842,19.410149,0.015647
0.005000,0.076797,0.000628,0.076870,0.802124,5.531893,19.410149,0.016521
0.005000,0.080878,0.000697,0.080951,0.830269,5.628943,19.410149,0.017430
0.005000,0.085100,0.000772,0.085174,0.858899,5.725994,19.410149,0.018373
0.005000,0.089467,0.000855,0.089541,0.888014,5.823045,19.410149,0.019353
0.005000,0.093980,0.000944,0.094056,0.917615,5.920096,19.410149,0.020369
0.005000,0.098642,0.001042,0.098719,0.947701,6.017146,19.410149,0.021422
0.005000,0.103456,0.001148,0.103534,0.978272,6.114197,19.410149,0.022515
0.005000,0.108423,0.001262,0.108503,1.009328,6.211248,19.410149,0.023647
0.005000,0.113547,0.001387,0.113628,1.040869,6.308299,19.410149,0.024820
0.005000,0.118830,0.001521,0.118913,1.072896,6.405349,19.410149,0.026035
0.005000,0.124274,0.001666,0.124358,1.105408,6.502400,19.410149,0.027293
0.005000,0.129881,0.001823,0.129968,1.138405,6.599451,19.410149,0.028595
0.005000,0.135655,0.001992,0.135744,1.171888,6.696501,19.410149,0.029942
0.005000,0.141596,0.002174,0.141688,1.205856,6.793552,19.410149,0.031336
0.005000,0.147708,0.002370,0.147803,1.240309,6.890603,19.410149,0.032777
0.005000,0.153994,0.002581,0.154092,1.275247,6.987654,19.410149,0.034267
0.005000,0.160455,0.002807,0.160557,1.310670,7.084704,19.410149,0.035808
0.005000,0.167093,0.003050,0.167200,1.346579,7.181755,19.410149,0.037400
0.005000,0.173912,0.003311,0.174024,1.382973,7.278806,19.410149,0.039045
0.005000,0.180912,0.003590,0.181030,1.419367,7.278806,-0.000000,0.040745
0.005000,0.188094,0.003889,0.188218,1.455761,7.278806,0.000000,0.042500
0.005000,0.195457,0.004209,0.195588,1.492155,7.278806,0.000000,0.044311
0.005000,0.203001,0.004551,0.203139,1.528549,7.278806,-0.000000,0.046179
0.005000,0.210726,0.004915,0.210873,1.564943,7.278806,0.000000,0.048105
0.005000,0.218632,0.005304,0.218789,1.601337,7.278806,0.000000,0.050090
0.005000,0.226719,0.005717,0.226886,1.637731,7.278806,0.000000,0.052136
0.005000,0.234987,0.006158,0.235166,1.674125,7.278806,-0.000000,0.054243
0.005000,0.243436,0.006626,0.243628,1.710519,7.278806,0.000000,0.056412
0.005000,0.252065,0.007122,0.252271,1.746913,7.278806,0.000000,0.058646
0.005000,0.260875,0.007650,0.261097,1.783307,7.278806,-0.000000,0.060945
0.005000,0.269865,0.008209,0.270104,1.819701,7.278806,0.000000,0.063310
0.005000,0.279035,0.008802,0.279294,1.856096,7.278806,-0.000000,0.065744
0.005000,0.288386,0.009429,0.288665,1.892490,7.278806,0.000000,0.068246
0.005000,0.297916,0.010093,0.298219,1.928884,7.278806,0.000000,0.070820
0.005000,0.307626,0.010794,0.307954,1.965278,7.278806,0.000000,0.073466
0.005000,0.317516,0.011536,0.317872,2.001672,7.278806,0.000000,0.076186
0.005000,0.327585,0.012319,0.327971,2.038066,7.278806,-0.000000,0.078982
0.005000,0.337833,0.013144,0.338252,2.074460,7.278806,0.000000,0.081855
0.005000,0.348260,0.014015,0.348715,2.110854,7.278806,-0.000000,0.084808
0.005000,0.358866,0.014933,0.359361,2.147248,7.278806,0.000000,0.087841
0.005000,0.369650,0.015900,0.370188,2.183642,7.278806,0.000000,0.090958
0.005000,0.380612,0.016917,0.381197,2.220036,7.278806,-0.000000,0.094160
0.005000,0.391751,0.017988,0.392388,2.256430,7.278806,-0.000000,0.097450
0.005000,0.403069,0.019113,0.403761,2.292824,7.278806,0.000000,0.100828
0.005000,0.414563,0.020296,0.415317,2.329218,7.278806,-0.000000,0.104299
0.005000,0.426234,0.021539,0.427054,2.365612,7.278806,0.000000,0.107863
0.005000,0.438082,0.022844,0.438973,2.402006,7.278806,0.000000,0.111524
0.005000,0.450105,0.024213,0.451074,2.438400,7.278806,0.000000,0.115284
0.005000,0.462304,0.025650,0.463357,2.474794,7.278806,0.000000,0.119145
0.005000,0.474677,0.027156,0.475822,2.511188,7.278806,0.000000,0.123111
0.005000,0.487225,0.028734,0.488469,2.547582,7.278806,0.000000,0.127184
0.005000,0.499947,0.030388,0.501297,2.583976,7.278806,-0.000000,0.131368
