dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,0.000000,0.000000,0.000001,0.000484,0.096762,19.352381,3.141575
0.005000,0.000000,0.000000,0.000006,0.001451,0.193524,19.352381,3.141588
0.005000,-0.000009,-0.000000,0.000017,0.002903,0.290286,19.352381,3.141618
0.005000,-0.000029,-0.000000,0.000036,0.004838,0.387048,19.352381,3.141672
0.005000,-0.000059,-0.000000,0.000067,0.007257,0.483810,19.352381,3.141755
0.005000,-0.000102,-0.000000,0.000110,0.010160,0.580571,19.352381,3.141875
0.005000,-0.000162,-0.000000,0.000169,0.013547,0.677333,19.352381,3.142039
0.005000,-0.000239,-0.000000,0.000247,0.017417,0.774095,19.352381,3.142253
0.005000,-0.000337,-0.000000,0.000345,0.021771,0.870857,19.352381,3.142523
0.005000,-0.000458,-0.000000,0.000466,0.026610,0.967619,19.352381,3.142857
0.005000,-0.000604,-0.000001,0.000612,0.031931,1.064381,19.352381,3.143261
0.005000,-0.000779,-0.000001,0.000786,0.037737,1.161143,19.352381,3.143742
0.005000,-0.000983,-0.000001,0.000991,0.044027,1.257905,19.352381,3.144307
0.005000,-0.001220,-0.000002,0.001228,0.050800,1.354667,19.352381,3.144962
0.005000,-0.001492,-0.000003,0.001500,0.058057,1.451429,19.352381,3.145714
0.005000,-0.001802,-0.000004,0.001809,0.065798,1.548190,19.352381,3.146569
0.005000,-0.002151,-0.000006,0.002159,0.074023,1.644952,19.352381,3.147536
0.005000,-0.002543,-0.000009,0.002551,0.082731,1.741714,19.352381,3.148619
0.005000,-0.002980,-0.000012,0.002988,0.091924,1.838476,19.352381,3.149827
0.005000,-0.003464,-0.000017,0.003471,0.101600,1.935238,19.352381,3.151165
0.005000,-0.003997,-0.000022,0.004005,0.111760,2.032000,19.352381,3.152642
0.005000,-0.004582,-0.000029,0.004590,0.122404,2.128762,19.352381,3.154262
0.005000,-0.005222,-0.000038,0.005230,0.133531,2.225524,19.352381,3.156034
0.005000,-0.005919,-0.000048,0.005927,0.145143,2.322286,19.352381,3.157965
0.005000,-0.006675,-0.000062,0.006683,0.157238,2.419048,19.352381,3.160060
0.005000,-0.007492,-0.000078,0.007500,0.169817,2.515810,19.352381,3.162327
0.005000,-0.008374,-0.000097,0.008382,0.182880,2.612571,19.352381,3.164774
0.005000,-0.009322,-0.000120,0.009330,0.196427,2.709333,19.352381,3.167406
0.005000,-0.010338,-0.000148,0.010347,0.210457,2.806095,19.352381,3.170230
0.005000,-0.011427,-0.000181,0.011436,0.224971,2.902857,19.352381,3.173254
0.005000,-0.012588,-0.000219,0.012598,0.239970,2.999619,19.352381,3.176484
0.005000,-0.013826,-0.000265,0.013837,0.255451,3.096381,19.352381,3.179928
