dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,0.000000,0.000000,0.000001,0.000485,0.097051,19.410149,0.000023
0.005000,0.000000,0.000000,0.000006,0.001456,0.194101,19.410149,0.000022
0.005000,0.000000,0.000000,0.000017,0.002912,0.291152,19.410149,0.000019
0.005000,0.000000,0.000000,0.000036,0.004853,0.388203,19.410149,0.000013
0.005000,0.000000,0.000000,0.000067,0.007279,0.485254,19.410149,0.000004
0.005000,0.000031,-0.000000,0.000110,0.010190,0.582304,19.410149,6.283176
0.005000,0.000090,-0.000000,0.000170,0.013587,0.679355,19.410149,6.283159
0.005000,0.000168,-0.000000,0.000247,0.017469,0.776406,19.410149,6.283136
0.005000,0.000266,-0.000000,0.000346,0.021836,0.873457,19.410149,6.283107
0.005000,0.000387,-0.000000,0.000467,0.026689,0.970507,19.410149,6.283071
0.005000,0.000534,-0.000000,0.000614,0.032027,1.067558,19.410149,6.283027
0.005000,0.000709,-0.000000,0.000789,0.037850,1.164609,19.410149,6.282976
0.005000,0.000914,-0.000000,0.000994,0.044158,1.261660,19.410149,6.282915
0.005000,0.001152,-0.000000,0.001231,0.050952,1.358710,19.410149,6.282845
0.005000,0.001425,-0.000000,0.001504,0.058230,1.455761,19.410149,6.282764
0.005000,0.001735,-0.000000,0.001815,0.065995,1.552812,19.410149,6.282672
0.005000,0.002086,-0.000001,0.002165,0.074244,1.649863,19.410149,6.282569
0.005000,0.002479,-0.000001,0.002559,0.082978,1.746913,19.410149,6.282453
0.005000,0.002917,-0.000001,0.002996,0.092198,1.843964,19.410149,6.282323
0.005000,0.003402,-0.000002,0.003482,0.101903,1.941015,19.410149,6.282180
0.005000,0.003937,-0.000002,0.004017,0.112094,2.038066,19.410149,6.282021
0.005000,0.004524,-0.000003,0.004604,0.122769,2.135116,19.410149,6.281848
0.005000,0.005166,-0.000004,0.005246,0.133930,2.232167,19.410149,6.281658
0.005000,0.005865,-0.000005,0.005944,0.145576,2.329218,19.410149,6.281451
0.005000,0.006623,-0.000006,0.006703,0.157707,2.426269,19.410149,6.281227
0.005000,0.007443,-0.000008,0.007523,0.170324,2.523319,19.410149,6.280984
0.005000,0.008327,-0.000010,0.008407,0.183426,2.620370,19.410149,6.280723
0.005000,0.009278,-0.000013,0.009358,0.197013,2.717421,19.410149,6.280441
0.005000,0.010299,-0.000016,0.010378,0.211085,2.814472,19.410149,6.280139
0.005000,0.011391,-0.000019,0.011470,0.225643,2.911522,19.410149,6.279816
0.005000,0.012556,-0.000023,0.012636,0.240686,3.008573,19.410149,6.279471
0.005000,0.013799,-0.000028,0.013878,0.256214,3.105624,19.410149,6.279103
0.005000,0.015120,-0.000034,0.015199,0.272227,3.202675,19.410149,6.278711
0.005000,0.016522,-0.000040,0.016602,0.288726,3.299725,19.410149,6.278296
0.005000,0.018008,-0.000048,0.018088,0.305710,3.396776,19.410149,6.277855
0.005000,0.019580,-0.000057,0.019660,0.323179,3.493827,19.410149,6.277389
0.005000,0.021241,-0.000067,0.021321,0.341133,3.590878,19.410149,6.276897
0.005000,0.022993,-0.000078,0.023073,0.359573,3.687928,19.410149,6.276377
0.005000,0.024838,-0.000091,0.024918,0.378498,3.784979,19.410149,6.275829
0.005000,0.026779,-0.000106,0.026859,0.397908,3.882030,19.410149,6.275253
0.005000,0.028818,-0.000123,0.028898,0.417803,3.979081,19.410149,6.274648
0.005000,0.030958,-0.000142,0.031038,0.438184,4.076131,19.410149,6.274012
0.005000,0.033201,-0.000163,0.033281,0.459050,4.173182,19.410149,6.273345
0.005000,0.035549,-0.000187,0.035630,0.480401,4.270233,19.410149,6.272647
0.005000,0.038006,-0.000214,0.038086,0.502238,4.367284,19.410149,6.271917
0.005000,0.040573,-0.000244,0.040653,0.524559,4.464334,19.410149,6.271153
0.005000,0.043252,-0.000277,0.043333,0.547366,4.561385,19.410149,6.270355
0.005000,0.046047,-0.000314,0.046128,0.570658,4.658436,19.410149,6.269523
0.005000,0.048960,-0.000355,0.049041,0.594436,4.755487,19.410149,6.268655
0.005000,0.051992,-0.000401,0.052074,0.618699,4.852537,19.410149,6.267752
0.005000,0.055147,-0.000451,0.055229,0.643446,4.949588,19.410149,6.266811
0.005000,0.058427,-0.000506,0.058509,0.668680,5.046639,19.410149,6.265832
0.005000,0.061834,-0.000567,0.061917,0.694398,5.143690,19.410149,6.264815
0.005000,0.065371,-0.000634,0.065455,0.720602,5.240740,19.410149,6.263758
0.005000,0.069040,-0.000707,0.069124,0.747291,5.337791,19.410149,6.262662
0.005000,0.072843,-0.000787,0.072929,0.774465,5.434842,19.410149,6.261524
0.005000,0.076784,-0.000875,0.076870,0.802124,5.531893,19.410149,6.260345
0.005000,0.080864,-0.000971,0.080951,0.830269,5.628943,19.410149,6.259123
0.005000,0.085085,-0.001075,0.085174,0.858899,5.725994,19.410149,6.257858
0.005000,0.089451,-0.001189,0.089541,0.888014,5.823045,19.410149,6.256549
0.005000,0.093964,-0.001312,0.094056,0.917615,5.920096,19.410149,6.255195
0.005000,0.098625,-0.001446,0.098719,0.947701,6.017146,19.410149,6.253796
0.005000,0.103438,-0.001591,0.103534,0.978272,6.114197,19.410149,6.252349
0.005000,0.108404,-0.001747,0.108503,1.009328,6.211248,19.410149,6.250856
0.005000,0.113527,-0.001917,0.113628,1.040869,6.308299,19.410149,6.249315
0.005000,0.118808,-0.002100,0.118913,1.072896,6.405349,19.410149,6.247724
0.005000,0.124250,-0.002298,0.124358,1.105408,6.502400,19.410149,6.246084
0.005000,0.129856,-0.002511,0.129968,1.138405,6.599451,19.410149,6.244393
0.005000,0.135627,-0.002740,0.135744,1.171888,6.696501,19.410149,6.242651
0.005000,0.141566,-0.002986,0.141688,1.205856,6.793552,19.410149,6.240857
0.005000,0.147676,-0.003250,0.147803,1.240309,6.890603,19.410149,6.239009
0.005000,0.153958,-0.003534,0.154092,1.275247,6.987654,19.410149,6.237108
0.005000,0.160416,-0.003838,0.160557,1.310670,7.084704,19.410149,6.235152
0.005000,0.167051,-0.004164,0.167200,1.346579,7.181755,19.410149,6.233140
0.005000,0.173866,-0.004512,0.174024,1.382973,7.278806,19.410149,6.231072
0.005000,0.180862,-0.004884,0.181030,1.419367,7.278806,-0.000000,6.228948
0.005000,0.188039,-0.005282,0.188218,1.455761,7.278806,0.000000,6.226766
0.005000,0.195397,-0.005706,0.195588,1.492155,7.278806,0.000000,6.224528
0.005000,0.202935,-0.006157,0.203139,1.528549,7.278806,-0.000000,6.222232
0.005000,0.210654,-0.006637,0.210873,1.564943,7.278806,0.000000,6.219879
0.005000,0.218553,-0.007148,0.218789,1.601337,7.278806,0.000000,6.217469
0.005000,0.226632,-0.007689,0.226886,1.637731,7.278806,0.000000,6.215001
0.005000,0.234892,-0.008264,0.235166,1.674125,7.278806,-0.000000,6.212477
0.005000,0.243332,-0.008873,0.243628,1.710519,7.278806,0.000000,6.209894
0.005000,0.251951,-0.009517,0.252271,1.746913,7.278806,0.000000,6.207255
0.005000,0.260751,-0.010198,0.261097,1.783307,7.278806,-0.000000,6.204557
0.005000,0.269729,-0.010918,0.270104,1.819701,7.278806,0.000000,6.201802
0.005000,0.278887,-0.011678,0.279294,1.856096,7.278806,-0.000000,6.198990
0.005000,0.288224,-0.012479,0.288665,1.892490,7.278806,0.000000,6.196120
0.005000,0.297740,-0.013324,0.298219,1.928884,7.278806,0.000000,6.193192
0.005000,0.307435,-0.014214,0.307954,1.965278,7.278806,0.000000,6.190207
0.005000,0.317308,-0.015149,0.317872,2.001672,7.278806,0.000000,6.187164
0.005000,0.327360,-0.016133,0.327971,2.038066,7.278806,-0.000000,6.184063
0.005000,0.337589,-0.017167,0.338252,2.074460,7.278806,0.000000,6.180905
0.005000,0.347996,-0.018252,0.348715,2.110854,7.278806,-0.000000,6.177690
0.005000,0.358580,-0.019390,0.359361,2.147248,7.278806,0.000000,6.174417
0.005000,0.369341,-0.020583,0.370188,2.183642,7.278806,0.000000,6.171086
0.005000,0.380279,-0.021833,0.381197,2.220036,7.278806,-0.000000,6.167699
0.005000,0.391393,-0.023142,0.392388,2.256430,7.278806,-0.000000,6.164254
0.005000,0.402684,-0.024511,0.403761,2.292824,7.278806,0.000000,6.160753
0.005000,0.414150,-0.025943,0.415317,2.329218,7.278806,-0.000000,6.157194
0.005000,0.425791,-0.027439,0.427054,2.365612,7.278806,0.000000,6.153579
0.005000,0.437608,-0.029001,0.438973,2.402006,7.278806,0.000000,6.149907
0.005000,0.449598,-0.030631,0.451074,2.438400,7.278806,0.000000,6.146179
0.005000,0.461763,-0.032332,0.463357,2.474794,7.278806,0.000000,6.142395
0.005000,0.474101,-0.034105,0.475822,2.511188,7.278806,0.000000,6.138555
0.005000,0.486612,-0.035952,0.488469,2.547582,7.278806,0.000000,6.134660
0.005000,0.499296,-0.037875,0.501297,2.583976,7.278806,-0.000000,6.130709
0.005000,0.512152,-0.039877,0.514308,2.620370,7.278806,0.000000,6.126704
0.005000,0.525180,-0.041960,0.527501,2.656764,7.278806,0.000000,6.122644
0.005000,0.538378,-0.044125,0.540876,2.693158,7.278806,0.000000,6.118530
0.005000,0.551747,-0.046375,0.554433,2.729552,7.278806,0.000000,6.114362
0.005000,0.565285,-0.048712,0.568171,2.765946,7.278806,0.000000,6.110141
0.005000,0.578993,-0.051138,0.582092,2.802340,7.278806,-0.000000,6.105867
0.005000,0.592869,-0.053656,0.596195,2.838734,7.278806,0.000000,6.101541
0.005000,0.606913,-0.056267,0.610480,2.875128,7.278806,-0.000000,6.097163
0.005000,0.621124,-0.058974,0.624946,2.911522,7.278806,0.000000,6.092733
0.005000,0.635502,-0.061779,0.639595,2.947916,7.278806,0.000000,6.088253
0.005000,0.650045,-0.064685,0.654425,2.984310,7.278806,0.000000,6.083723
0.005000,0.664753,-0.067693,0.669438,3.020704,7.278806,0.000000,6.079144
0.005000,0.679625,-0.070807,0.684632,3.057099,7.278806,-0.000000,6.074516
0.005000,0.694660,-0.074027,0.700009,3.093493,7.278806,0.000000,6.069839
0.005000,0.709858,-0.077357,0.715567,3.129887,7.278806,0.000000,6.065116
0.005000,0.725218,-0.080799,0.731308,3.166281,7.278806,0.000000,6.060346
0.005000,0.740738,-0.084355,0.747230,3.202675,7.278806,0.000000,6.055531
0.005000,0.756418,-0.088028,0.763334,3.239069,7.278806,0.000000,6.050671
0.005000,0.772256,-0.091820,0.779621,3.275463,7.278806,0.000000,6.045768
0.005000,0.788253,-0.095733,0.796089,3.311857,7.278806,-0.000000,6.040821
0.005000,0.804407,-0.099769,0.812739,3.348251,7.278806,0.000000,6.035833
0.005000,0.820716,-0.103931,0.829572,3.384645,7.278806,0.000000,6.030803
0.005000,0.837181,-0.108222,0.846586,3.421039,7.278806,0.000000,6.025734
0.005000,0.853799,-0.112643,0.863782,3.457433,7.278806,0.000000,6.020627
0.005000,0.870570,-0.117196,0.881160,3.493827,7.278806,0.000000,6.015481
0.005000,0.887492,-0.121885,0.898720,3.530221,7.278806,0.000000,6.010300
0.005000,0.904564,-0.126711,0.916461,3.566130,7.181755,-19.410149,6.005084
0.005000,0.921782,-0.131676,0.934380,3.601553,7.084704,-19.410149,5.999834
