dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,0.000000,0.000000,0.000001,0.000482,0.096316,19.263202,0.000008
0.005000,0.000000,0.000000,0.000006,0.001445,0.192632,19.263202,0.000007
0.005000,0.000000,0.000000,0.000017,0.002889,0.288948,19.263202,0.000005
0.005000,0.000000,0.000000,0.000036,0.004816,0.385264,19.263202,0.000002
0.005000,0.000020,-0.000000,0.000066,0.007224,0.481580,19.263202,6.283182
0.005000,0.000064,-0.000000,0.000110,0.010113,0.577896,19.263202,6.283174
0.005000,0.000123,-0.000000,0.000169,0.013484,0.674212,19.263202,6.283163
0.005000,0.000200,-0.000000,0.000246,0.017337,0.770528,19.263202,6.283149
0.005000,0.000297,-0.000000,0.000343,0.021671,0.866844,19.263202,6.283131
0.005000,0.000418,-0.000000,0.000464,0.026487,0.963160,19.263202,6.283110
0.005000,0.000563,-0.000000,0.000609,0.031784,1.059476,19.263202,6.283083
0.005000,0.000737,-0.000000,0.000783,0.037563,1.155792,19.263202,6.283052
0.005000,0.000940,-0.000000,0.000986,0.043824,1.252108,19.263202,6.283015
0.005000,0.001176,-0.000000,0.001222,0.050566,1.348424,19.263202,6.282972
0.005000,0.001447,-0.000000,0.001493,0.057790,1.444740,19.263202,6.282923
0.005000,0.001755,-0.000000,0.001801,0.065495,1.541056,19.263202,6.282867
0.005000,0.002103,-0.000000,0.002149,0.073682,1.637372,19.263202,6.282804
0.005000,0.002493,-0.000001,0.002539,0.082350,1.733688,19.263202,6.282734
0.005000,0.002928,-0.000001,0.002974,0.091500,1.830004,19.263202,6.282655
0.005000,0.003409,-0.000001,0.003455,0.101132,1.926320,19.263202,6.282568
0.005000,0.003940,-0.000001,0.003986,0.111245,2.022636,19.263202,6.282472
0.005000,0.004523,-0.000002,0.004569,0.121840,2.118952,19.263202,6.282366
0.005000,0.005160,-0.000002,0.005206,0.132916,2.215268,19.263202,6.282251
0.005000,0.005853,-0.000003,0.005899,0.144474,2.311584,19.263202,6.282126
0.005000,0.006606,-0.000004,0.006652,0.156514,2.407900,19.263202,6.281990
0.005000,0.007420,-0.000005,0.007466,0.169035,2.504216,19.263202,6.281843
0.005000,0.008298,-0.000006,0.008343,0.182037,2.600532,19.263202,6.281684
0.005000,0.009241,-0.000008,0.009287,0.195522,2.696848,19.263202,6.281514
0.005000,0.010254,-0.000010,0.010300,0.209487,2.793164,19.263202,6.281331
0.005000,0.011337,-0.000012,0.011383,0.223935,2.889480,19.263202,6.281135
0.005000,0.012494,-0.000014,0.012540,0.238864,2.985796,19.263202,6.280926
0.005000,0.013727,-0.000017,0.013773,0.254274,3.082112,19.263202,6.280704
