dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,0.000000,0.000000,0.000001,0.000484,0.096759,19.351792,0.000000
0.005000,0.000000,0.000000,0.000006,0.001451,0.193518,19.351792,0.000000
0.005000,0.000002,0.000000,0.000017,0.002903,0.290277,19.351792,0.000000
0.005000,0.000022,0.000000,0.000036,0.004838,0.387036,19.351792,0.000000
0.005000,0.000052,0.000000,0.000067,0.007257,0.483795,19.351792,0.000000
0.005000,0.000096,0.000000,0.000110,0.010160,0.580554,19.351792,0.000000
0.005000,0.000155,0.000000,0.000169,0.013546,0.677313,19.351792,0.000000
0.005000,0.000232,0.000000,0.000247,0.017417,0.774072,19.351792,0.000000
0.005000,0.000330,0.000000,0.000345,0.021771,0.870831,19.351792,0.000000
0.005000,0.000451,0.000000,0.000466,0.026609,0.967590,19.351792,0.000000
0.005000,0.000598,0.000000,0.000612,0.031930,1.064349,19.351792,0.000000
0.005000,0.000772,0.000000,0.000786,0.037736,1.161108,19.351792,0.000000
0.005000,0.000976,0.000000,0.000991,0.044025,1.257866,19.351792,0.000000
0.005000,0.001213,0.000000,0.001228,0.050798,1.354625,19.351792,0.000000
0.005000,0.001485,0.000000,0.001500,0.058055,1.451384,19.351792,0.000000
0.005000,0.001795,0.000000,0.001809,0.065796,1.548143,19.351792,0.000000
0.005000,0.002144,0.000000,0.002159,0.074021,1.644902,19.351792,0.000000
0.005000,0.002536,0.000000,0.002551,0.082729,1.741661,19.351792,0.000000
0.005000,0.002973,0.000000,0.002987,0.091921,1.838420,19.351792,0.000000
0.005000,0.003457,0.000000,0.003471,0.101597,1.935179,19.351792,0.000000
0.005000,0.003990,0.000000,0.004005,0.111757,2.031938,19.351792,0.000000
0.005000,0.004576,0.000000,0.004590,0.122400,2.128697,19.351792,0.000000
0.005000,0.005215,0.000000,0.005230,0.133527,2.225456,19.351792,0.000000
0.005000,0.005912,0.000000,0.005926,0.145138,2.322215,19.351792,0.000000
0.005000,0.006668,0.000000,0.006682,0.157233,2.418974,19.351792,0.000000
0.005000,0.007486,0.000000,0.007500,0.169812,2.515733,19.351792,0.000000
0.005000,0.008367,0.000000,0.008382,0.182874,2.612492,19.351792,0.000000
0.005000,0.009316,0.000000,0.009330,0.196421,2.709251,19.351792,0.000000
0.005000,0.010333,0.000000,0.010347,0.210451,2.806010,19.351792,0.000000
0.005000,0.011421,0.000000,0.011436,0.224965,2.902769,19.351792,0.000000
0.005000,0.012584,0.000000,0.012598,0.239962,2.999528,19.351792,0.000000
0.005000,0.013822,0.000000,0.013837,0.255444,3.096287,19.351792,0.000000
0.005000,0.015139,0.000000,0.015154,0.271409,3.193046,19.351792,0.000000
0.005000,0.016537,0.000000,0.016552,0.287858,3.289805,19.351792,0.000000
0.005000,0.018019,0.000000,0.018033,0.304791,3.386564,19.351792,0.000000
0.005000,0.019586,0.000000,0.019601,0.322207,3.483323,19.351792,0.000000
0.005000,0.021242,0.000000,0.021257,0.340108,3.580081,19.351792,0.000000
0.005000,0.022989,0.000000,0.023003,0.358492,3.676840,19.351792,0.000000
0.005000,0.024828,0.000000,0.024843,0.377360,3.773599,19.351792,0.000000
0.005000,0.026764,0.000000,0.026778,0.396712,3.870358,19.351792,0.000000
0.005000,0.028797,0.000000,0.028811,0.416547,3.967117,19.351792,0.000000
0.005000,0.030930,0.000000,0.030945,0.436867,4.063876,19.351792,0.000000
0.005000,0.033167,0.000000,0.033181,0.457670,4.160635,19.351792,0.000000
0.005000,0.035508,0.000000,0.035523,0.478957,4.257394,19.351792,0.000000
0.005000,0.037957,0.000000,0.037972,0.500728,4.354153,19.351792,0.000000
0.005000,0.040517,0.000000,0.040531,0.522982,4.450912,19.351792,0.000000
0.005000,0.043188,0.000000,0.043203,0.545721,4.547671,19.351792,0.000000
0.005000,0.045975,0.000000,0.045990,0.568943,4.644430,19.351792,0.000000
0.005000,0.048879,0.000000,0.048894,0.592649,4.741189,19.351792,0.000000
0.005000,0.051903,0.000000,0.051917,0.616838,4.837948,19.351792,0.000000
0.005000,0.055049,0.000000,0.055063,0.641512,4.934707,19.351792,0.000000
0.005000,0.058319,0.000000,0.058334,0.666669,5.031466,19.351792,0.000000
0.005000,0.061717,0.000000,0.061731,0.692310,5.128225,19.351792,0.000000
0.005000,0.065243,0.000000,0.065258,0.718435,5.224984,19.351792,0.000000
0.005000,0.068902,0.000000,0.068917,0.745044,5.321743,19.351792,0.000000
0.005000,0.072695,0.000000,0.072710,0.772136,5.418502,19.351792,0.000000
0.005000,0.076625,0.000000,0.076639,0.799713,5.515261,19.351792,0.000000
0.005000,0.080693,0.000000,0.080708,0.827773,5.612020,19.351792,0.000000
0.005000,0.084904,0.000000,0.084918,0.856317,5.708779,19.351792,0.000000
0.005000,0.089258,0.000000,0.089272,0.885344,5.805538,19.351792,0.000000
0.005000,0.093758,0.000000,0.093773,0.914856,5.902296,19.351792,0.000000
0.005000,0.098408,0.000000,0.098422,0.944851,5.999055,19.351792,0.000000
0.005000,0.103208,0.000000,0.103222,0.975330,6.095814,19.351792,0.000000
0.005000,0.108161,0.000000,0.108175,1.005809,6.095814,-0.000000,0.000000
0.005000,0.113266,0.000000,0.113281,1.036288,6.095814,0.000000,0.000000
0.005000,0.118524,0.000000,0.118538,1.066768,6.095814,0.000000,0.000000
0.005000,0.123934,0.000000,0.123948,1.097247,6.095814,-0.000000,0.000000
0.005000,0.129496,0.000000,0.129511,1.127726,6.095814,0.000000,0.000000
0.005000,0.135211,0.000000,0.135225,1.158205,6.095814,0.000000,0.000000
0.005000,0.141078,0.000000,0.141093,1.188684,6.095814,0.000000,0.000000
0.005000,0.147098,0.000000,0.147112,1.219163,6.095814,-0.000000,0.000000
0.005000,0.153270,0.000000,0.153284,1.249642,6.095814,0.000000,0.000000
0.005000,0.159594,0.000000,0.159609,1.280121,6.095814,0.000000,0.000000
0.005000,0.166071,0.000000,0.166086,1.310600,6.095814,0.000000,0.000000
0.005000,0.172700,0.000000,0.172715,1.341079,6.095814,0.000000,0.000000
0.005000,0.179482,0.000000,0.179496,1.371558,6.095814,-0.000000,0.000000
0.005000,0.186416,0.000000,0.186430,1.402037,6.095814,0.000000,0.000000
0.005000,0.193502,0.000000,0.193517,1.432516,6.095814,-0.000000,0.000000
0.005000,0.200741,0.000000,0.200755,1.462995,6.095814,0.000000,0.000000
0.005000,0.208132,0.000000,0.208147,1.493475,6.095814,0.000000,0.000000
0.005000,0.215676,0.000000,0.215690,1.523954,6.095814,-0.000000,0.000000
0.005000,0.223372,0.000000,0.223386,1.554433,6.095814,-0.000000,0.000000
0.005000,0.231220,0.000000,0.231235,1.584912,6.095814,0.000000,0.000000
0.005000,0.239221,0.000000,0.239235,1.615391,6.095814,0.000000,0.000000
0.005000,0.247374,0.000000,0.247388,1.645870,6.095814,-0.000000,0.000000
0.005000,0.255680,0.000000,0.255694,1.676349,6.095814,0.000000,0.000000
0.005000,0.264137,0.000000,0.264152,1.706828,6.095814,0.000000,0.000000
0.005000,0.272748,0.000000,0.272762,1.737307,6.095814,0.000000,0.000000
0.005000,0.281511,0.000000,0.281525,1.767786,6.095814,-0.000000,0.000000
0.005000,0.290426,0.000000,0.290440,1.798265,6.095814,0.000000,0.000000
0.005000,0.299493,0.000000,0.299508,1.828744,6.095814,-0.000000,0.000000
0.005000,0.308713,0.000000,0.308728,1.859223,6.095814,0.000000,0.000000
0.005000,0.318085,0.000000,0.318100,1.889702,6.095814,0.000000,0.000000
0.005000,0.327610,0.000000,0.327625,1.920182,6.095814,0.000000,0.000000
0.005000,0.337287,0.000000,0.337302,1.950661,6.095814,0.000000,0.000000
0.005000,0.347117,0.000000,0.347131,1.981140,6.095814,-0.000000,0.000000
