dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,0.000000,0.000000,0.000001,0.000482,0.096492,19.298363,3.141593
0.005000,-0.000004,0.000000,0.000006,0.001447,0.192984,19.298363,3.141593
0.005000,-0.000015,0.000000,0.000017,0.002895,0.289475,19.298363,3.141593
0.005000,-0.000034,0.000000,0.000036,0.004825,0.385967,19.298363,3.141593
0.005000,-0.000064,0.000000,0.000066,0.007237,0.482459,19.298363,3.141593
0.005000,-0.000107,0.000000,0.000110,0.010132,0.578951,19.298363,3.141593
0.005000,-0.000167,0.000000,0.000169,0.013509,0.675443,19.298363,3.141593
0.005000,-0.000244,0.000000,0.000246,0.017369,0.771935,19.298363,3.141593
0.005000,-0.000341,0.000000,0.000344,0.021711,0.868426,19.298363,3.141593
0.005000,-0.000462,0.000000,0.000464,0.026535,0.964918,19.298363,3.141593
0.005000,-0.000608,0.000000,0.000610,0.031842,1.061410,19.298363,3.141593
0.005000,-0.000782,0.000000,0.000784,0.037632,1.157902,19.298363,3.141593
0.005000,-0.000986,0.000000,0.000988,0.043904,1.254394,19.298363,3.141593
0.005000,-0.001222,0.000000,0.001224,0.050658,1.350885,19.298363,3.141593
0.005000,-0.001493,0.000000,0.001496,0.057895,1.447377,19.298363,3.141593
0.005000,-0.001802,0.000000,0.001804,0.065614,1.543869,19.298363,3.141593
0.005000,-0.002151,0.000000,0.002153,0.073816,1.640361,19.298363,3.141593
0.005000,-0.002541,0.000000,0.002544,0.082501,1.736853,19.298363,3.141593
0.005000,-0.002977,0.000000,0.002979,0.091667,1.833345,19.298363,3.141593
0.005000,-0.003459,0.000000,0.003462,0.101316,1.929836,19.298363,3.141593
0.005000,-0.003991,0.000000,0.003994,0.111448,2.026328,19.298363,3.141593
0.005000,-0.004575,0.000000,0.004577,0.122062,2.122820,19.298363,3.141593
0.005000,-0.005213,0.000000,0.005215,0.133159,2.219312,19.298363,3.141593
0.005000,-0.005908,0.000000,0.005910,0.144738,2.315804,19.298363,3.141593
0.005000,-0.006662,0.000000,0.006664,0.156799,2.412295,19.298363,3.141593
0.005000,-0.007477,0.000000,0.007479,0.169343,2.508787,19.298363,3.141593
0.005000,-0.008356,0.000000,0.008359,0.182370,2.605279,19.298363,3.141593
0.005000,-0.009302,0.000000,0.009304,0.195878,2.701771,19.298363,3.141593
0.005000,-0.010316,0.000000,0.010319,0.209870,2.798263,19.298363,3.141593
0.005000,-0.011402,0.000000,0.011404,0.224343,2.894754,19.298363,3.141593
0.005000,-0.012561,0.000000,0.012563,0.239300,2.991246,19.298363,3.141593
0.005000,-0.013796,0.000000,0.013798,0.254738,3.087738,19.298363,3.141593
0.005000,-0.015110,0.000000,0.015112,0.270660,3.184230,19.298363,3.141593
0.005000,-0.016504,0.000000,0.016506,0.287063,3.280722,19.298363,3.141593
0.005000,-0.017981,0.000000,0.017984,0.303949,3.377214,19.298363,3.141593
0.005000,-0.019545,0.000000,0.019547,0.321318,3.473705,19.298363,3.141593
0.005000,-0.021196,0.000000,0.021198,0.339169,3.570197,19.298363,3.141593
0.005000,-0.022937,0.000000,0.022940,0.357502,3.666689,19.298363,3.141593
0.005000,-0.024772,0.000000,0.024774,0.376318,3.763181,19.298363,3.141593
0.005000,-0.026702,0.000000,0.026704,0.395616,3.859673,19.298363,3.141593
0.005000,-0.028729,0.000000,0.028732,0.415397,3.956164,19.298363,3.141593
0.005000,-0.030857,0.000000,0.030859,0.435661,4.052656,19.298363,3.141593
0.005000,-0.033087,0.000000,0.033089,0.456406,4.149148,19.298363,3.141593
0.005000,-0.035422,0.000000,0.035425,0.477634,4.245640,19.298363,3.141593
0.005000,-0.037865,0.000000,0.037867,0.499345,4.342132,19.298363,3.141593
0.005000,-0.040417,0.000000,0.040419,0.521538,4.438624,19.298363,3.141593
0.005000,-0.043081,0.000000,0.043084,0.544214,4.535115,19.298363,3.141593
0.005000,-0.045860,0.000000,0.045863,0.567372,4.631607,19.298363,3.141593
0.005000,-0.048756,0.000000,0.048759,0.591012,4.728099,19.298363,3.141593
0.005000,-0.051772,0.000000,0.051774,0.615135,4.824591,19.298363,3.141593
0.005000,-0.054909,0.000000,0.054911,0.639741,4.921083,19.298363,3.141593
0.005000,-0.058170,0.000000,0.058173,0.664829,5.017574,19.298363,3.141593
0.005000,-0.061558,0.000000,0.061561,0.690399,5.114066,19.298363,3.141593
0.005000,-0.065075,0.000000,0.065078,0.716452,5.210558,19.298363,3.141593
0.005000,-0.068724,0.000000,0.068726,0.742987,5.307050,19.298363,3.141593
0.005000,-0.072506,0.000000,0.072509,0.770005,5.403542,19.298363,3.141593
0.005000,-0.076425,0.000000,0.076428,0.797505,5.500034,19.298363,3.141593
0.005000,-0.080483,0.000000,0.080485,0.825487,5.596525,19.298363,3.141593
0.005000,-0.084681,0.000000,0.084684,0.853953,5.693017,19.298363,3.141593
0.005000,-0.089023,0.000000,0.089026,0.882900,5.789509,19.298363,3.141593
0.005000,-0.093512,0.000000,0.093514,0.912330,5.886001,19.298363,3.141593
0.005000,-0.098148,0.000000,0.098150,0.942243,5.982493,19.298363,3.141593
0.005000,-0.102935,0.000000,0.102937,0.972638,6.078984,19.298363,3.141593
0.005000,-0.107874,0.000000,0.107877,1.003032,6.078984,0.000000,3.141593
0.005000,-0.112966,0.000000,0.112968,1.033427,6.078984,-0.000000,3.141593
0.005000,-0.118209,0.000000,0.118211,1.063822,6.078984,0.000000,3.141593
0.005000,-0.123604,0.000000,0.123606,1.094217,6.078984,0.000000,3.141593
0.005000,-0.129151,0.000000,0.129153,1.124612,6.078984,-0.000000,3.141593
0.005000,-0.134850,0.000000,0.134852,1.155007,6.078984,0.000000,3.141593
0.005000,-0.140701,0.000000,0.140703,1.185402,6.078984,-0.000000,3.141593
0.005000,-0.146704,0.000000,0.146706,1.215797,6.078984,0.000000,3.141593
0.005000,-0.152859,0.000000,0.152861,1.246192,6.078984,0.000000,3.141593
0.005000,-0.159166,0.000000,0.159168,1.276587,6.078984,-0.000000,3.141593
0.005000,-0.165625,0.000000,0.165627,1.306982,6.078984,0.000000,3.141593
0.005000,-0.172236,0.000000,0.172238,1.337377,6.078984,-0.000000,3.141593
0.005000,-0.178998,0.000000,0.179001,1.367771,6.078984,0.000000,3.141593
0.005000,-0.185913,0.000000,0.185916,1.398166,6.078984,0.000000,3.141593
0.005000,-0.192980,0.000000,0.192982,1.428561,6.078984,-0.000000,3.141593
0.005000,-0.200199,0.000000,0.200201,1.458956,6.078984,0.000000,3.141593
0.005000,-0.207570,0.000000,0.207572,1.489351,6.078984,0.000000,3.141593
0.005000,-0.215092,0.000000,0.215095,1.519746,6.078984,-0.000000,3.141593
0.005000,-0.222767,0.000000,0.222769,1.550141,6.078984,0.000000,3.141593
0.005000,-0.230573,0.000002,0.230596,1.580536,6.078984,0.000000,3.140032
0.005000,-0.238552,0.000039,0.238575,1.610931,6.078984,-0.000000,3.133676
0.005000,-0.246682,0.000130,0.246705,1.641326,6.078984,0.000000,3.127118
0.005000,-0.254963,0.000278,0.254988,1.671721,6.078984,-0.000000,3.120353
0.005000,-0.263395,0.000487,0.263423,1.702116,6.078984,0.000000,3.113376
0.005000,-0.271978,0.000760,0.272009,1.732511,6.078984,0.000000,3.106182
0.005000,-0.280709,0.001101,0.280748,1.762905,6.078984,-0.000000,3.098765
0.005000,-0.289590,0.001516,0.289638,1.793300,6.078984,0.000000,3.091119
0.005000,-0.298619,0.002008,0.298681,1.823695,6.078984,-0.000000,3.083240
0.005000,-0.307796,0.002581,0.307875,1.854090,6.078984,0.000000,3.075121
0.005000,-0.317119,0.003241,0.317222,1.884485,6.078984,-0.000000,3.066756
0.005000,-0.326588,0.003992,0.326720,1.914880,6.078984,0.000000,3.058140
0.005000,-0.336201,0.004839,0.336370,1.945275,6.078984,-0.000000,3.049267
0.005000,-0.345957,0.005787,0.346173,1.975670,6.078984,0.000000,3.040132
0.005000,-0.355855,0.006841,0.356127,2.006065,6.078984,-0.000000,3.030728
0.005000,-0.365894,0.008008,0.366233,2.036460,6.078984,-0.000000,3.021050
0.005000,-0.376072,0.009292,0.376492,2.066855,6.078984,0.000000,3.011093
0.005000,-0.386385,0.010699,0.386901,2.096767,5.982493,-19.298363,3.000852
0.005000,-0.396830,0.012235,0.397458,2.126197,5.886001,-19.298363,2.990326
0.005000,-0.407402,0.013905,0.408162,2.155145,5.789509,-19.298363,2.979512
