dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,0.000000,0.000000,0.000001,0.000483,0.096658,19.331525,3.141591
0.005000,-0.000001,-0.000000,0.000006,0.001450,0.193315,19.331525,3.141593
0.005000,-0.000012,-0.000000,0.000017,0.002900,0.289973,19.331525,3.141596
0.005000,-0.000031,-0.000000,0.000036,0.004833,0.386630,19.331525,3.141603
0.005000,-0.000061,-0.000000,0.000066,0.007249,0.483288,19.331525,3.141612
0.005000,-0.000105,-0.000000,0.000110,0.010149,0.579946,19.331525,3.141626
0.005000,-0.000164,-0.000000,0.000169,0.013532,0.676603,19.331525,3.141645
0.005000,-0.000242,-0.000000,0.000246,0.017398,0.773261,19.331525,3.141670
0.005000,-0.000339,-0.000000,0.000344,0.021748,0.869919,19.331525,3.141701
0.005000,-0.000460,-0.000000,0.000465,0.026581,0.966576,19.331525,3.141739
0.005000,-0.000606,-0.000000,0.000611,0.031897,1.063234,19.331525,3.141785
0.005000,-0.000780,-0.000000,0.000785,0.037696,1.159891,19.331525,3.141840
0.005000,-0.000985,-0.000000,0.000990,0.043979,1.256549,19.331525,3.141904
0.005000,-0.001221,-0.000000,0.001226,0.050745,1.353207,19.331525,3.141978
0.005000,-0.001493,-0.000000,0.001498,0.057995,1.449864,19.331525,3.142063
0.005000,-0.001803,-0.000001,0.001807,0.065727,1.546522,19.331525,3.142159
0.005000,-0.002152,-0.000001,0.002157,0.073943,1.643180,19.331525,3.142266
0.005000,-0.002543,-0.000001,0.002548,0.082642,1.739837,19.331525,3.142386
0.005000,-0.002979,-0.000001,0.002984,0.091825,1.836495,19.331525,3.142518
0.005000,-0.003463,-0.000002,0.003468,0.101491,1.933152,19.331525,3.142664
0.005000,-0.003995,-0.000002,0.004000,0.111640,2.029810,19.331525,3.142823
0.005000,-0.004580,-0.000003,0.004585,0.122272,2.126468,19.331525,3.142995
0.005000,-0.005219,-0.000004,0.005224,0.133388,2.223125,19.331525,3.143182
0.005000,-0.005915,-0.000005,0.005920,0.144986,2.319783,19.331525,3.143382
0.005000,-0.006670,-0.000007,0.006675,0.157069,2.416441,19.331525,3.143596
0.005000,-0.007487,-0.000009,0.007492,0.169634,2.513098,19.331525,3.143824
0.005000,-0.008368,-0.000011,0.008373,0.182683,2.609756,19.331525,3.144066
0.005000,-0.009315,-0.000013,0.009320,0.196215,2.706413,19.331525,3.144321
0.005000,-0.010331,-0.000016,0.010336,0.210230,2.803071,19.331525,3.144589
0.005000,-0.011419,-0.000019,0.011424,0.224729,2.899729,19.331525,3.144870
0.005000,-0.012580,-0.000023,0.012585,0.239711,2.996386,19.331525,3.145162
