dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,0.000000,0.000000,0.000001,0.000483,0.096600,19.319964,3.141591
0.005000,0.000000,0.000000,0.000006,0.001449,0.193200,19.319964,3.141591
0.005000,0.000000,0.000000,0.000017,0.002898,0.289799,19.319964,3.141592
0.005000,-0.000017,-0.000000,0.000036,0.004830,0.386399,19.319964,3.141595
0.005000,-0.000047,-0.000000,0.000066,0.007245,0.482999,19.319964,3.141598
0.005000,-0.000091,-0.000000,0.000110,0.010143,0.579599,19.319964,3.141603
0.005000,-0.000150,-0.000000,0.000169,0.013524,0.676199,19.319964,3.141610
0.005000,-0.000227,-0.000000,0.000246,0.017388,0.772799,19.319964,3.141618
0.005000,-0.000325,-0.000000,0.000344,0.021735,0.869398,19.319964,3.141629
0.005000,-0.000446,-0.000000,0.000465,0.026565,0.965998,19.319964,3.141643
0.005000,-0.000592,-0.000000,0.000611,0.031878,1.062598,19.319964,3.141660
0.005000,-0.000766,-0.000000,0.000785,0.037674,1.159198,19.319964,3.141679
0.005000,-0.000970,-0.000000,0.000989,0.043953,1.255798,19.319964,3.141702
0.005000,-0.001206,-0.000000,0.001226,0.050715,1.352397,19.319964,3.141729
0.005000,-0.001478,-0.000000,0.001497,0.057960,1.448997,19.319964,3.141760
0.005000,-0.001787,-0.000000,0.001806,0.065688,1.545597,19.319964,3.141794
0.005000,-0.002136,-0.000000,0.002155,0.073899,1.642197,19.319964,3.141834
0.005000,-0.002527,-0.000000,0.002547,0.082593,1.738797,19.319964,3.141878
0.005000,-0.002963,-0.000000,0.002983,0.091770,1.835397,19.319964,3.141926
0.005000,-0.003446,-0.000001,0.003466,0.101430,1.931996,19.319964,3.141981
0.005000,-0.003979,-0.000001,0.003998,0.111573,2.028596,19.319964,3.142040
0.005000,-0.004563,-0.000001,0.004582,0.122199,2.125196,19.319964,3.142105
0.005000,-0.005202,-0.000002,0.005221,0.133308,2.221796,19.319964,3.142176
0.005000,-0.005897,-0.000002,0.005917,0.144900,2.318396,19.319964,3.142254
0.005000,-0.006652,-0.000002,0.006671,0.156975,2.414996,19.319964,3.142337
0.005000,-0.007468,-0.000003,0.007488,0.169533,2.511595,19.319964,3.142427
0.005000,-0.008349,-0.000004,0.008368,0.182574,2.608195,19.319964,3.142524
0.005000,-0.009295,-0.000005,0.009315,0.196098,2.704795,19.319964,3.142628
0.005000,-0.010311,-0.000006,0.010330,0.210105,2.801395,19.319964,3.142739
0.005000,-0.011398,-0.000007,0.011417,0.224595,2.897995,19.319964,3.142857
0.005000,-0.012558,-0.000009,0.012577,0.239568,2.994594,19.319964,3.142983
0.005000,-0.013794,-0.000011,0.013814,0.255024,3.091194,19.319964,3.143116
0.005000,-0.015109,-0.000013,0.015129,0.270962,3.187794,19.319964,3.143258
0.005000,-0.016505,-0.000015,0.016525,0.287384,3.284394,19.319964,3.143407
0.005000,-0.017984,-0.000018,0.018004,0.304289,3.380994,19.319964,3.143564
0.005000,-0.019549,-0.000021,0.019569,0.321677,3.477594,19.319964,3.143729
0.005000,-0.021202,-0.000025,0.021222,0.339548,3.574193,19.319964,3.143903
0.005000,-0.022946,-0.000029,0.022965,0.357902,3.670793,19.319964,3.144085
0.005000,-0.024783,-0.000034,0.024802,0.376739,3.767393,19.319964,3.144275
0.005000,-0.026715,-0.000039,0.026734,0.396059,3.863993,19.319964,3.144473
0.005000,-0.028744,-0.000045,0.028764,0.415862,3.960593,19.319964,3.144680
0.005000,-0.030874,-0.000052,0.030894,0.436148,4.057192,19.319964,3.144896
0.005000,-0.033107,-0.000060,0.033126,0.456917,4.153792,19.319964,3.145120
0.005000,-0.035445,-0.000068,0.035464,0.478169,4.250392,19.319964,3.145352
0.005000,-0.037890,-0.000078,0.037909,0.499904,4.346992,19.319964,3.145592
0.005000,-0.040445,-0.000088,0.040464,0.522122,4.443592,19.319964,3.145841
0.005000,-0.043112,-0.000100,0.043132,0.544823,4.540192,19.319964,3.146098
0.005000,-0.045894,-0.000113,0.045914,0.568007,4.636791,19.319964,3.146363
0.005000,-0.048794,-0.000127,0.048813,0.591674,4.733391,19.319964,3.146636
0.005000,-0.051812,-0.000143,0.051832,0.615824,4.829991,19.319964,3.146916
0.005000,-0.054953,-0.000160,0.054973,0.640457,4.926591,19.319964,3.147204
0.005000,-0.058218,-0.000179,0.058238,0.665573,5.023191,19.319964,3.147498
0.005000,-0.061610,-0.000199,0.061629,0.691172,5.119791,19.319964,3.147800
0.005000,-0.065131,-0.000222,0.065151,0.717254,5.216390,19.319964,3.148108
0.005000,-0.068783,-0.000246,0.068803,0.743819,5.312990,19.319964,3.148423
0.005000,-0.072570,-0.000272,0.072590,0.770867,5.409590,19.319964,3.148743
0.005000,-0.076493,-0.000301,0.076513,0.798398,5.506190,19.319964,3.149069
0.005000,-0.080555,-0.000332,0.080575,0.826411,5.602790,19.319964,3.149400
0.005000,-0.084758,-0.000366,0.084778,0.854908,5.699389,19.319964,3.149736
0.005000,-0.089105,-0.000402,0.089125,0.883888,5.795989,19.319964,3.150075
0.005000,-0.093598,-0.000441,0.093619,0.913351,5.892589,19.319964,3.150418
0.005000,-0.098239,-0.000482,0.098260,0.943297,5.989189,19.319964,3.150763
0.005000,-0.103032,-0.000527,0.103053,0.973726,6.085789,19.319964,3.151111
0.005000,-0.107977,-0.000575,0.107999,1.004638,6.182389,19.319964,3.151460
0.005000,-0.113079,-0.000626,0.113100,1.036033,6.278988,19.319964,3.151810
0.005000,-0.118338,-0.000681,0.118360,1.067911,6.375588,19.319964,3.152160
0.005000,-0.123758,-0.000739,0.123781,1.100272,6.472188,19.319964,3.152508
0.005000,-0.129342,-0.000801,0.129364,1.133116,6.568788,19.319964,3.152855
0.005000,-0.135090,-0.000867,0.135113,1.166443,6.665388,19.319964,3.153200
0.005000,-0.141006,-0.000937,0.141030,1.200253,6.761987,19.319964,3.153540
0.005000,-0.147093,-0.001010,0.147117,1.234546,6.858587,19.319964,3.153876
0.005000,-0.153352,-0.001088,0.153376,1.269322,6.955187,19.319964,3.154205
0.005000,-0.159786,-0.001171,0.159811,1.304581,7.051787,19.319964,3.154528
0.005000,-0.166398,-0.001257,0.166423,1.340323,7.148387,19.319964,3.154842
0.005000,-0.173190,-0.001348,0.173216,1.376547,7.244987,19.319964,3.155146
0.005000,-0.180162,-0.001444,0.180189,1.412772,7.244987,0.000000,3.155440
0.005000,-0.187316,-0.001544,0.187343,1.448997,7.244987,0.000000,3.155721
0.005000,-0.194651,-0.001648,0.194679,1.485222,7.244987,-0.000000,3.155988
0.005000,-0.202167,-0.001758,0.202195,1.521447,7.244987,0.000000,3.156239
0.005000,-0.209864,-0.001871,0.209893,1.557672,7.244987,0.000000,3.156473
0.005000,-0.217742,-0.001989,0.217772,1.593897,7.244987,-0.000000,3.156687
0.005000,-0.225801,-0.002112,0.225832,1.630122,7.244987,0.000000,3.156882
0.005000,-0.234041,-0.002238,0.234073,1.666347,7.244987,0.000000,3.157053
0.005000,-0.242462,-0.002369,0.242496,1.702572,7.244987,0.000000,3.157201
0.005000,-0.251065,-0.002504,0.251099,1.738797,7.244987,0.000000,3.157323
0.005000,-0.259848,-0.002643,0.259884,1.775022,7.244987,-0.000000,3.157416
0.005000,-0.268813,-0.002785,0.268849,1.811247,7.244987,0.000000,3.157481
0.005000,-0.277958,-0.002930,0.277996,1.847472,7.244987,-0.000000,3.157513
0.005000,-0.287285,-0.003079,0.287324,1.883697,7.244987,-0.000000,3.157512
0.005000,-0.296793,-0.003230,0.296833,1.919921,7.244987,0.000000,3.157475
0.005000,-0.306482,-0.003384,0.306523,1.956146,7.244987,-0.000000,3.157400
0.005000,-0.316352,-0.003539,0.316395,1.992371,7.244987,-0.000000,3.157286
0.005000,-0.326403,-0.003696,0.326447,2.028596,7.244987,0.000000,3.157129
0.005000,-0.336635,-0.003854,0.336681,2.064821,7.244987,-0.000000,3.156928
0.005000,-0.347049,-0.004013,0.347095,2.101046,7.244987,0.000000,3.156681
0.005000,-0.357643,-0.004171,0.357691,2.137271,7.244987,0.000000,3.156386
0.005000,-0.368418,-0.004329,0.368467,2.173013,7.148387,-19.319964,3.156039
0.005000,-0.379370,-0.004485,0.379420,2.208272,7.051787,-19.319964,3.155639
0.005000,-0.390497,-0.004638,0.390548,2.243048,6.955187,-19.319964,3.155184
0.005000,-0.401797,-0.004789,0.401849,2.277341,6.858587,-19.319964,3.154671
0.005000,-0.413268,-0.004936,0.413320,2.311151,6.761987,-19.319964,3.154098
0.005000,-0.424906,-0.005078,0.424960,2.344478,6.665388,-19.319964,3.153463
0.005000,-0.436710,-0.005214,0.436764,2.377322,6.568788,-19.319964,3.152764
0.005000,-0.448676,-0.005343,0.448732,2.409683,6.472188,-19.319964,3.151998
0.005000,-0.460804,-0.005464,0.460860,2.441560,6.375588,-19.319964,3.151162
0.005000,-0.473090,-0.005576,0.473146,2.472955,6.278988,-19.319964,3.150256
0.005000,-0.485531,-0.005678,0.485588,2.503867,6.182389,-19.319964,3.149276
0.005000,-0.498126,-0.005768,0.498183,2.534296,6.085789,-19.319964,3.148221
0.005000,-0.510872,-0.005846,0.510930,2.564242,5.989189,-19.319964,3.147088
0.005000,-0.523767,-0.005909,0.523825,2.593705,5.892589,-19.319964,3.145874
0.005000,-0.536808,-0.005956,0.536866,2.622685,5.795989,-19.319964,3.144579
