dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,0.000000,0.000000,0.000001,0.000302,0.060427,12.085454,0.000000
0.005000,0.000000,0.000000,0.000004,0.000906,0.120855,12.085454,0.000000
0.005000,0.000003,0.000000,0.000011,0.001813,0.181282,12.085454,0.000000
0.005000,0.000015,0.000000,0.000023,0.003021,0.241709,12.085454,0.000000
0.005000,0.000034,0.000000,0.000042,0.004532,0.302136,12.085454,0.000000
0.005000,0.000061,0.000000,0.000069,0.006345,0.362564,12.085454,0.000000
0.005000,0.000098,0.000000,0.000106,0.008460,0.422991,12.085454,0.000000
0.005000,0.000146,0.000000,0.000154,0.010877,0.483418,12.085454,0.000000
0.005000,0.000208,0.000000,0.000215,0.013596,0.543845,12.085454,0.000000
0.005000,0.000283,0.000000,0.000291,0.016617,0.604273,12.085454,0.000000
0.005000,0.000375,0.000000,0.000382,0.019941,0.664700,12.085454,0.000000
0.005000,0.000483,0.000000,0.000491,0.023567,0.725127,12.085454,0.000000
0.005000,0.000611,0.000000,0.000619,0.027494,0.785555,12.085454,0.000000
0.005000,0.000759,0.000000,0.000767,0.031724,0.845982,12.085454,0.000000
0.005000,0.000929,0.000000,0.000937,0.036256,0.906409,12.085454,0.000000
0.005000,0.001122,0.000000,0.001130,0.041091,0.966836,12.085454,0.000000
0.005000,0.001341,0.000000,0.001348,0.046227,1.027264,12.085454,0.000000
0.005000,0.001585,0.000000,0.001593,0.051665,1.087691,12.085454,0.000000
0.005000,0.001858,0.000000,0.001866,0.057406,1.148118,12.085454,0.000000
0.005000,0.002160,0.000000,0.002168,0.063449,1.208545,12.085454,0.000000
0.005000,0.002493,0.000000,0.002501,0.069793,1.268973,12.085454,0.000000
0.005000,0.002859,0.000000,0.002867,0.076440,1.329400,12.085454,0.000000
0.005000,0.003258,0.000000,0.003266,0.083390,1.389827,12.085454,0.000000
0.005000,0.003694,0.000000,0.003701,0.090641,1.450254,12.085454,0.000000
0.005000,0.004166,0.000000,0.004173,0.098194,1.510682,12.085454,0.000000
0.005000,0.004676,0.000000,0.004684,0.106050,1.571109,12.085454,0.000000
0.005000,0.005227,0.000000,0.005235,0.114208,1.631536,12.085454,0.000000
0.005000,0.005819,0.000000,0.005827,0.122667,1.691964,12.085454,0.000000
0.005000,0.006454,0.000000,0.006462,0.131429,1.752391,12.085454,0.000000
0.005000,0.007134,0.000000,0.007142,0.140493,1.812818,12.085454,0.000000
0.005000,0.007860,0.000000,0.007868,0.149860,1.873245,12.085454,0.000000
0.005000,0.008633,0.000000,0.008641,0.159528,1.933673,12.085454,0.000000
0.005000,0.009456,0.000000,0.009464,0.169498,1.994100,12.085454,0.000000
0.005000,0.010329,0.000000,0.010337,0.179771,2.054527,12.085454,0.000000
0.005000,0.011255,0.000000,0.011262,0.190346,2.114954,12.085454,0.000000
0.005000,0.012233,0.000000,0.012241,0.201223,2.175382,12.085454,0.000000
0.005000,0.013267,0.000000,0.013275,0.212402,2.235809,12.085454,0.000000
0.005000,0.014358,0.000000,0.014366,0.223883,2.296236,12.085454,0.000000
0.005000,0.015507,0.000000,0.015515,0.235666,2.356664,12.085454,0.000000
0.005000,0.016716,0.000000,0.016723,0.247752,2.417091,12.085454,0.000000
0.005000,0.017985,0.000000,0.017993,0.260139,2.477518,12.085454,0.000000
