dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,0.000000,0.000000,0.000001,0.000475,0.095057,19.011314,3.141593
0.005000,0.000000,0.000000,0.000006,0.001426,0.190113,19.011314,3.141593
0.005000,-0.000011,0.000000,0.000017,0.002852,0.285170,19.011314,3.141593
0.005000,-0.000030,0.000000,0.000036,0.004753,0.380226,19.011314,3.141593
0.005000,-0.000059,0.000000,0.000065,0.007129,0.475283,19.011314,3.141593
0.005000,-0.000102,0.000000,0.000108,0.009981,0.570339,19.011314,3.141593
0.005000,-0.000160,0.000000,0.000166,0.013308,0.665396,19.011314,3.141593
0.005000,-0.000236,0.000000,0.000242,0.017110,0.760453,19.011314,3.141593
0.005000,-0.000333,0.000000,0.000339,0.021388,0.855509,19.011314,3.141593
0.005000,-0.000451,0.000000,0.000457,0.026141,0.950566,19.011314,3.141593
0.005000,-0.000595,0.000000,0.000601,0.031369,1.045622,19.011314,3.141593
0.005000,-0.000766,0.000000,0.000772,0.037072,1.140679,19.011314,3.141593
0.005000,-0.000967,0.000000,0.000973,0.043251,1.235735,19.011314,3.141593
0.005000,-0.001200,0.000000,0.001206,0.049905,1.330792,19.011314,3.141593
0.005000,-0.001467,0.000000,0.001473,0.057034,1.425849,19.011314,3.141593
0.005000,-0.001771,0.000000,0.001778,0.064638,1.520905,19.011314,3.141593
0.005000,-0.002115,0.000000,0.002121,0.072718,1.615962,19.011314,3.141593
0.005000,-0.002500,0.000000,0.002506,0.081273,1.711018,19.011314,3.141593
0.005000,-0.002929,0.000000,0.002935,0.090304,1.806075,19.011314,3.141593
0.005000,-0.003404,0.000000,0.003410,0.099809,1.901131,19.011314,3.141593
0.005000,-0.003928,0.000000,0.003934,0.109790,1.996188,19.011314,3.141593
0.005000,-0.004503,0.000000,0.004509,0.120247,2.091245,19.011314,3.141593
0.005000,-0.005132,0.000000,0.005138,0.131178,2.186301,19.011314,3.141593
0.005000,-0.005816,0.000000,0.005822,0.142585,2.281358,19.011314,3.141593
0.005000,-0.006559,0.000000,0.006565,0.154467,2.376414,19.011314,3.141593
0.005000,-0.007362,0.000000,0.007368,0.166824,2.471471,19.011314,3.141593
0.005000,-0.008228,0.000000,0.008234,0.179657,2.566527,19.011314,3.141593
0.005000,-0.009160,0.000000,0.009166,0.192965,2.661584,19.011314,3.141593
0.005000,-0.010159,0.000000,0.010165,0.206748,2.756641,19.011314,3.141593
0.005000,-0.011228,0.000000,0.011234,0.221007,2.851697,19.011314,3.141593
0.005000,-0.012370,0.000000,0.012376,0.235740,2.946754,19.011314,3.141593
0.005000,-0.013587,0.000000,0.013593,0.250949,3.041810,19.011314,3.141593
0.005000,-0.014881,0.000000,0.014887,0.266634,3.136867,19.011314,3.141593
0.005000,-0.016255,0.000000,0.016261,0.282793,3.231923,19.011314,3.141593
0.005000,-0.017710,0.000000,0.017716,0.299428,3.326980,19.011314,3.141593
0.005000,-0.019250,0.000000,0.019256,0.316538,3.422037,19.011314,3.141593
0.005000,-0.020877,0.000000,0.020883,0.334124,3.517093,19.011314,3.141593
0.005000,-0.022592,0.000000,0.022599,0.352185,3.612150,19.011314,3.141593
0.005000,-0.024400,0.000000,0.024406,0.370721,3.707206,19.011314,3.141593
0.005000,-0.026301,0.000000,0.026307,0.389732,3.802263,19.011314,3.141593
0.005000,-0.028297,0.000000,0.028303,0.408743,3.802263,0.000000,3.141593
0.005000,-0.030388,0.000000,0.030394,0.427755,3.802263,0.000000,3.141593
0.005000,-0.032575,0.000000,0.032581,0.446766,3.802263,0.000000,3.141593
0.005000,-0.034856,0.000000,0.034862,0.465777,3.802263,0.000000,3.141593
0.005000,-0.037232,0.000000,0.037238,0.484789,3.802263,0.000000,3.141593
0.005000,-0.039704,0.000000,0.039710,0.503800,3.802263,0.000000,3.141593
0.005000,-0.042270,0.000000,0.042276,0.522811,3.802263,-0.000000,3.141593
0.005000,-0.044932,0.000000,0.044938,0.541822,3.802263,0.000000,3.141593
0.005000,-0.047689,0.000000,0.047695,0.560834,3.802263,-0.000000,3.141593
0.005000,-0.050540,0.000000,0.050546,0.579845,3.802263,0.000000,3.141593
0.005000,-0.053487,0.000000,0.053493,0.598856,3.802263,-0.000000,3.141593
0.005000,-0.056529,0.000000,0.056535,0.617868,3.802263,0.000000,3.141593
0.005000,-0.059666,0.000000,0.059672,0.636879,3.802263,-0.000000,3.141593
0.005000,-0.062898,0.000000,0.062904,0.655890,3.802263,0.000000,3.141593
0.005000,-0.066225,0.000000,0.066231,0.674902,3.802263,-0.000000,3.141593
0.005000,-0.069647,0.000000,0.069653,0.693913,3.802263,0.000000,3.141593
0.005000,-0.073164,0.000000,0.073170,0.712924,3.802263,-0.000000,3.141593
0.005000,-0.076776,0.000000,0.076782,0.731936,3.802263,0.000000,3.141593
0.005000,-0.080483,0.000000,0.080489,0.750947,3.802263,-0.000000,3.141593
0.005000,-0.084285,0.000000,0.084291,0.769958,3.802263,0.000000,3.141593
0.005000,-0.088183,0.000000,0.088189,0.788970,3.802263,-0.000000,3.141593
0.005000,-0.092175,0.000000,0.092181,0.807981,3.802263,0.000000,3.141593
0.005000,-0.096262,0.000000,0.096269,0.826992,3.802263,-0.000000,3.141593
0.005000,-0.100444,0.000000,0.100450,0.845528,3.707206,-19.011314,3.141593
0.005000,-0.104717,0.000000,0.104723,0.863589,3.612150,-19.011314,3.141593
0.005000,-0.109078,0.000000,0.109085,0.881174,3.517093,-19.011314,3.141593
0.005000,-0.113527,0.000000,0.113533,0.898285,3.422037,-19.011314,3.141593
0.005000,-0.118060,0.000000,0.118066,0.914919,3.326980,-19.011314,3.141593
0.005000,-0.122675,0.000000,0.122681,0.931079,3.231923,-19.011314,3.141593
0.005000,-0.127370,0.000000,0.127376,0.946763,3.136867,-19.011314,3.141593
0.005000,-0.132142,0.000000,0.132148,0.961972,3.041810,-19.011314,3.141593
0.005000,-0.136988,0.000000,0.136994,0.976706,2.946754,-19.011314,3.141593
0.005000,-0.141907,0.000000,0.141914,0.990965,2.851697,-19.011314,3.141593
0.005000,-0.146897,0.000000,0.146903,1.004748,2.756641,-19.011314,3.141593
0.005000,-0.151954,0.000000,0.151960,1.018056,2.661584,-19.011314,3.141593
0.005000,-0.157076,0.000000,0.157082,1.030889,2.566527,-19.011314,3.141593
0.005000,-0.162261,0.000000,0.162268,1.043246,2.471471,-19.011314,3.141593
0.005000,-0.167507,0.000000,0.167513,1.055128,2.376414,-19.011314,3.141593
0.005000,-0.172812,0.000000,0.172818,1.066535,2.281358,-19.011314,3.141593
0.005000,-0.178172,0.000000,0.178178,1.077466,2.186301,-19.011314,3.141593
0.005000,-0.183585,0.000000,0.183591,1.087922,2.091245,-19.011314,3.141593
0.005000,-0.189050,0.000000,0.189056,1.097903,1.996188,-19.011314,3.141593
0.005000,-0.194563,0.000000,0.194569,1.107409,1.901131,-19.011314,3.141593
0.005000,-0.200122,0.000000,0.200129,1.116439,1.806075,-19.011314,3.141593
0.005000,-0.205726,0.000000,0.205732,1.124995,1.711018,-19.011314,3.141593
0.005000,-0.211371,0.000000,0.211377,1.133074,1.615962,-19.011314,3.141593
0.005000,-0.217056,0.000000,0.217062,1.140679,1.520905,-19.011314,3.141593
0.005000,-0.222777,0.000000,0.222783,1.147808,1.425849,-19.011314,3.141593
0.005000,-0.228532,0.000000,0.228539,1.154462,1.330792,-19.011314,3.141593
0.005000,-0.234320,0.000000,0.234326,1.160641,1.235735,-19.011314,3.141593
0.005000,-0.240138,0.000000,0.240144,1.166344,1.140679,-19.011314,3.141593
0.005000,-0.245982,0.000000,0.245989,1.171572,1.045622,-19.011314,3.141593
0.005000,-0.251852,0.000000,0.251858,1.176325,0.950566,-19.011314,3.141593
0.005000,-0.257745,0.000000,0.257751,1.180603,0.855509,-19.011314,3.141593
0.005000,-0.263657,0.000000,0.263663,1.184405,0.760453,-19.011314,3.141593
0.005000,-0.269587,0.000000,0.269594,1.187732,0.665396,-19.011314,3.141593
0.005000,-0.275533,0.000000,0.275539,1.190584,0.570339,-19.011314,3.141593
0.005000,-0.281492,0.000000,0.281498,1.192960,0.475283,-19.011314,3.141593
0.005000,-0.287462,0.000000,0.287468,1.194861,0.380226,-19.011314,3.141593
0.005000,-0.293439,0.000000,0.293446,1.196287,0.285170,-19.011314,3.141593
0.005000,-0.299423,0.000000,0.299429,1.197237,0.190113,-19.011314,3.141593
0.005000,-0.305410,0.000000,0.305417,1.197615,0.075574,-22.907896,3.141593
