dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,0.000000,0.000000,0.000001,0.000475,0.094920,18.984031,3.141599
0.005000,0.000000,0.000000,0.000006,0.001424,0.189840,18.984031,3.141594
0.005000,-0.000009,0.000000,0.000017,0.002848,0.284760,18.984031,3.141584
0.005000,-0.000028,0.000000,0.000036,0.004746,0.379681,18.984031,3.141567
0.005000,-0.000058,0.000000,0.000065,0.007119,0.474601,18.984031,3.141539
0.005000,-0.000100,0.000000,0.000108,0.009967,0.569521,18.984031,3.141500
0.005000,-0.000158,0.000000,0.000166,0.013289,0.664441,18.984031,3.141446
0.005000,-0.000234,0.000000,0.000242,0.017086,0.759361,18.984031,3.141375
0.005000,-0.000330,0.000000,0.000338,0.021357,0.854281,18.984031,3.141286
0.005000,-0.000449,0.000000,0.000457,0.026103,0.949202,18.984031,3.141176
0.005000,-0.000593,0.000000,0.000600,0.031324,1.044122,18.984031,3.141043
0.005000,-0.000764,0.000000,0.000771,0.037019,1.139042,18.984031,3.140884
0.005000,-0.000964,0.000000,0.000972,0.043189,1.233962,18.984031,3.140699
0.005000,-0.001197,0.000001,0.001204,0.049833,1.328882,18.984031,3.140483
0.005000,-0.001464,0.000001,0.001471,0.056952,1.423802,18.984031,3.140236
0.005000,-0.001767,0.000001,0.001775,0.064546,1.518722,18.984031,3.139955
0.005000,-0.002110,0.000002,0.002118,0.072614,1.613643,18.984031,3.139638
0.005000,-0.002495,0.000003,0.002502,0.081157,1.708563,18.984031,3.139283
0.005000,-0.002923,0.000004,0.002931,0.090174,1.803483,18.984031,3.138888
0.005000,-0.003398,0.000005,0.003405,0.099666,1.898403,18.984031,3.138451
0.005000,-0.003921,0.000007,0.003929,0.109633,1.993323,18.984031,3.137969
0.005000,-0.004495,0.000009,0.004503,0.120074,2.088243,18.984031,3.137441
0.005000,-0.005123,0.000012,0.005130,0.130990,2.183164,18.984031,3.136865
0.005000,-0.005806,0.000016,0.005814,0.142380,2.278084,18.984031,3.136238
0.005000,-0.006548,0.000020,0.006555,0.154245,2.373004,18.984031,3.135559
0.005000,-0.007350,0.000025,0.007357,0.166585,2.467924,18.984031,3.134827
0.005000,-0.008215,0.000031,0.008222,0.179399,2.562844,18.984031,3.134038
0.005000,-0.009145,0.000039,0.009153,0.192688,2.657764,18.984031,3.133191
0.005000,-0.010143,0.000047,0.010151,0.206451,2.752684,18.984031,3.132286
0.005000,-0.011211,0.000058,0.011218,0.220689,2.847605,18.984031,3.131318
0.005000,-0.012351,0.000070,0.012359,0.235402,2.942525,18.984031,3.130289
0.005000,-0.013566,0.000085,0.013574,0.250589,3.037445,18.984031,3.129194
0.005000,-0.014858,0.000101,0.014866,0.266251,3.132365,18.984031,3.128034
0.005000,-0.016229,0.000121,0.016237,0.282387,3.227285,18.984031,3.126806
0.005000,-0.017682,0.000143,0.017691,0.298998,3.322205,18.984031,3.125510
0.005000,-0.019220,0.000169,0.019228,0.316084,3.417126,18.984031,3.124143
0.005000,-0.020844,0.000198,0.020853,0.333644,3.512046,18.984031,3.122706
0.005000,-0.022557,0.000232,0.022566,0.351679,3.606966,18.984031,3.121195
0.005000,-0.024361,0.000270,0.024371,0.370189,3.701886,18.984031,3.119611
0.005000,-0.026259,0.000314,0.026269,0.389173,3.796806,18.984031,3.117953
0.005000,-0.028253,0.000363,0.028264,0.408631,3.891726,18.984031,3.116219
0.005000,-0.030345,0.000418,0.030357,0.428564,3.986646,18.984031,3.114410
0.005000,-0.032538,0.000479,0.032550,0.448972,4.081567,18.984031,3.112523
0.005000,-0.034834,0.000548,0.034848,0.469855,4.176487,18.984031,3.110560
0.005000,-0.037236,0.000625,0.037250,0.491212,4.271407,18.984031,3.108519
0.005000,-0.039745,0.000711,0.039761,0.513043,4.366327,18.984031,3.106400
0.005000,-0.042364,0.000806,0.042382,0.535350,4.461247,18.984031,3.104203
0.005000,-0.045095,0.000911,0.045114,0.557656,4.461247,0.000000,3.101930
0.005000,-0.047936,0.001027,0.047958,0.579962,4.461247,-0.000000,3.099582
0.005000,-0.050889,0.001155,0.050914,0.602268,4.461247,0.000000,3.097161
0.005000,-0.053953,0.001295,0.053981,0.624575,4.461247,0.000000,3.094671
0.005000,-0.057128,0.001448,0.057160,0.646881,4.461247,0.000000,3.092113
0.005000,-0.060414,0.001615,0.060450,0.669187,4.461247,-0.000000,3.089490
0.005000,-0.063811,0.001797,0.063852,0.691493,4.461247,0.000000,3.086805
0.005000,-0.067318,0.001994,0.067365,0.713800,4.461247,0.000000,3.084060
0.005000,-0.070937,0.002208,0.070990,0.736106,4.461247,0.000000,3.081259
0.005000,-0.074666,0.002438,0.074726,0.758412,4.461247,-0.000000,3.078404
0.005000,-0.078506,0.002687,0.078574,0.780718,4.461247,0.000000,3.075498
0.005000,-0.082456,0.002954,0.082533,0.803025,4.461247,-0.000000,3.072546
0.005000,-0.086517,0.003241,0.086604,0.825331,4.461247,0.000000,3.069549
0.005000,-0.090688,0.003549,0.090786,0.847637,4.461247,-0.000000,3.066511
0.005000,-0.094969,0.003877,0.095080,0.869943,4.461247,0.000000,3.063436
0.005000,-0.099361,0.004228,0.099486,0.892249,4.461247,-0.000000,3.060328
0.005000,-0.103861,0.004602,0.104002,0.914081,4.366327,-18.984031,3.057191
0.005000,-0.108468,0.004999,0.108625,0.935438,4.271407,-18.984031,3.054030
0.005000,-0.113178,0.005420,0.113355,0.956321,4.176487,-18.984031,3.050851
