dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,0.000000,0.000000,0.000001,0.000484,0.096748,19.349599,3.141593
0.005000,0.000000,0.000000,0.000006,0.001451,0.193496,19.349599,3.141593
0.005000,-0.000011,0.000000,0.000017,0.002902,0.290244,19.349599,3.141593
0.005000,-0.000030,0.000000,0.000036,0.004837,0.386992,19.349599,3.141593
0.005000,-0.000060,0.000000,0.000067,0.007256,0.483740,19.349599,3.141593
0.005000,-0.000104,0.000000,0.000110,0.010159,0.580488,19.349599,3.141593
0.005000,-0.000163,0.000000,0.000169,0.013545,0.677236,19.349599,3.141593
0.005000,-0.000241,0.000000,0.000247,0.017415,0.773984,19.349599,3.141593
0.005000,-0.000339,0.000000,0.000345,0.021768,0.870732,19.349599,3.141593
0.005000,-0.000460,0.000000,0.000466,0.026606,0.967480,19.349599,3.141593
0.005000,-0.000606,0.000000,0.000612,0.031927,1.064228,19.349599,3.141593
0.005000,-0.000780,0.000000,0.000786,0.037732,1.160976,19.349599,3.141593
0.005000,-0.000984,0.000000,0.000990,0.044020,1.257724,19.349599,3.141593
0.005000,-0.001221,0.000000,0.001227,0.050793,1.354472,19.349599,3.141593
0.005000,-0.001493,0.000000,0.001500,0.058049,1.451220,19.349599,3.141593
0.005000,-0.001803,0.000000,0.001809,0.065789,1.547968,19.349599,3.141593
0.005000,-0.002153,0.000000,0.002159,0.074012,1.644716,19.349599,3.141593
0.005000,-0.002544,0.000000,0.002551,0.082720,1.741464,19.349599,3.141593
0.005000,-0.002981,0.000000,0.002987,0.091911,1.838212,19.349599,3.141593
0.005000,-0.003465,0.000000,0.003471,0.101585,1.934960,19.349599,3.141593
0.005000,-0.003998,0.000000,0.004004,0.111744,2.031708,19.349599,3.141593
0.005000,-0.004583,0.000000,0.004589,0.122386,2.128456,19.349599,3.141593
0.005000,-0.005223,0.000000,0.005229,0.133512,2.225204,19.349599,3.141593
0.005000,-0.005920,0.000000,0.005926,0.145122,2.321952,19.349599,3.141593
0.005000,-0.006676,0.000000,0.006682,0.157215,2.418700,19.349599,3.141593
0.005000,-0.007493,0.000000,0.007499,0.169793,2.515448,19.349599,3.141593
0.005000,-0.008375,0.000000,0.008381,0.182854,2.612196,19.349599,3.141593
0.005000,-0.009323,0.000000,0.009329,0.196398,2.708944,19.349599,3.141593
0.005000,-0.010340,0.000000,0.010346,0.210427,2.805692,19.349599,3.141593
0.005000,-0.011428,0.000000,0.011434,0.224939,2.902440,19.349599,3.141593
0.005000,-0.012590,0.000000,0.012597,0.239935,2.999188,19.349599,3.141593
0.005000,-0.013829,0.000000,0.013835,0.255415,3.095936,19.349599,3.141593
0.005000,-0.015146,0.000000,0.015152,0.271378,3.192684,19.349599,3.141593
0.005000,-0.016544,0.000000,0.016550,0.287825,3.289432,19.349599,3.141593
0.005000,-0.018025,0.000000,0.018031,0.304756,3.386180,19.349599,3.141593
0.005000,-0.019593,0.000000,0.019599,0.322171,3.482928,19.349599,3.141593
0.005000,-0.021248,0.000000,0.021254,0.340069,3.579676,19.349599,3.141593
0.005000,-0.022995,0.000000,0.023001,0.358451,3.676424,19.349599,3.141593
0.005000,-0.024834,0.000000,0.024840,0.377317,3.773172,19.349599,3.141593
0.005000,-0.026769,0.000000,0.026775,0.396667,3.869920,19.349599,3.141593
0.005000,-0.028802,0.000000,0.028808,0.416500,3.966668,19.349599,3.141593
0.005000,-0.030935,0.000000,0.030941,0.436817,4.063416,19.349599,3.141593
0.005000,-0.033171,0.000000,0.033177,0.457618,4.160164,19.349599,3.141593
0.005000,-0.035513,0.000000,0.035519,0.478903,4.256912,19.349599,3.141593
0.005000,-0.037961,0.000000,0.037968,0.500671,4.353660,19.349599,3.141593
0.005000,-0.040520,0.000000,0.040527,0.522923,4.450408,19.349599,3.141593
0.005000,-0.043192,0.000000,0.043198,0.545659,4.547156,19.349599,3.141593
0.005000,-0.045978,0.000000,0.045984,0.568878,4.643904,19.349599,3.141593
0.005000,-0.048882,0.000000,0.048888,0.592581,4.740652,19.349599,3.141593
0.005000,-0.051905,0.000000,0.051911,0.616768,4.837400,19.349599,3.141593
0.005000,-0.055051,0.000000,0.055057,0.641439,4.934148,19.349599,3.141593
0.005000,-0.058321,0.000000,0.058327,0.666594,5.030896,19.349599,3.141593
0.005000,-0.061718,0.000000,0.061724,0.692232,5.127644,19.349599,3.141593
0.005000,-0.065244,0.000000,0.065250,0.718354,5.224392,19.349599,3.141593
0.005000,-0.068903,0.000000,0.068909,0.744960,5.321140,19.349599,3.141593
0.005000,-0.072695,0.000000,0.072701,0.772049,5.417888,19.349599,3.141593
0.005000,-0.076624,0.000000,0.076630,0.799622,5.514636,19.349599,3.141593
0.005000,-0.080693,0.000000,0.080699,0.827679,5.611384,19.349599,3.141593
0.005000,-0.084902,0.000000,0.084908,0.856220,5.708132,19.349599,3.141593
0.005000,-0.089256,0.000000,0.089262,0.885244,5.804880,19.349599,3.141593
0.005000,-0.093756,0.000000,0.093762,0.914752,5.901628,19.349599,3.141593
0.005000,-0.098405,0.000000,0.098411,0.944744,5.998376,19.349599,3.141593
0.005000,-0.103205,0.000000,0.103211,0.975220,6.095124,19.349599,3.141593
0.005000,-0.108157,0.000000,0.108163,1.005695,6.095124,0.000000,3.141593
0.005000,-0.113262,0.000000,0.113268,1.036171,6.095124,0.000000,3.141593
0.005000,-0.118519,0.000000,0.118525,1.066647,6.095124,-0.000000,3.141593
0.005000,-0.123928,0.000000,0.123934,1.097122,6.095124,0.000000,3.141593
0.005000,-0.129490,0.000000,0.129496,1.127598,6.095124,-0.000000,3.141593
0.005000,-0.135204,0.000000,0.135210,1.158074,6.095124,0.000000,3.141593
0.005000,-0.141071,0.000000,0.141077,1.188549,6.095124,-0.000000,3.141593
0.005000,-0.147090,0.000000,0.147096,1.219025,6.095124,0.000000,3.141593
0.005000,-0.153261,0.000000,0.153267,1.249500,6.095124,-0.000000,3.141593
0.005000,-0.159585,0.000000,0.159591,1.279976,6.095124,0.000000,3.141593
0.005000,-0.166061,0.000000,0.166067,1.310452,6.095124,0.000000,3.141593
0.005000,-0.172689,0.000000,0.172695,1.340927,6.095124,0.000000,3.141593
0.005000,-0.179470,0.000000,0.179476,1.371403,6.095124,-0.000000,3.141593
0.005000,-0.186403,0.000000,0.186409,1.401878,6.095124,0.000000,3.141593
0.005000,-0.193489,0.000000,0.193495,1.432354,6.095124,0.000000,3.141593
0.005000,-0.200727,0.000000,0.200733,1.462830,6.095124,-0.000000,3.141593
0.005000,-0.208117,0.000000,0.208123,1.493305,6.095124,0.000000,3.141593
0.005000,-0.215660,0.000000,0.215666,1.523781,6.095124,-0.000000,3.141593
0.005000,-0.223355,0.000000,0.223361,1.554257,6.095124,0.000000,3.141593
0.005000,-0.231202,0.000000,0.231208,1.584732,6.095124,0.000000,3.141593
0.005000,-0.239202,0.000000,0.239208,1.615208,6.095124,-0.000000,3.141593
0.005000,-0.247354,0.000000,0.247360,1.645683,6.095124,0.000000,3.141593
0.005000,-0.255659,0.000000,0.255665,1.676159,6.095124,0.000000,3.141593
0.005000,-0.264116,0.000000,0.264122,1.706635,6.095124,0.000000,3.141593
0.005000,-0.272725,0.000000,0.272731,1.737110,6.095124,-0.000000,3.141593
0.005000,-0.281487,0.000000,0.281493,1.767586,6.095124,0.000000,3.141593
0.005000,-0.290401,0.000000,0.290407,1.798061,6.095124,0.000000,3.141593
0.005000,-0.299468,0.000000,0.299474,1.828537,6.095124,0.000000,3.141593
0.005000,-0.308687,0.000000,0.308693,1.859013,6.095124,-0.000000,3.141593
