dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,0.000000,0.000000,0.000001,0.000484,0.096762,19.352381,3.141593
0.005000,0.000000,0.000000,0.000006,0.001451,0.193524,19.352381,3.141593
0.005000,-0.000011,0.000000,0.000017,0.002903,0.290286,19.352381,3.141593
0.005000,-0.000030,0.000000,0.000036,0.004838,0.387048,19.352381,3.141593
0.005000,-0.000060,0.000000,0.000067,0.007257,0.483810,19.352381,3.141593
0.005000,-0.000104,0.000000,0.000110,0.010160,0.580571,19.352381,3.141593
0.005000,-0.000163,0.000000,0.000169,0.013547,0.677333,19.352381,3.141593
0.005000,-0.000241,0.000000,0.000247,0.017417,0.774095,19.352381,3.141593
0.005000,-0.000339,0.000000,0.000345,0.021771,0.870857,19.352381,3.141593
0.005000,-0.000460,0.000000,0.000466,0.026610,0.967619,19.352381,3.141593
0.005000,-0.000606,0.000000,0.000612,0.031931,1.064381,19.352381,3.141593
0.005000,-0.000780,0.000000,0.000786,0.037737,1.161143,19.352381,3.141593
0.005000,-0.000985,0.000000,0.000991,0.044027,1.257905,19.352381,3.141593
0.005000,-0.001222,0.000000,0.001228,0.050800,1.354667,19.352381,3.141593
0.005000,-0.001494,0.000000,0.001500,0.058057,1.451429,19.352381,3.141593
0.005000,-0.001803,0.000000,0.001809,0.065798,1.548190,19.352381,3.141593
0.005000,-0.002153,0.000000,0.002159,0.074023,1.644952,19.352381,3.141593
0.005000,-0.002545,0.000000,0.002551,0.082731,1.741714,19.352381,3.141593
0.005000,-0.002981,0.000000,0.002988,0.091924,1.838476,19.352381,3.141593
0.005000,-0.003465,0.000000,0.003471,0.101600,1.935238,19.352381,3.141593
0.005000,-0.003999,0.000000,0.004005,0.111760,2.032000,19.352381,3.141593
0.005000,-0.004584,0.000000,0.004590,0.122404,2.128762,19.352381,3.141593
0.005000,-0.005224,0.000000,0.005230,0.133531,2.225524,19.352381,3.141593
0.005000,-0.005921,0.000000,0.005927,0.145143,2.322286,19.352381,3.141593
0.005000,-0.006677,0.000000,0.006683,0.157238,2.419048,19.352381,3.141593
0.005000,-0.007494,0.000000,0.007500,0.169817,2.515810,19.352381,3.141593
0.005000,-0.008376,0.000000,0.008382,0.182880,2.612571,19.352381,3.141593
0.005000,-0.009324,0.000000,0.009330,0.196427,2.709333,19.352381,3.141593
0.005000,-0.010341,0.000000,0.010347,0.210457,2.806095,19.352381,3.141593
0.005000,-0.011430,0.000000,0.011436,0.224971,2.902857,19.352381,3.141593
0.005000,-0.012592,0.000000,0.012598,0.239970,2.999619,19.352381,3.141593
