dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,0.000000,0.000000,0.000001,0.000481,0.096138,19.227591,0.000000
0.005000,0.000000,0.000000,0.000006,0.001442,0.192276,19.227591,0.000000
0.005000,0.000003,0.000000,0.000017,0.002884,0.288414,19.227591,0.000000
0.005000,0.000023,0.000000,0.000036,0.004807,0.384552,19.227591,0.000000
0.005000,0.000053,0.000000,0.000066,0.007210,0.480690,19.227591,0.000000
0.005000,0.000096,0.000000,0.000109,0.010094,0.576828,19.227591,0.000000
0.005000,0.000155,0.000000,0.000168,0.013459,0.672966,19.227591,0.000000
0.005000,0.000232,0.000000,0.000245,0.017305,0.769104,19.227591,0.000000
0.005000,0.000329,0.000000,0.000342,0.021631,0.865242,19.227591,0.000000
0.005000,0.000449,0.000000,0.000463,0.026438,0.961380,19.227591,0.000000
0.005000,0.000595,0.000000,0.000608,0.031726,1.057518,19.227591,0.000000
0.005000,0.000768,0.000000,0.000781,0.037494,1.153655,19.227591,0.000000
0.005000,0.000971,0.000000,0.000984,0.043743,1.249793,19.227591,0.000000
0.005000,0.001206,0.000000,0.001220,0.050472,1.345931,19.227591,0.000000
0.005000,0.001477,0.000000,0.001490,0.057683,1.442069,19.227591,0.000000
0.005000,0.001784,0.000000,0.001798,0.065374,1.538207,19.227591,0.000000
0.005000,0.002132,0.000000,0.002145,0.073546,1.634345,19.227591,0.000000
0.005000,0.002521,0.000000,0.002534,0.082198,1.730483,19.227591,0.000000
0.005000,0.002955,0.000000,0.002968,0.091331,1.826621,19.227591,0.000000
0.005000,0.003435,0.000000,0.003449,0.100945,1.922759,19.227591,0.000000
0.005000,0.003965,0.000000,0.003979,0.111039,2.018897,19.227591,0.000000
0.005000,0.004547,0.000000,0.004561,0.121615,2.115035,19.227591,0.000000
0.005000,0.005183,0.000000,0.005196,0.132670,2.211173,19.227591,0.000000
0.005000,0.005875,0.000000,0.005888,0.144207,2.307311,19.227591,0.000000
0.005000,0.006626,0.000000,0.006640,0.156224,2.403449,19.227591,0.000000
0.005000,0.007438,0.000000,0.007452,0.168722,2.499587,19.227591,0.000000
0.005000,0.008314,0.000000,0.008328,0.181701,2.595725,19.227591,0.000000
0.005000,0.009257,0.000000,0.009270,0.195160,2.691863,19.227591,0.000000
0.005000,0.010267,0.000000,0.010281,0.209100,2.788001,19.227591,0.000000
0.005000,0.011349,0.000000,0.011362,0.223521,2.884139,19.227591,0.000000
0.005000,0.012504,0.000000,0.012517,0.238422,2.980277,19.227591,0.000000
0.005000,0.013734,0.000000,0.013748,0.253804,3.076415,19.227591,0.000000
0.005000,0.015043,0.000000,0.015056,0.269667,3.172553,19.227591,0.000000
0.005000,0.016432,0.000000,0.016446,0.286010,3.268691,19.227591,0.000000
0.005000,0.017904,0.000000,0.017918,0.302835,3.364828,19.227591,0.000000
0.005000,0.019462,0.000000,0.019475,0.320139,3.460966,19.227591,0.000000
0.005000,0.021107,0.000000,0.021120,0.337925,3.557104,19.227591,0.000000
0.005000,0.022842,0.000000,0.022856,0.356191,3.653242,19.227591,0.000000
0.005000,0.024670,0.000000,0.024683,0.374938,3.749380,19.227591,0.000000
0.005000,0.026593,0.000000,0.026606,0.394166,3.845518,19.227591,0.000000
0.005000,0.028613,0.000000,0.028626,0.413874,3.941656,19.227591,0.000000
0.005000,0.030733,0.000000,0.030746,0.434063,4.037794,19.227591,0.000000
0.005000,0.032955,0.000000,0.032968,0.454733,4.133932,19.227591,0.000000
0.005000,0.035281,0.000000,0.035295,0.475883,4.230070,19.227591,0.000000
0.005000,0.037715,0.000000,0.037728,0.497514,4.326208,19.227591,0.000000
0.005000,0.040258,0.000000,0.040271,0.519626,4.422346,19.227591,0.000000
0.005000,0.042912,0.000000,0.042926,0.542218,4.518484,19.227591,0.000000
0.005000,0.045681,0.000000,0.045694,0.565291,4.614622,19.227591,0.000000
0.005000,0.048566,0.000000,0.048580,0.588845,4.710760,19.227591,0.000000
0.005000,0.051571,0.000000,0.051584,0.612879,4.806898,19.227591,0.000000
0.005000,0.054696,0.000000,0.054710,0.637395,4.903036,19.227591,0.000000
0.005000,0.057946,0.000000,0.057959,0.662391,4.999174,19.227591,0.000000
0.005000,0.061321,0.000000,0.061335,0.687867,5.095312,19.227591,0.000000
0.005000,0.064826,0.000000,0.064839,0.713824,5.191450,19.227591,0.000000
0.005000,0.068461,0.000000,0.068474,0.740262,5.287588,19.227591,0.000000
0.005000,0.072229,0.000000,0.072243,0.767181,5.383726,19.227591,0.000000
0.005000,0.076134,0.000000,0.076147,0.794580,5.479864,19.227591,0.000000
0.005000,0.080176,0.000000,0.080190,0.822460,5.576001,19.227591,0.000000
0.005000,0.084360,0.000000,0.084373,0.850821,5.672139,19.227591,0.000000
0.005000,0.088686,0.000000,0.088699,0.879662,5.768277,19.227591,0.000000
0.005000,0.093157,0.000000,0.093171,0.908984,5.864415,19.227591,0.000000
0.005000,0.097777,0.000000,0.097790,0.938787,5.960553,19.227591,0.000000
0.005000,0.102547,0.000000,0.102560,0.969071,6.056691,19.227591,0.000000
0.005000,0.107468,0.000000,0.107481,0.999354,6.056691,-0.000000,0.000000
0.005000,0.112540,0.000000,0.112554,1.029638,6.056691,0.000000,0.000000
0.005000,0.117764,0.000000,0.117777,1.059921,6.056691,-0.000000,0.000000
0.005000,0.123139,0.000000,0.123153,1.090204,6.056691,0.000000,0.000000
0.005000,0.128666,0.000000,0.128679,1.120488,6.056691,0.000000,0.000000
0.005000,0.134344,0.000000,0.134358,1.150771,6.056691,0.000000,0.000000
0.005000,0.140174,0.000000,0.140187,1.181055,6.056691,0.000000,0.000000
