dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,0.000000,0.000000,0.000001,0.000484,0.096899,19.379837,3.141594
0.005000,-0.000001,0.000000,0.000006,0.001453,0.193798,19.379837,3.141592
0.005000,-0.000012,0.000000,0.000017,0.002907,0.290698,19.379837,3.141589
0.005000,-0.000031,0.000000,0.000036,0.004845,0.387597,19.379837,3.141583
0.005000,-0.000062,0.000000,0.000067,0.007267,0.484496,19.379837,3.141573
0.005000,-0.000105,0.000000,0.000110,0.010174,0.581395,19.379837,3.141559
0.005000,-0.000165,0.000000,0.000170,0.013566,0.678294,19.379837,3.141540
0.005000,-0.000242,0.000000,0.000247,0.017442,0.775193,19.379837,3.141516
0.005000,-0.000340,0.000000,0.000345,0.021802,0.872093,19.379837,3.141484
0.005000,-0.000461,0.000000,0.000466,0.026647,0.968992,19.379837,3.141446
0.005000,-0.000608,0.000000,0.000613,0.031977,1.065891,19.379837,3.141400
0.005000,-0.000782,0.000000,0.000787,0.037791,1.162790,19.379837,3.141345
0.005000,-0.000987,0.000000,0.000992,0.044089,1.259689,19.379837,3.141280
0.005000,-0.001224,0.000000,0.001229,0.050872,1.356589,19.379837,3.141206
0.005000,-0.001497,0.000000,0.001502,0.058140,1.453488,19.379837,3.141121
0.005000,-0.001807,0.000001,0.001812,0.065891,1.550387,19.379837,3.141025
0.005000,-0.002157,0.000001,0.002162,0.074128,1.647286,19.379837,3.140917
0.005000,-0.002550,0.000001,0.002555,0.082849,1.744185,19.379837,3.140797
0.005000,-0.002987,0.000001,0.002992,0.092054,1.841084,19.379837,3.140665
0.005000,-0.003471,0.000002,0.003476,0.101744,1.937984,19.379837,3.140519
0.005000,-0.004005,0.000002,0.004010,0.111919,2.034883,19.379837,3.140360
0.005000,-0.004592,0.000003,0.004597,0.122577,2.131782,19.379837,3.140187
0.005000,-0.005232,0.000004,0.005237,0.133721,2.228681,19.379837,3.140000
0.005000,-0.005930,0.000005,0.005935,0.145349,2.325580,19.379837,3.139799
0.005000,-0.006687,0.000007,0.006692,0.157461,2.422480,19.379837,3.139584
0.005000,-0.007506,0.000009,0.007511,0.170058,2.519379,19.379837,3.139356
0.005000,-0.008389,0.000011,0.008394,0.183139,2.616278,19.379837,3.139113
0.005000,-0.009339,0.000013,0.009344,0.196705,2.713177,19.379837,3.138858
0.005000,-0.010357,0.000016,0.010362,0.210756,2.810076,19.379837,3.138589
