dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,0.000000,0.000000,0.000001,0.000484,0.096762,19.352381,3.141604
0.005000,-0.000002,0.000000,0.000006,0.001451,0.193524,19.352381,3.141581
0.005000,-0.000013,0.000000,0.000017,0.002903,0.290286,19.352381,3.141527
0.005000,-0.000033,0.000000,0.000036,0.004838,0.387048,19.352381,3.141432
0.005000,-0.000063,0.000000,0.000067,0.007257,0.483810,19.352381,3.141284
0.005000,-0.000106,0.000000,0.000110,0.010160,0.580571,19.352381,3.141070
0.005000,-0.000166,0.000000,0.000169,0.013547,0.677333,19.352381,3.140779
0.005000,-0.000243,0.000000,0.000247,0.017417,0.774095,19.352381,3.140399
0.005000,-0.000341,0.000000,0.000345,0.021771,0.870857,19.352381,3.139918
0.005000,-0.000462,0.000001,0.000466,0.026610,0.967619,19.352381,3.139324
0.005000,-0.000608,0.000001,0.000612,0.031931,1.064381,19.352381,3.138606
0.005000,-0.000783,0.000002,0.000786,0.037737,1.161143,19.352381,3.137751
0.005000,-0.000987,0.000002,0.000991,0.044027,1.257905,19.352381,3.136748
0.005000,-0.001224,0.000004,0.001228,0.050800,1.354667,19.352381,3.135585
0.005000,-0.001496,0.000005,0.001500,0.058057,1.451429,19.352381,3.134250
0.005000,-0.001806,0.000008,0.001809,0.065798,1.548190,19.352381,3.132732
0.005000,-0.002155,0.000011,0.002159,0.074023,1.644952,19.352381,3.131019
0.005000,-0.002547,0.000016,0.002551,0.082731,1.741714,19.352381,3.129099
0.005000,-0.002984,0.000022,0.002988,0.091924,1.838476,19.352381,3.126960
0.005000,-0.003468,0.000029,0.003471,0.101600,1.935238,19.352381,3.124592
0.005000,-0.004001,0.000039,0.004005,0.111760,2.032000,19.352381,3.121983
0.005000,-0.004586,0.000052,0.004590,0.122404,2.128762,19.352381,3.119121
0.005000,-0.005226,0.000067,0.005230,0.133531,2.225524,19.352381,3.115996
0.005000,-0.005922,0.000086,0.005927,0.145143,2.322286,19.352381,3.112596
0.005000,-0.006678,0.000109,0.006683,0.157238,2.419048,19.352381,3.108912
0.005000,-0.007495,0.000138,0.007500,0.169817,2.515810,19.352381,3.104931
0.005000,-0.008376,0.000172,0.008382,0.182880,2.612571,19.352381,3.100645
0.005000,-0.009323,0.000213,0.009330,0.196427,2.709333,19.352381,3.096043
0.005000,-0.010339,0.000262,0.010347,0.210457,2.806095,19.352381,3.091116
0.005000,-0.011427,0.000319,0.011436,0.224971,2.902857,19.352381,3.085855
0.005000,-0.012587,0.000387,0.012598,0.239970,2.999619,19.352381,3.080252
0.005000,-0.013823,0.000467,0.013837,0.255451,3.096381,19.352381,3.074298
0.005000,-0.015137,0.000560,0.015154,0.271417,3.193143,19.352381,3.067986
0.005000,-0.016531,0.000667,0.016552,0.287867,3.289905,19.352381,3.061311
0.005000,-0.018007,0.000791,0.018034,0.304800,3.386667,19.352381,3.054266
0.005000,-0.019568,0.000934,0.019602,0.322217,3.483429,19.352381,3.046848
0.005000,-0.021216,0.001097,0.021257,0.340118,3.580190,19.352381,3.039053
0.005000,-0.022953,0.001283,0.023004,0.358503,3.676952,19.352381,3.030879
0.005000,-0.024780,0.001494,0.024844,0.377371,3.773714,19.352381,3.022326
0.005000,-0.026701,0.001733,0.026779,0.396724,3.870476,19.352381,3.013396
0.005000,-0.028716,0.002002,0.028812,0.416560,3.967238,19.352381,3.004092
0.005000,-0.030828,0.002305,0.030946,0.436880,4.064000,19.352381,2.994418
0.005000,-0.033039,0.002644,0.033182,0.457684,4.160762,19.352381,2.984382
0.005000,-0.035349,0.003022,0.035524,0.478971,4.257524,19.352381,2.973994
0.005000,-0.037762,0.003444,0.037973,0.500743,4.354286,19.352381,2.963265
0.005000,-0.040278,0.003912,0.040532,0.522998,4.451048,19.352381,2.952211
0.005000,-0.042899,0.004430,0.043204,0.545737,4.547810,19.352381,2.940849
0.005000,-0.045627,0.005001,0.045991,0.568960,4.644571,19.352381,2.929199
0.005000,-0.048462,0.005631,0.048895,0.592667,4.741333,19.352381,2.917286
0.005000,-0.051406,0.006321,0.051919,0.616857,4.838095,19.352381,2.905137
0.005000,-0.054460,0.007077,0.055065,0.641531,4.934857,19.352381,2.892781
0.005000,-0.057624,0.007902,0.058335,0.666690,5.031619,19.352381,2.880252
0.005000,-0.060901,0.008801,0.061733,0.692331,5.128381,19.352381,2.867588
0.005000,-0.064290,0.009777,0.065260,0.718457,5.225143,19.352381,2.854828
0.005000,-0.067793,0.010835,0.068919,0.745067,5.321905,19.352381,2.842015
0.005000,-0.071409,0.011977,0.072712,0.772160,5.418667,19.352381,2.829198
0.005000,-0.075141,0.013209,0.076641,0.799737,5.515429,19.352381,2.816424
0.005000,-0.078988,0.014534,0.080710,0.827798,5.612190,19.352381,2.803747
0.005000,-0.082952,0.015954,0.084921,0.856343,5.708952,19.352381,2.791222
0.005000,-0.087032,0.017474,0.089275,0.885371,5.805714,19.352381,2.778907
0.005000,-0.091230,0.019096,0.093776,0.914884,5.902476,19.352381,2.766863
0.005000,-0.095547,0.020824,0.098425,0.944880,5.999238,19.352381,2.755152
0.005000,-0.099983,0.022658,0.103226,0.975360,6.096000,19.352381,2.743840
0.005000,-0.104539,0.024602,0.108179,1.005840,6.096000,0.000000,2.732995
0.005000,-0.109213,0.026655,0.113284,1.036320,6.096000,0.000000,2.722692
0.005000,-0.114006,0.028817,0.118542,1.066800,6.096000,-0.000000,2.713004
0.005000,-0.118916,0.031088,0.123952,1.097280,6.096000,0.000000,2.704005
0.005000,-0.123945,0.033467,0.129515,1.127760,6.096000,-0.000000,2.695770
0.005000,-0.129092,0.035950,0.135230,1.158240,6.096000,0.000000,2.688373
0.005000,-0.134358,0.038537,0.141097,1.188720,6.096000,-0.000000,2.681892
0.005000,-0.139745,0.041223,0.147117,1.219200,6.096000,0.000000,2.676405
0.005000,-0.145255,0.044005,0.153289,1.249680,6.096000,0.000000,2.671992
0.005000,-0.150890,0.046877,0.159614,1.280160,6.096000,0.000000,2.668735
0.005000,-0.156653,0.049833,0.166091,1.310640,6.096000,-0.000000,2.666720
0.005000,-0.162548,0.052867,0.172720,1.341120,6.096000,0.000000,2.666037
0.005000,-0.168578,0.055970,0.179502,1.371600,6.096000,0.000000,2.666782
0.005000,-0.174748,0.059134,0.186436,1.402080,6.096000,-0.000000,2.669053
0.005000,-0.181064,0.062348,0.193523,1.432560,6.096000,-0.000000,2.672958
0.005000,-0.187531,0.065600,0.200762,1.463040,6.096000,0.000000,2.678610
0.005000,-0.194156,0.068877,0.208153,1.493520,6.096000,-0.000000,2.686129
0.005000,-0.200946,0.072165,0.215697,1.524000,6.096000,0.000000,2.695643
0.005000,-0.207908,0.075445,0.223393,1.554480,6.096000,0.000000,2.707287
0.005000,-0.215051,0.078699,0.231242,1.584960,6.096000,-0.000000,2.721202
0.005000,-0.222381,0.081906,0.239243,1.615440,6.096000,0.000000,2.737531
0.005000,-0.229907,0.085042,0.247396,1.645920,6.096000,0.000000,2.756421
0.005000,-0.237637,0.088081,0.255702,1.676400,6.096000,0.000000,2.778011
