dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,0.000000,0.000000,0.000001,0.000483,0.096567,19.313395,0.000000
0.005000,0.000000,0.000000,0.000006,0.001449,0.193134,19.313395,0.000000
0.005000,0.000000,0.000000,0.000017,0.002897,0.289701,19.313395,0.000000
0.005000,0.000013,0.000000,0.000036,0.004828,0.386268,19.313395,0.000000
0.005000,0.000043,0.000000,0.000066,0.007243,0.482835,19.313395,0.000000
0.005000,0.000087,0.000000,0.000110,0.010140,0.579402,19.313395,0.000000
0.005000,0.000146,0.000000,0.000169,0.013519,0.675969,19.313395,0.000000
0.005000,0.000223,0.000000,0.000246,0.017382,0.772536,19.313395,0.000000
0.005000,0.000321,0.000000,0.000344,0.021728,0.869103,19.313395,0.000000
0.005000,0.000442,0.000000,0.000465,0.026556,0.965670,19.313395,0.000000
0.005000,0.000588,0.000000,0.000611,0.031867,1.062237,19.313395,0.000000
0.005000,0.000761,0.000000,0.000785,0.037661,1.158804,19.313395,0.000000
0.005000,0.000965,0.000000,0.000989,0.043938,1.255371,19.313395,0.000000
0.005000,0.001202,0.000000,0.001225,0.050698,1.351938,19.313395,0.000000
0.005000,0.001474,0.000000,0.001497,0.057940,1.448505,19.313395,0.000000
0.005000,0.001783,0.000000,0.001806,0.065666,1.545072,19.313395,0.000000
0.005000,0.002132,0.000000,0.002155,0.073874,1.641639,19.313395,0.000000
0.005000,0.002523,0.000000,0.002546,0.082565,1.738206,19.313395,0.000000
0.005000,0.002958,0.000000,0.002982,0.091739,1.834773,19.313395,0.000000
0.005000,0.003441,0.000000,0.003464,0.101395,1.931339,19.313395,0.000000
0.005000,0.003974,0.000000,0.003997,0.111535,2.027906,19.313395,0.000000
0.005000,0.004558,0.000000,0.004581,0.122157,2.124473,19.313395,0.000000
0.005000,0.005196,0.000000,0.005219,0.133262,2.221040,19.313395,0.000000
0.005000,0.005892,0.000000,0.005915,0.144850,2.317607,19.313395,0.000000
0.005000,0.006646,0.000000,0.006669,0.156921,2.414174,19.313395,0.000000
0.005000,0.007462,0.000000,0.007485,0.169475,2.510741,19.313395,0.000000
0.005000,0.008342,0.000000,0.008365,0.182512,2.607308,19.313395,0.000000
0.005000,0.009288,0.000000,0.009311,0.196031,2.703875,19.313395,0.000000
0.005000,0.010304,0.000000,0.010327,0.210033,2.800442,19.313395,0.000000
0.005000,0.011390,0.000000,0.011413,0.224518,2.897009,19.313395,0.000000
0.005000,0.012550,0.000000,0.012573,0.239486,2.993576,19.313395,0.000000
0.005000,0.013786,0.000000,0.013809,0.254937,3.090143,19.313395,0.000000
0.005000,0.015100,0.000000,0.015124,0.270870,3.186710,19.313395,0.000000
0.005000,0.016496,0.000000,0.016519,0.287287,3.283277,19.313395,0.000000
0.005000,0.017975,0.000000,0.017998,0.304186,3.379844,19.313395,0.000000
0.005000,0.019539,0.000000,0.019562,0.321568,3.476411,19.313395,0.000000
0.005000,0.021191,0.000000,0.021215,0.339433,3.572978,19.313395,0.000000
0.005000,0.022934,0.000000,0.022958,0.357781,3.669545,19.313395,0.000000
0.005000,0.024770,0.000000,0.024794,0.376611,3.766112,19.313395,0.000000
0.005000,0.026702,0.000000,0.026725,0.395925,3.862679,19.313395,0.000000
0.005000,0.028731,0.000000,0.028754,0.415721,3.959246,19.313395,0.000000
0.005000,0.030860,0.000000,0.030883,0.436000,4.055813,19.313395,0.000000
0.005000,0.033092,0.000000,0.033115,0.456762,4.152380,19.313395,0.000000
0.005000,0.035429,0.000000,0.035452,0.478007,4.248947,19.313395,0.000000
0.005000,0.037873,0.000000,0.037897,0.499734,4.345514,19.313395,0.000000
0.005000,0.040428,0.000000,0.040451,0.521944,4.442081,19.313395,0.000000
0.005000,0.043094,0.000000,0.043117,0.544638,4.538648,19.313395,0.000000
0.005000,0.045875,0.000000,0.045898,0.567814,4.635215,19.313395,0.000000
0.005000,0.048773,0.000000,0.048796,0.591473,4.731782,19.313395,0.000000
0.005000,0.051791,0.000000,0.051814,0.615614,4.828349,19.313395,0.000000
0.005000,0.054931,0.000000,0.054954,0.640239,4.924916,19.313395,0.000000
0.005000,0.058195,0.000000,0.058218,0.665346,5.021483,19.313395,0.000000
0.005000,0.061585,0.000000,0.061609,0.690937,5.118050,19.313395,0.000000
0.005000,0.065105,0.000000,0.065128,0.717010,5.214617,19.313395,0.000000
0.005000,0.068757,0.000000,0.068780,0.743566,5.311184,19.313395,0.000000
0.005000,0.072542,0.000000,0.072565,0.770604,5.407751,19.313395,0.000000
0.005000,0.076464,0.000000,0.076487,0.798126,5.504318,19.313395,0.000000
0.005000,0.080525,0.000000,0.080548,0.826130,5.600885,19.313395,0.000000
0.005000,0.084726,0.000000,0.084750,0.854618,5.697452,19.313395,0.000000
0.005000,0.089072,0.000000,0.089095,0.883588,5.794018,19.313395,0.000000
0.005000,0.093564,0.000000,0.093587,0.913041,5.890585,19.313395,0.000000
0.005000,0.098204,0.000000,0.098227,0.942977,5.987152,19.313395,0.000000
0.005000,0.102995,0.000000,0.103018,0.973395,6.083719,19.313395,0.000000
0.005000,0.107938,0.000000,0.107961,1.003814,6.083719,0.000000,0.000000
0.005000,0.113033,0.000000,0.113056,1.034232,6.083719,-0.000000,0.000000
0.005000,0.118280,0.000000,0.118303,1.064651,6.083719,0.000000,0.000000
0.005000,0.123679,0.000000,0.123702,1.095069,6.083719,0.000000,0.000000
0.005000,0.129231,0.000000,0.129254,1.125488,6.083719,0.000000,0.000000
0.005000,0.134934,0.000000,0.134957,1.155907,6.083719,-0.000000,0.000000
0.005000,0.140790,0.000000,0.140813,1.186325,6.083719,0.000000,0.000000
0.005000,0.146797,0.000000,0.146820,1.216744,6.083719,0.000000,0.000000
0.005000,0.152957,0.000000,0.152980,1.247162,6.083719,-0.000000,0.000000
0.005000,0.159269,0.000000,0.159292,1.277581,6.083719,0.000000,0.000000
0.005000,0.165733,0.000000,0.165756,1.308000,6.083719,-0.000000,0.000000
0.005000,0.172349,0.000000,0.172372,1.338418,6.083719,0.000000,0.000000
0.005000,0.179117,0.000000,0.179140,1.368837,6.083719,-0.000000,0.000000
0.005000,0.186037,0.000000,0.186060,1.399255,6.083719,0.000000,0.000000
0.005000,0.193110,0.000000,0.193133,1.429674,6.083719,-0.000000,0.000000
0.005000,0.200334,0.000000,0.200357,1.460093,6.083719,0.000000,0.000000
0.005000,0.207711,0.000000,0.207734,1.490511,6.083719,-0.000000,0.000000
0.005000,0.215239,0.000000,0.215262,1.520930,6.083719,0.000000,0.000000
0.005000,0.222920,0.000000,0.222943,1.551348,6.083719,-0.000000,0.000000
0.005000,0.230753,0.000000,0.230776,1.581767,6.083719,0.000000,0.000000
0.005000,0.238738,0.000000,0.238761,1.612186,6.083719,0.000000,0.000000
0.005000,0.246874,0.000000,0.246898,1.642604,6.083719,-0.000000,0.000000
0.005000,0.255164,0.000000,0.255187,1.673023,6.083719,0.000000,0.000000
0.005000,0.263605,0.000000,0.263628,1.703441,6.083719,0.000000,0.000000
0.005000,0.272198,0.000000,0.272221,1.733860,6.083719,-0.000000,0.000000
0.005000,0.280943,0.000000,0.280966,1.764279,6.083719,0.000000,0.000000
0.005000,0.289841,0.000000,0.289864,1.794697,6.083719,0.000000,0.000000
0.005000,0.298890,0.000000,0.298913,1.825116,6.083719,-0.000000,0.000000
0.005000,0.308092,0.000000,0.308115,1.855534,6.083719,0.000000,0.000000
0.005000,0.317446,0.000000,0.317469,1.885953,6.083719,0.000000,0.000000
0.005000,0.326951,0.000000,0.326975,1.916372,6.083719,-0.000000,0.000000
0.005000,0.336609,0.000000,0.336632,1.946790,6.083719,0.000000,0.000000
0.005000,0.346419,0.000000,0.346442,1.977209,6.083719,0.000000,0.000000
0.005000,0.356380,0.000000,0.356403,2.007145,5.987152,-19.313395,0.000000
0.005000,0.366490,0.000000,0.366513,2.036597,5.890585,-19.313395,0.000000
0.005000,0.376745,0.000000,0.376768,2.065568,5.794018,-19.313395,0.000000
0.005000,0.387144,0.000000,0.387167,2.094055,5.697452,-19.313395,0.000000
0.005000,0.397684,0.000000,0.397707,2.122059,5.600885,-19.313395,0.000000
0.005000,0.408363,0.000000,0.408387,2.149581,5.504318,-19.313395,0.000000
0.005000,0.419179,0.000000,0.419202,2.176620,5.407751,-19.313395,0.000000
0.005000,0.430128,0.000000,0.430152,2.203176,5.311184,-19.313395,0.000000
0.005000,0.441209,0.000000,0.441233,2.229249,5.214617,-19.313395,0.000000
0.005000,0.452420,0.000000,0.452443,2.254839,5.118050,-19.313395,0.000000
0.005000,0.463757,0.000000,0.463780,2.279946,5.021483,-19.313395,0.000000
0.005000,0.475218,0.000000,0.475241,2.304571,4.924916,-19.313395,0.000000
0.005000,0.486801,0.000000,0.486824,2.328713,4.828349,-19.313395,0.000000
0.005000,0.498504,0.000000,0.498527,2.352372,4.731782,-19.313395,0.000000
0.005000,0.510324,0.000000,0.510347,2.375548,4.635215,-19.313395,0.000000
0.005000,0.522258,0.000000,0.522281,2.398241,4.538648,-19.313395,0.000000
0.005000,0.534305,0.000000,0.534328,2.420451,4.442081,-19.313395,0.000000
0.005000,0.546461,0.000000,0.546485,2.442179,4.345514,-19.313395,0.000000
0.005000,0.558725,0.000000,0.558749,2.463424,4.248947,-19.313395,0.000000
0.005000,0.571094,0.000000,0.571118,2.484185,4.152380,-19.313395,0.000000
0.005000,0.583566,0.000000,0.583589,2.504464,4.055813,-19.313395,0.000000
0.005000,0.596138,0.000000,0.596161,2.524261,3.959246,-19.313395,0.000000
0.005000,0.608808,0.000000,0.608831,2.543574,3.862679,-19.313395,0.000000
0.005000,0.621572,0.000000,0.621596,2.562405,3.766112,-19.313395,0.000000
0.005000,0.634430,0.000000,0.634453,2.580752,3.669545,-19.313395,0.000000
0.005000,0.647379,0.000000,0.647402,2.598617,3.572978,-19.313395,0.000000
0.005000,0.660415,0.000000,0.660438,2.615999,3.476411,-19.313395,0.000000
0.005000,0.673538,0.000000,0.673561,2.632899,3.379844,-19.313395,0.000000
0.005000,0.686743,0.000000,0.686766,2.649315,3.283277,-19.313395,0.000000
0.005000,0.700030,0.000000,0.700053,2.665249,3.186710,-19.313395,0.000000
0.005000,0.713394,0.000000,0.713417,2.680699,3.090143,-19.313395,0.000000
