dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,0.000000,0.000000,0.000001,0.000304,0.060764,12.152713,6.283182
0.005000,0.000000,0.000000,0.000004,0.000911,0.121527,12.152713,6.283182
0.005000,0.000000,0.000000,0.000011,0.001823,0.182291,12.152713,6.283184
0.005000,0.000007,0.000000,0.000023,0.003038,0.243054,12.152713,0.000002
0.005000,0.000026,0.000000,0.000042,0.004557,0.303818,12.152713,0.000006
0.005000,0.000053,0.000000,0.000069,0.006380,0.364581,12.152713,0.000013
0.005000,0.000091,0.000000,0.000106,0.008507,0.425345,12.152713,0.000022
0.005000,0.000139,0.000000,0.000155,0.010937,0.486109,12.152713,0.000034
0.005000,0.000201,0.000000,0.000216,0.013672,0.546872,12.152713,0.000049
0.005000,0.000277,0.000000,0.000292,0.016710,0.607636,12.152713,0.000068
0.005000,0.000369,0.000000,0.000384,0.020052,0.668399,12.152713,0.000091
0.005000,0.000478,0.000000,0.000494,0.023698,0.729163,12.152713,0.000117
0.005000,0.000606,0.000000,0.000622,0.027647,0.789926,12.152713,0.000149
0.005000,0.000755,0.000000,0.000771,0.031901,0.850690,12.152713,0.000186
0.005000,0.000926,0.000000,0.000942,0.036458,0.911453,12.152713,0.000228
0.005000,0.001121,0.000000,0.001136,0.041319,0.972217,12.152713,0.000276
0.005000,0.001340,0.000000,0.001356,0.046484,1.032981,12.152713,0.000330
0.005000,0.001586,0.000000,0.001602,0.051953,1.093744,12.152713,0.000391
0.005000,0.001860,0.000000,0.001876,0.057725,1.154508,12.152713,0.000458
0.005000,0.002164,0.000001,0.002180,0.063802,1.215271,12.152713,0.000533
0.005000,0.002499,0.000001,0.002515,0.070182,1.276035,12.152713,0.000616
0.005000,0.002867,0.000001,0.002882,0.076866,1.336798,12.152713,0.000708
0.005000,0.003269,0.000001,0.003284,0.083854,1.397562,12.152713,0.000807
0.005000,0.003706,0.000002,0.003722,0.091145,1.458326,12.152713,0.000916
0.005000,0.004181,0.000002,0.004196,0.098741,1.519089,12.152713,0.001034
0.005000,0.004694,0.000003,0.004710,0.106640,1.579853,12.152713,0.001162
0.005000,0.005248,0.000003,0.005264,0.114843,1.640616,12.152713,0.001301
0.005000,0.005843,0.000004,0.005859,0.123350,1.701380,12.152713,0.001450
0.005000,0.006482,0.000005,0.006498,0.132161,1.762143,12.152713,0.001610
0.005000,0.007166,0.000006,0.007181,0.141275,1.822907,12.152713,0.001782
0.005000,0.007896,0.000008,0.007911,0.150694,1.883671,12.152713,0.001966
0.005000,0.008674,0.000009,0.008689,0.160416,1.944434,12.152713,0.002163
0.005000,0.009501,0.000011,0.009516,0.170442,2.005198,12.152713,0.002372
0.005000,0.010379,0.000013,0.010394,0.180772,2.065961,12.152713,0.002595
0.005000,0.011309,0.000016,0.011325,0.191405,2.126725,12.152713,0.002833
0.005000,0.012293,0.000019,0.012309,0.202343,2.187488,12.152713,0.003084
0.005000,0.013333,0.000022,0.013349,0.213584,2.248252,12.152713,0.003351
0.005000,0.014430,0.000026,0.014446,0.225129,2.309015,12.152713,0.003634
0.005000,0.015585,0.000030,0.015601,0.236978,2.369779,12.152713,0.003933
0.005000,0.016801,0.000035,0.016816,0.249131,2.430543,12.152713,0.004249
0.005000,0.018077,0.000041,0.018093,0.261587,2.491306,12.152713,0.004582
0.005000,0.019417,0.000047,0.019433,0.274347,2.552070,12.152713,0.004933
0.005000,0.020822,0.000055,0.020837,0.287412,2.612833,12.152713,0.005302
0.005000,0.022292,0.000063,0.022308,0.300780,2.673597,12.152713,0.005691
0.005000,0.023830,0.000072,0.023846,0.314451,2.734360,12.152713,0.006100
0.005000,0.025437,0.000082,0.025453,0.328427,2.795124,12.152713,0.006530
0.005000,0.027115,0.000093,0.027131,0.342707,2.855888,12.152713,0.006980
0.005000,0.028865,0.000106,0.028881,0.357290,2.916651,12.152713,0.007453
0.005000,0.030689,0.000120,0.030705,0.372177,2.977415,12.152713,0.007949
0.005000,0.032587,0.000135,0.032603,0.387368,3.038178,12.152713,0.008469
0.005000,0.034563,0.000153,0.034579,0.402862,3.098942,12.152713,0.009013
0.005000,0.036617,0.000172,0.036633,0.418661,3.159705,12.152713,0.009582
0.005000,0.038750,0.000193,0.038766,0.434763,3.220469,12.152713,0.010178
0.005000,0.040965,0.000216,0.040981,0.451169,3.281233,12.152713,0.010800
0.005000,0.043262,0.000242,0.043279,0.467879,3.341996,12.152713,0.011451
0.005000,0.045644,0.000270,0.045661,0.484893,3.402760,12.152713,0.012131
0.005000,0.048112,0.000301,0.048129,0.502211,3.463523,12.152713,0.012841
0.005000,0.050666,0.000334,0.050684,0.519832,3.524287,12.152713,0.013582
0.005000,0.053310,0.000371,0.053328,0.537758,3.585050,12.152713,0.014356
0.005000,0.056044,0.000412,0.056062,0.555987,3.645814,12.152713,0.015162
0.005000,0.058870,0.000456,0.058888,0.574520,3.706578,12.152713,0.016004
0.005000,0.061789,0.000504,0.061808,0.593356,3.767341,12.152713,0.016881
