dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,0.000000,0.000000,0.000001,0.000480,0.096016,19.203109,3.141588
0.005000,0.000000,0.000000,0.000006,0.001440,0.192031,19.203109,3.141589
0.005000,0.000000,0.000000,0.000017,0.002880,0.288047,19.203109,3.141592
0.005000,-0.000017,-0.000000,0.000036,0.004801,0.384062,19.203109,3.141597
0.005000,-0.000047,-0.000000,0.000066,0.007201,0.480078,19.203109,3.141606
0.005000,-0.000090,-0.000000,0.000109,0.010082,0.576093,19.203109,3.141618
0.005000,-0.000149,-0.000000,0.000168,0.013442,0.672109,19.203109,3.141635
0.005000,-0.000226,-0.000000,0.000245,0.017283,0.768124,19.203109,3.141657
0.005000,-0.000323,-0.000000,0.000342,0.021603,0.864140,19.203109,3.141684
0.005000,-0.000443,-0.000000,0.000462,0.026404,0.960155,19.203109,3.141719
0.005000,-0.000588,-0.000000,0.000607,0.031685,1.056171,19.203109,3.141760
0.005000,-0.000761,-0.000000,0.000780,0.037446,1.152187,19.203109,3.141809
0.005000,-0.000964,-0.000000,0.000983,0.043687,1.248202,19.203109,3.141867
0.005000,-0.001199,-0.000000,0.001218,0.050408,1.344218,19.203109,3.141934
0.005000,-0.001469,-0.000000,0.001488,0.057609,1.440233,19.203109,3.142011
0.005000,-0.001776,-0.000000,0.001795,0.065291,1.536249,19.203109,3.142098
0.005000,-0.002123,-0.000001,0.002142,0.073452,1.632264,19.203109,3.142197
0.005000,-0.002512,-0.000001,0.002531,0.082093,1.728280,19.203109,3.142308
0.005000,-0.002945,-0.000001,0.002964,0.091215,1.824295,19.203109,3.142431
0.005000,-0.003425,-0.000002,0.003445,0.100816,1.920311,19.203109,3.142568
0.005000,-0.003955,-0.000002,0.003974,0.110898,2.016326,19.203109,3.142719
0.005000,-0.004536,-0.000003,0.004555,0.121460,2.112342,19.203109,3.142885
0.005000,-0.005171,-0.000004,0.005190,0.132501,2.208358,19.203109,3.143067
