dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,0.000000,0.000000,0.000001,0.000304,0.060796,12.159160,0.000000
0.005000,0.000000,0.000000,0.000004,0.000912,0.121592,12.159160,0.000000
0.005000,0.000000,0.000000,0.000011,0.001824,0.182387,12.159160,0.000000
0.005000,0.000010,0.000000,0.000023,0.003040,0.243183,12.159160,0.000000
0.005000,0.000029,0.000000,0.000042,0.004560,0.303979,12.159160,0.000000
0.005000,0.000056,0.000000,0.000069,0.006384,0.364775,12.159160,0.000000
0.005000,0.000094,0.000000,0.000106,0.008511,0.425571,12.159160,0.000000
0.005000,0.000142,0.000000,0.000155,0.010943,0.486366,12.159160,0.000000
0.005000,0.000204,0.000000,0.000217,0.013679,0.547162,12.159160,0.000000
0.005000,0.000280,0.000000,0.000293,0.016719,0.607958,12.159160,0.000000
0.005000,0.000372,0.000000,0.000385,0.020063,0.668754,12.159160,0.000000
0.005000,0.000481,0.000000,0.000494,0.023710,0.729550,12.159160,0.000000
0.005000,0.000610,0.000000,0.000622,0.027662,0.790345,12.159160,0.000000
0.005000,0.000759,0.000000,0.000771,0.031918,0.851141,12.159160,0.000000
0.005000,0.000930,0.000000,0.000942,0.036477,0.911937,12.159160,0.000000
0.005000,0.001124,0.000000,0.001137,0.041341,0.972733,12.159160,0.000000
0.005000,0.001344,0.000000,0.001357,0.046509,1.033529,12.159160,0.000000
0.005000,0.001590,0.000000,0.001603,0.051980,1.094324,12.159160,0.000000
0.005000,0.001864,0.000000,0.001877,0.057756,1.155120,12.159160,0.000000
0.005000,0.002168,0.000000,0.002181,0.063836,1.215916,12.159160,0.000000
0.005000,0.002503,0.000000,0.002516,0.070219,1.276712,12.159160,0.000000
0.005000,0.002871,0.000000,0.002884,0.076907,1.337508,12.159160,0.000000
0.005000,0.003273,0.000000,0.003286,0.083898,1.398303,12.159160,0.000000
0.005000,0.003711,0.000000,0.003724,0.091194,1.459099,12.159160,0.000000
0.005000,0.004186,0.000000,0.004199,0.098793,1.519895,12.159160,0.000000
0.005000,0.004700,0.000000,0.004712,0.106697,1.580691,12.159160,0.000000
0.005000,0.005254,0.000000,0.005266,0.114904,1.641487,12.159160,0.000000
0.005000,0.005850,0.000000,0.005862,0.123415,1.702282,12.159160,0.000000
0.005000,0.006489,0.000000,0.006501,0.132231,1.763078,12.159160,0.000000
0.005000,0.007173,0.000000,0.007185,0.141350,1.823874,12.159160,0.000000
0.005000,0.007903,0.000000,0.007916,0.150774,1.884670,12.159160,0.000000
