dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,0.000000,0.000000,0.000001,0.000484,0.096762,19.352381,6.283171
0.005000,0.000000,0.000000,0.000006,0.001451,0.193524,19.352381,6.283172
0.005000,0.000000,0.000000,0.000017,0.002903,0.290286,19.352381,6.283174
0.005000,0.000000,0.000000,0.000036,0.004838,0.387048,19.352381,6.283178
0.005000,0.000000,0.000000,0.000067,0.007257,0.483810,19.352381,6.283185
0.005000,0.000041,0.000000,0.000110,0.010160,0.580571,19.352381,0.000008
0.005000,0.000100,0.000000,0.000169,0.013547,0.677333,19.352381,0.000021
0.005000,0.000177,0.000000,0.000247,0.017417,0.774095,19.352381,0.000037
0.005000,0.000275,0.000000,0.000345,0.021771,0.870857,19.352381,0.000057
0.005000,0.000396,0.000000,0.000466,0.026610,0.967619,19.352381,0.000083
0.005000,0.000543,0.000000,0.000612,0.031931,1.064381,19.352381,0.000113
0.005000,0.000717,0.000000,0.000786,0.037737,1.161143,19.352381,0.000149
0.005000,0.000921,0.000000,0.000991,0.044027,1.257905,19.352381,0.000192
0.005000,0.001158,0.000000,0.001228,0.050800,1.354667,19.352381,0.000241
0.005000,0.001430,0.000000,0.001500,0.058057,1.451429,19.352381,0.000298
0.005000,0.001740,0.000000,0.001809,0.065798,1.548190,19.352381,0.000363
0.005000,0.002090,0.000000,0.002159,0.074023,1.644952,19.352381,0.000436
0.005000,0.002481,0.000001,0.002551,0.082731,1.741714,19.352381,0.000517
0.005000,0.002918,0.000001,0.002988,0.091924,1.838476,19.352381,0.000608
0.005000,0.003402,0.000001,0.003471,0.101600,1.935238,19.352381,0.000709
0.005000,0.003935,0.000002,0.004005,0.111760,2.032000,19.352381,0.000821
0.005000,0.004521,0.000002,0.004590,0.122404,2.128762,19.352381,0.000943
0.005000,0.005161,0.000003,0.005230,0.133531,2.225524,19.352381,0.001077
0.005000,0.005857,0.000004,0.005927,0.145143,2.322286,19.352381,0.001223
0.005000,0.006613,0.000005,0.006683,0.157238,2.419048,19.352381,0.001381
0.005000,0.007431,0.000006,0.007500,0.169817,2.515810,19.352381,0.001552
0.005000,0.008313,0.000007,0.008382,0.182880,2.612571,19.352381,0.001737
0.005000,0.009261,0.000009,0.009330,0.196427,2.709333,19.352381,0.001936
0.005000,0.010278,0.000011,0.010347,0.210457,2.806095,19.352381,0.002150
