dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,0.000000,0.000000,0.000001,0.000483,0.096532,19.306493,0.000000
0.005000,0.000000,0.000000,0.000006,0.001448,0.193065,19.306493,0.000000
0.005000,0.000003,0.000000,0.000017,0.002896,0.289597,19.306493,0.000000
0.005000,0.000023,0.000000,0.000036,0.004827,0.386130,19.306493,0.000000
0.005000,0.000053,0.000000,0.000066,0.007240,0.482662,19.306493,0.000000
0.005000,0.000096,0.000000,0.000110,0.010136,0.579195,19.306493,0.000000
0.005000,0.000155,0.000000,0.000169,0.013515,0.675727,19.306493,0.000000
0.005000,0.000233,0.000000,0.000246,0.017376,0.772260,19.306493,0.000000
0.005000,0.000330,0.000000,0.000344,0.021720,0.868792,19.306493,0.000000
0.005000,0.000451,0.000000,0.000465,0.026546,0.965325,19.306493,0.000000
0.005000,0.000597,0.000000,0.000611,0.031856,1.061857,19.306493,0.000000
0.005000,0.000771,0.000000,0.000784,0.037648,1.158390,19.306493,0.000000
0.005000,0.000975,0.000000,0.000988,0.043922,1.254922,19.306493,0.000000
0.005000,0.001211,0.000000,0.001225,0.050680,1.351455,19.306493,0.000000
0.005000,0.001483,0.000000,0.001496,0.057919,1.447987,19.306493,0.000000
0.005000,0.001792,0.000000,0.001805,0.065642,1.544519,19.306493,0.000000
0.005000,0.002140,0.000000,0.002154,0.073847,1.641052,19.306493,0.000000
0.005000,0.002531,0.000000,0.002545,0.082535,1.737584,19.306493,0.000000
0.005000,0.002967,0.000000,0.002980,0.091706,1.834117,19.306493,0.000000
0.005000,0.003450,0.000000,0.003463,0.101359,1.930649,19.306493,0.000000
0.005000,0.003982,0.000000,0.003995,0.111495,2.027182,19.306493,0.000000
0.005000,0.004566,0.000000,0.004579,0.122114,2.123714,19.306493,0.000000
0.005000,0.005204,0.000000,0.005218,0.133215,2.220247,19.306493,0.000000
0.005000,0.005899,0.000000,0.005913,0.144799,2.316779,19.306493,0.000000
0.005000,0.006653,0.000000,0.006667,0.156865,2.413312,19.306493,0.000000
0.005000,0.007469,0.000000,0.007482,0.169414,2.509844,19.306493,0.000000
0.005000,0.008349,0.000000,0.008362,0.182446,2.606377,19.306493,0.000000
0.005000,0.009295,0.000000,0.009308,0.195961,2.702909,19.306493,0.000000
0.005000,0.010309,0.000000,0.010323,0.209958,2.799442,19.306493,0.000000
0.005000,0.011395,0.000000,0.011409,0.224438,2.895974,19.306493,0.000000
0.005000,0.012555,0.000000,0.012569,0.239401,2.992506,19.306493,0.000000
0.005000,0.013791,0.000000,0.013804,0.254846,3.089039,19.306493,0.000000
0.005000,0.015105,0.000000,0.015118,0.270774,3.185571,19.306493,0.000000
0.005000,0.016500,0.000000,0.016513,0.287184,3.282104,19.306493,0.000000
0.005000,0.017978,0.000000,0.017991,0.304077,3.378636,19.306493,0.000000
0.005000,0.019542,0.000000,0.019555,0.321453,3.475169,19.306493,0.000000
0.005000,0.021194,0.000000,0.021207,0.339312,3.571701,19.306493,0.000000
0.005000,0.022936,0.000000,0.022949,0.357653,3.668234,19.306493,0.000000
0.005000,0.024771,0.000000,0.024785,0.376477,3.764766,19.306493,0.000000
0.005000,0.026702,0.000000,0.026715,0.395783,3.861299,19.306493,0.000000
0.005000,0.028730,0.000000,0.028744,0.415572,3.957831,19.306493,0.000000
0.005000,0.030859,0.000000,0.030872,0.435844,4.054364,19.306493,0.000000
0.005000,0.033090,0.000000,0.033103,0.456599,4.150896,19.306493,0.000000
0.005000,0.035426,0.000000,0.035439,0.477836,4.247429,19.306493,0.000000
0.005000,0.037869,0.000000,0.037883,0.499556,4.343961,19.306493,0.000000
0.005000,0.040423,0.000000,0.040436,0.521758,4.440493,19.306493,0.000000
0.005000,0.043088,0.000000,0.043102,0.544443,4.537026,19.306493,0.000000
0.005000,0.045868,0.000000,0.045882,0.567611,4.633558,19.306493,0.000000
0.005000,0.048766,0.000000,0.048779,0.591261,4.730091,19.306493,0.000000
0.005000,0.051782,0.000000,0.051796,0.615394,4.826623,19.306493,0.000000
0.005000,0.054921,0.000000,0.054934,0.640010,4.923156,19.306493,0.000000
0.005000,0.058184,0.000000,0.058197,0.665109,5.019688,19.306493,0.000000
0.005000,0.061573,0.000000,0.061587,0.690690,5.116221,19.306493,0.000000
0.005000,0.065092,0.000000,0.065105,0.716754,5.212753,19.306493,0.000000
0.005000,0.068742,0.000000,0.068755,0.743300,5.309286,19.306493,0.000000
0.005000,0.072526,0.000000,0.072539,0.770329,5.405818,19.306493,0.000000
0.005000,0.076446,0.000000,0.076460,0.797841,5.502351,19.306493,0.000000
0.005000,0.080505,0.000000,0.080519,0.825835,5.598883,19.306493,0.000000
0.005000,0.084706,0.000000,0.084719,0.854312,5.695416,19.306493,0.000000
0.005000,0.089050,0.000000,0.089063,0.883272,5.791948,19.306493,0.000000
0.005000,0.093540,0.000000,0.093553,0.912714,5.888480,19.306493,0.000000
0.005000,0.098178,0.000000,0.098192,0.942640,5.985013,19.306493,0.000000
0.005000,0.102967,0.000000,0.102981,0.973047,6.081545,19.306493,0.000000
0.005000,0.107909,0.000000,0.107922,1.003455,6.081545,0.000000,0.000000
0.005000,0.113002,0.000000,0.113015,1.033863,6.081545,-0.000000,0.000000
0.005000,0.118247,0.000000,0.118261,1.064270,6.081545,0.000000,0.000000
0.005000,0.123645,0.000000,0.123658,1.094678,6.081545,0.000000,0.000000
0.005000,0.129194,0.000000,0.129208,1.125086,6.081545,-0.000000,0.000000
0.005000,0.134895,0.000000,0.134909,1.155494,6.081545,0.000000,0.000000
0.005000,0.140749,0.000000,0.140762,1.185901,6.081545,0.000000,0.000000
0.005000,0.146755,0.000000,0.146768,1.216309,6.081545,0.000000,0.000000
0.005000,0.152912,0.000000,0.152926,1.246717,6.081545,-0.000000,0.000000
0.005000,0.159222,0.000000,0.159235,1.277125,6.081545,0.000000,0.000000
0.005000,0.165683,0.000000,0.165697,1.307532,6.081545,-0.000000,0.000000
0.005000,0.172297,0.000000,0.172310,1.337940,6.081545,0.000000,0.000000
0.005000,0.179063,0.000000,0.179076,1.368348,6.081545,-0.000000,0.000000
0.005000,0.185980,0.000000,0.185994,1.398755,6.081545,0.000000,0.000000
0.005000,0.193050,0.000000,0.193064,1.429163,6.081545,-0.000000,0.000000
0.005000,0.200272,0.000000,0.200286,1.459571,6.081545,0.000000,0.000000
0.005000,0.207646,0.000000,0.207659,1.489979,6.081545,-0.000000,0.000000
0.005000,0.215172,0.000000,0.215185,1.520386,6.081545,0.000000,0.000000
0.005000,0.222850,0.000000,0.222863,1.550794,6.081545,0.000000,0.000000
0.005000,0.230680,0.000000,0.230693,1.581202,6.081545,0.000000,0.000000
0.005000,0.238662,0.000000,0.238675,1.611610,6.081545,-0.000000,0.000000
0.005000,0.246796,0.000000,0.246809,1.642017,6.081545,0.000000,0.000000
0.005000,0.255082,0.000000,0.255095,1.672425,6.081545,0.000000,0.000000
0.005000,0.263520,0.000000,0.263534,1.702833,6.081545,-0.000000,0.000000
0.005000,0.272110,0.000000,0.272124,1.733240,6.081545,0.000000,0.000000
0.005000,0.280853,0.000000,0.280866,1.763648,6.081545,-0.000000,0.000000
0.005000,0.289747,0.000000,0.289760,1.794056,6.081545,0.000000,0.000000
0.005000,0.298793,0.000000,0.298807,1.824464,6.081545,-0.000000,0.000000
0.005000,0.307991,0.000000,0.308005,1.854871,6.081545,0.000000,0.000000
0.005000,0.317342,0.000000,0.317355,1.885279,6.081545,-0.000000,0.000000
0.005000,0.326844,0.000000,0.326858,1.915687,6.081545,0.000000,0.000000
0.005000,0.336499,0.000000,0.336512,1.946095,6.081545,-0.000000,0.000000
0.005000,0.346305,0.000000,0.346319,1.976502,6.081545,0.000000,0.000000
0.005000,0.356264,0.000000,0.356277,2.006910,6.081545,0.000000,0.000000
0.005000,0.366374,0.000000,0.366388,2.037318,6.081545,0.000000,0.000000
0.005000,0.376637,0.000000,0.376650,2.067725,6.081545,-0.000000,0.000000
0.005000,0.387052,0.000000,0.387065,2.098133,6.081545,0.000000,0.000000
0.005000,0.397618,0.000000,0.397632,2.128541,6.081545,-0.000000,0.000000
0.005000,0.408337,0.000000,0.408350,2.158949,6.081545,0.000000,0.000000
0.005000,0.419208,0.000000,0.419221,2.189356,6.081545,0.000000,0.000000
0.005000,0.430231,0.000000,0.430244,2.219764,6.081545,-0.000000,0.000000
0.005000,0.441405,0.000000,0.441419,2.250172,6.081545,0.000000,0.000000
0.005000,0.452732,0.000000,0.452746,2.280580,6.081545,0.000000,0.000000
0.005000,0.464211,0.000000,0.464225,2.310987,6.081545,-0.000000,0.000000
0.005000,0.475842,0.000000,0.475856,2.341395,6.081545,0.000000,0.000000
0.005000,0.487625,0.000000,0.487639,2.371803,6.081545,-0.000000,0.000000
0.005000,0.499560,0.000000,0.499574,2.402210,6.081545,0.000000,0.000000
0.005000,0.511647,0.000000,0.511661,2.432618,6.081545,0.000000,0.000000
0.005000,0.523886,0.000000,0.523900,2.463026,6.081545,-0.000000,0.000000
0.005000,0.536277,0.000000,0.536291,2.493434,6.081545,0.000000,0.000000
0.005000,0.548821,0.000000,0.548834,2.523841,6.081545,0.000000,0.000000
0.005000,0.561516,0.000000,0.561529,2.554249,6.081545,-0.000000,0.000000
0.005000,0.574363,0.000000,0.574377,2.584657,6.081545,0.000000,0.000000
0.005000,0.587361,0.000000,0.587375,2.614582,5.985013,-19.306493,0.000000
0.005000,0.600508,0.000000,0.600521,2.644024,5.888480,-19.306493,0.000000
0.005000,0.613800,0.000000,0.613814,2.672984,5.791948,-19.306493,0.000000
0.005000,0.627236,0.000000,0.627250,2.701461,5.695416,-19.306493,0.000000
0.005000,0.640814,0.000000,0.640827,2.729455,5.598883,-19.306493,0.000000
0.005000,0.654530,0.000000,0.654543,2.756967,5.502351,-19.306493,0.000000
0.005000,0.668382,0.000000,0.668396,2.783996,5.405818,-19.306493,0.000000
0.005000,0.682369,0.000000,0.682382,2.810543,5.309286,-19.306493,0.000000
0.005000,0.696486,0.000000,0.696500,2.836607,5.212753,-19.306493,0.000000
0.005000,0.710733,0.000000,0.710747,2.862188,5.116221,-19.306493,0.000000
0.005000,0.725107,0.000000,0.725121,2.887286,5.019688,-19.306493,0.000000
0.005000,0.739605,0.000000,0.739618,2.911902,4.923156,-19.306493,0.000000
0.005000,0.754225,0.000000,0.754238,2.936035,4.826623,-19.306493,0.000000
0.005000,0.768964,0.000000,0.768978,2.959685,4.730091,-19.306493,0.000000
0.005000,0.783821,0.000000,0.783834,2.982853,4.633558,-19.306493,0.000000
0.005000,0.798791,0.000000,0.798805,3.005538,4.537026,-19.306493,0.000000
0.005000,0.813875,0.000000,0.813888,3.027741,4.440493,-19.306493,0.000000
0.005000,0.829068,0.000000,0.829081,3.049461,4.343961,-19.306493,0.000000
0.005000,0.844368,0.000000,0.844382,3.070698,4.247429,-19.306493,0.000000
0.005000,0.859773,0.000000,0.859787,3.091452,4.150896,-19.306493,0.000000
0.005000,0.875281,0.000000,0.875295,3.111724,4.054364,-19.306493,0.000000
0.005000,0.890890,0.000000,0.890903,3.131513,3.957831,-19.306493,0.000000
0.005000,0.906595,0.000000,0.906609,3.150820,3.861299,-19.306493,0.000000
0.005000,0.922396,0.000000,0.922410,3.169644,3.764766,-19.306493,0.000000
0.005000,0.938291,0.000000,0.938304,3.187985,3.668234,-19.306493,0.000000
0.005000,0.954275,0.000000,0.954289,3.205843,3.571701,-19.306493,0.000000
0.005000,0.970348,0.000000,0.970361,3.223219,3.475169,-19.306493,0.000000
0.005000,0.986506,0.000000,0.986520,3.240112,3.378636,-19.306493,0.000000
0.005000,1.002748,0.000000,1.002761,3.256523,3.282104,-19.306493,0.000000
0.005000,1.019070,0.000000,1.019084,3.272451,3.185571,-19.306493,0.000000
0.005000,1.035471,0.000000,1.035484,3.287896,3.089039,-19.306493,0.000000
0.005000,1.051948,0.000000,1.051961,3.302858,2.992506,-19.306493,0.000000
0.005000,1.068498,0.000000,1.068512,3.317338,2.895974,-19.306493,0.000000
0.005000,1.085120,0.000000,1.085134,3.331335,2.799442,-19.306493,0.000000
0.005000,1.101811,0.000000,1.101824,3.344850,2.702909,-19.306493,0.000000
0.005000,1.118567,0.000000,1.118581,3.357882,2.606377,-19.306493,0.000000
0.005000,1.135388,0.000000,1.135402,3.370431,2.509844,-19.306493,0.000000
0.005000,1.152270,0.000000,1.152284,3.382498,2.413312,-19.306493,0.000000
0.005000,1.169212,0.000000,1.169225,3.394082,2.316779,-19.306493,0.000000
0.005000,1.186210,0.000000,1.186224,3.405183,2.220247,-19.306493,0.000000
0.005000,1.203263,0.000000,1.203276,3.415801,2.123714,-19.306493,0.000000
0.005000,1.220367,0.000000,1.220380,3.425937,2.027182,-19.306493,0.000000
0.005000,1.237521,0.000000,1.237534,3.435590,1.930649,-19.306493,0.000000
0.005000,1.254722,0.000000,1.254735,3.444761,1.834117,-19.306493,0.000000
0.005000,1.271967,0.000000,1.271981,3.453449,1.737584,-19.306493,0.000000
0.005000,1.289255,0.000000,1.289268,3.461654,1.641052,-19.306493,0.000000
0.005000,1.306582,0.000000,1.306596,3.469377,1.544519,-19.306493,0.000000
0.005000,1.323947,0.000000,1.323961,3.476617,1.447987,-19.306493,0.000000
0.005000,1.341347,0.000000,1.341361,3.483374,1.351455,-19.306493,0.000000
0.005000,1.358759,-0.000044,1.358793,3.489649,1.254922,-19.306493,6.276116
0.005000,1.376221,-0.000254,1.376256,3.495441,1.158390,-19.306493,6.266167
0.005000,1.393707,-0.000640,1.393747,3.500750,1.061857,-19.306493,6.256061
0.005000,1.411214,-0.001205,1.411262,3.505577,0.965325,-19.306493,6.245799
0.005000,1.428736,-0.001952,1.428801,3.509920,0.868792,-19.306493,6.235384
0.005000,1.446271,-0.002883,1.446360,3.513782,0.772260,-19.306493,6.224816
0.005000,1.463812,-0.004002,1.463938,3.517160,0.675727,-19.306493,6.214097
0.005000,1.481357,-0.005312,1.481531,3.520056,0.579195,-19.306493,6.203230
0.005000,1.498899,-0.006814,1.499137,3.522470,0.482662,-19.306493,6.192218
0.005000,1.516434,-0.008512,1.516754,3.524400,0.386130,-19.306493,6.181063
0.005000,1.533957,-0.010408,1.534380,3.525848,0.289597,-19.306493,6.169769
0.005000,1.551464,-0.012503,1.552012,3.526814,0.193065,-19.306493,6.158339
0.005000,1.568948,-0.014800,1.569647,3.527296,0.096532,-19.306493,6.146777
0.005000,1.586406,-0.017300,1.587282,3.526922,-0.074818,-34.270078,6.135089
0.005000,1.603830,-0.020005,1.604915,3.526065,-0.171350,-19.306493,6.123281
0.005000,1.621215,-0.022915,1.622542,3.524726,-0.267883,-19.306493,6.111356
0.005000,1.638556,-0.026032,1.640161,3.522904,-0.364415,-19.306493,6.099322
0.005000,1.655848,-0.029356,1.657770,3.520599,-0.460948,-19.306493,6.087184
0.005000,1.673085,-0.032888,1.675366,3.517812,-0.557480,-19.306493,6.074948
0.005000,1.690264,-0.036629,1.692947,3.514542,-0.654013,-19.306493,6.062622
0.005000,1.707377,-0.040577,1.710510,3.510789,-0.750545,-19.306493,6.050211
0.005000,1.724421,-0.044734,1.728053,3.506554,-0.847078,-19.306493,6.037725
0.005000,1.741390,-0.049098,1.745574,3.501836,-0.943610,-19.306493,6.025169
0.005000,1.758278,-0.053669,1.763070,3.496635,-1.040143,-19.306493,6.012554
0.005000,1.775081,-0.058445,1.780539,3.490952,-1.136675,-19.306493,5.999885
0.005000,1.791794,-0.063426,1.797979,3.484786,-1.233208,-19.306493,5.987173
0.005000,1.808411,-0.068610,1.815386,3.478137,-1.329740,-19.306493,5.974426
0.005000,1.824929,-0.073995,1.832759,3.471005,-1.426272,-19.306493,5.961652
0.005000,1.841341,-0.079578,1.850095,3.463391,-1.522805,-19.306493,5.948862
0.005000,1.857643,-0.085358,1.867392,3.455295,-1.619337,-19.306493,5.936062
0.005000,1.873831,-0.091332,1.884647,3.446715,-1.715870,-19.306493,5.923264
0.005000,1.889900,-0.097496,1.901858,3.437653,-1.812402,-19.306493,5.910476
0.005000,1.905845,-0.103849,1.919022,3.428109,-1.908935,-19.306493,5.897707
0.005000,1.921663,-0.110385,1.936137,3.418081,-2.005467,-19.306493,5.884967
0.005000,1.937350,-0.117102,1.953202,3.407571,-2.102000,-19.306493,5.872265
0.005000,1.952901,-0.123995,1.970212,3.396579,-2.198532,-19.306493,5.859609
0.005000,1.968312,-0.131061,1.987166,3.385103,-2.295065,-19.306493,5.847008
0.005000,1.983581,-0.138295,2.004062,3.373145,-2.391597,-19.306493,5.834472
0.005000,1.998703,-0.145692,2.020896,3.360705,-2.488130,-19.306493,5.822009
0.005000,2.013676,-0.153248,2.037668,3.347781,-2.584662,-19.306493,5.809626
0.005000,2.028495,-0.160958,2.054373,3.334375,-2.681195,-19.306493,5.797332
0.005000,2.043159,-0.168816,2.071010,3.320487,-2.777727,-19.306493,5.785135
0.005000,2.057665,-0.176818,2.087577,3.306116,-2.874259,-19.306493,5.773041
0.005000,2.072010,-0.184958,2.104070,3.291262,-2.970792,-19.306493,5.761059
0.005000,2.086191,-0.193231,2.120488,3.275925,-3.067324,-19.306493,5.749194
0.005000,2.100207,-0.201630,2.136828,3.260106,-3.163857,-19.306493,5.737454
0.005000,2.114056,-0.210150,2.153088,3.243804,-3.260389,-19.306493,5.725843
0.005000,2.127736,-0.218785,2.169265,3.227019,-3.356922,-19.306493,5.714368
0.005000,2.141244,-0.227529,2.185357,3.209752,-3.453454,-19.306493,5.703033
0.005000,2.154580,-0.236377,2.201361,3.192002,-3.549987,-19.306493,5.691845
0.005000,2.167743,-0.245322,2.217276,3.173769,-3.646519,-19.306493,5.680806
0.005000,2.180731,-0.254358,2.233098,3.155054,-3.743052,-19.306493,5.669922
0.005000,2.193544,-0.263478,2.248825,3.135856,-3.839584,-19.306493,5.659195
0.005000,2.206180,-0.272677,2.264455,3.116176,-3.936117,-19.306493,5.648630
0.005000,2.218639,-0.281949,2.279986,3.096012,-4.032649,-19.306493,5.638228
0.005000,2.230920,-0.291287,2.295414,3.075366,-4.129182,-19.306493,5.627994
0.005000,2.243024,-0.300685,2.310738,3.054238,-4.225714,-19.306493,5.617928
0.005000,2.254950,-0.310138,2.325955,3.032627,-4.322246,-19.306493,5.608032
0.005000,2.266697,-0.319637,2.341063,3.010533,-4.418779,-19.306493,5.598309
0.005000,2.278266,-0.329179,2.356059,2.987956,-4.515311,-19.306493,5.588760
0.005000,2.289657,-0.338756,2.370941,2.964897,-4.611844,-19.306493,5.579385
0.005000,2.300870,-0.348363,2.385707,2.941355,-4.708376,-19.306493,5.570185
0.005000,2.311905,-0.357994,2.400354,2.917330,-4.804909,-19.306493,5.561161
0.005000,2.322763,-0.367642,2.414879,2.892823,-4.901441,-19.306493,5.552313
0.005000,2.333445,-0.377302,2.429281,2.867833,-4.997974,-19.306493,5.543640
0.005000,2.343950,-0.386967,2.443556,2.842361,-5.094506,-19.306493,5.535142
0.005000,2.354280,-0.396633,2.457703,2.816406,-5.191039,-19.306493,5.526820
0.005000,2.364435,-0.406294,2.471719,2.789968,-5.287571,-19.306493,5.518671
0.005000,2.374415,-0.415943,2.485602,2.763047,-5.384104,-19.306493,5.510696
0.005000,2.384223,-0.425576,2.499348,2.735644,-5.480636,-19.306493,5.502893
0.005000,2.393858,-0.435186,2.512957,2.707758,-5.577169,-19.306493,5.495262
0.005000,2.403321,-0.444769,2.526425,2.679390,-5.673701,-19.306493,5.487800
0.005000,2.412614,-0.454318,2.539750,2.650539,-5.770233,-19.306493,5.480506
0.005000,2.421737,-0.463830,2.552929,2.621205,-5.866766,-19.306493,5.473379
0.005000,2.430691,-0.473298,2.565961,2.591388,-5.963298,-19.306493,5.466418
0.005000,2.439477,-0.482717,2.578842,2.561089,-6.059831,-19.306493,5.459620
0.005000,2.448097,-0.492084,2.591571,2.530681,-6.081545,-4.342908,5.452983
0.005000,2.456553,-0.501394,2.604149,2.500274,-6.081545,0.000000,5.446505
0.005000,2.464848,-0.510646,2.616574,2.469866,-6.081545,0.000000,5.440182
0.005000,2.472984,-0.519835,2.628847,2.439458,-6.081545,-0.000000,5.434011
0.005000,2.480964,-0.528959,2.640968,2.409051,-6.081545,-0.000000,5.427989
0.005000,2.488790,-0.538015,2.652938,2.378643,-6.081545,0.000000,5.422113
0.005000,2.496464,-0.547001,2.664755,2.348235,-6.081545,0.000000,5.416381
0.005000,2.503990,-0.555914,2.676420,2.317827,-6.081545,-0.000000,5.410789
0.005000,2.511368,-0.564751,2.687933,2.287420,-6.081545,0.000000,5.405334
0.005000,2.518603,-0.573512,2.699294,2.257012,-6.081545,0.000000,5.400014
0.005000,2.525695,-0.582192,2.710503,2.226604,-6.081545,-0.000000,5.394825
0.005000,2.532646,-0.590790,2.721560,2.196196,-6.081545,0.000000,5.389765
0.005000,2.539460,-0.599304,2.732465,2.165789,-6.081545,0.000000,5.384832
0.005000,2.546138,-0.607733,2.743218,2.135381,-6.081545,0.000000,5.380022
0.005000,2.552681,-0.616073,2.753819,2.104973,-6.081545,0.000000,5.375332
0.005000,2.559093,-0.624323,2.764268,2.074566,-6.081545,0.000000,5.370761
0.005000,2.565375,-0.632482,2.774565,2.044158,-6.081545,0.000000,5.366306
0.005000,2.571528,-0.640547,2.784709,2.013750,-6.081545,0.000000,5.361964
0.005000,2.577556,-0.648518,2.794702,1.983342,-6.081545,-0.000000,5.357732
0.005000,2.583458,-0.656391,2.804543,1.952935,-6.081545,0.000000,5.353609
0.005000,2.589238,-0.664167,2.814232,1.922527,-6.081545,0.000000,5.349592
0.005000,2.594897,-0.671843,2.823768,1.892119,-6.081545,-0.000000,5.345679
0.005000,2.600436,-0.679419,2.833153,1.861711,-6.081545,0.000000,5.341868
0.005000,2.605858,-0.686892,2.842385,1.831304,-6.081545,-0.000000,5.338156
0.005000,2.611163,-0.694261,2.851466,1.800896,-6.081545,0.000000,5.334542
0.005000,2.616354,-0.701526,2.860394,1.770488,-6.081545,-0.000000,5.331023
0.005000,2.621431,-0.708685,2.869171,1.740081,-6.081545,0.000000,5.327597
0.005000,2.626397,-0.715736,2.877795,1.709673,-6.081545,0.000000,5.324262
0.005000,2.631252,-0.722679,2.886267,1.679265,-6.081545,0.000000,5.321018
0.005000,2.635998,-0.729513,2.894588,1.648857,-6.081545,-0.000000,5.317860
0.005000,2.640637,-0.736236,2.902756,1.618450,-6.081545,0.000000,5.314789
0.005000,2.645169,-0.742848,2.910772,1.588042,-6.081545,-0.000000,5.311802
0.005000,2.649596,-0.749348,2.918636,1.557634,-6.081545,0.000000,5.308897
0.005000,2.653920,-0.755734,2.926349,1.527226,-6.081545,-0.000000,5.306073
0.005000,2.658140,-0.762007,2.933909,1.496819,-6.081545,0.000000,5.303328
0.005000,2.662259,-0.768164,2.941317,1.466411,-6.081545,0.000000,5.300661
0.005000,2.666278,-0.774205,2.948573,1.436003,-6.081545,0.000000,5.298070
0.005000,2.670197,-0.780130,2.955677,1.405596,-6.081545,0.000000,5.295554
0.005000,2.674019,-0.785938,2.962629,1.375188,-6.081545,0.000000,5.293111
0.005000,2.677742,-0.791628,2.969429,1.344780,-6.081545,0.000000,5.290739
0.005000,2.681370,-0.797199,2.976076,1.314372,-6.081545,-0.000000,5.288439
0.005000,2.684902,-0.802650,2.982572,1.283965,-6.081545,0.000000,5.286208
0.005000,2.688340,-0.807982,2.988916,1.253557,-6.081545,-0.000000,5.284044
0.005000,2.691685,-0.813192,2.995108,1.223149,-6.081545,0.000000,5.281948
0.005000,2.694936,-0.818282,3.001148,1.192741,-6.081545,-0.000000,5.279917
0.005000,2.698096,-0.823250,3.007035,1.162334,-6.081545,0.000000,5.277951
0.005000,2.701166,-0.828095,3.012771,1.131926,-6.081545,-0.000000,5.276048
0.005000,2.704144,-0.832818,3.018355,1.101518,-6.081545,0.000000,5.274207
0.005000,2.707034,-0.837417,3.023786,1.071111,-6.081545,-0.000000,5.272428
0.005000,2.709835,-0.841892,3.029066,1.040703,-6.081545,0.000000,5.270710
0.005000,2.712547,-0.846244,3.034193,1.010295,-6.081545,0.000000,5.269050
0.005000,2.715173,-0.850470,3.039169,0.979887,-6.081545,-0.000000,5.267449
0.005000,2.717712,-0.854571,3.043992,0.949480,-6.081545,0.000000,5.265906
0.005000,2.720165,-0.858548,3.048664,0.919446,-6.006727,14.963585,5.264420
0.005000,2.722534,-0.862401,3.053188,0.889895,-5.910195,19.306493,5.262988
0.005000,2.724821,-0.866132,3.057565,0.860827,-5.813663,19.306493,5.261610
0.005000,2.727029,-0.869744,3.061797,0.832241,-5.717130,19.306493,5.260283
0.005000,2.729157,-0.873238,3.065888,0.804138,-5.620598,19.306493,5.259008
0.005000,2.731209,-0.876615,3.069840,0.776518,-5.524065,19.306493,5.257781
0.005000,2.733186,-0.879877,3.073655,0.749380,-5.427533,19.306493,5.256602
0.005000,2.735090,-0.883027,3.077335,0.722725,-5.331000,19.306493,5.255470
0.005000,2.736922,-0.886065,3.080883,0.696553,-5.234468,19.306493,5.254383
0.005000,2.738684,-0.888995,3.084302,0.670863,-5.137935,19.306493,5.253340
0.005000,2.740377,-0.891817,3.087593,0.645656,-5.041403,19.306493,5.252340
0.005000,2.742004,-0.894534,3.090759,0.620932,-4.944870,19.306493,5.251381
0.005000,2.743565,-0.897147,3.093803,0.596690,-4.848338,19.306493,5.250462
0.005000,2.745062,-0.899659,3.096727,0.572931,-4.751805,19.306493,5.249583
0.005000,2.746498,-0.902070,3.099534,0.549655,-4.655273,19.306493,5.248742
0.005000,2.747872,-0.904384,3.102225,0.526861,-4.558740,19.306493,5.247938
0.005000,2.749187,-0.906602,3.104804,0.504550,-4.462208,19.306493,5.247170
0.005000,2.750444,-0.908726,3.107272,0.482721,-4.365676,19.306493,5.246437
0.005000,2.751645,-0.910758,3.109632,0.461376,-4.269143,19.306493,5.245738
0.005000,2.752790,-0.912700,3.111887,0.440513,-4.172611,19.306493,5.245073
0.005000,2.753883,-0.914554,3.114038,0.420132,-4.076078,19.306493,5.244439
0.005000,2.754922,-0.916322,3.116089,0.400235,-3.979546,19.306493,5.243836
0.005000,2.755912,-0.918006,3.118042,0.380820,-3.883013,19.306493,5.243264
0.005000,2.756851,-0.919607,3.119899,0.361887,-3.786481,19.306493,5.242721
0.005000,2.757743,-0.921128,3.121662,0.343437,-3.689948,19.306493,5.242206
0.005000,2.758587,-0.922572,3.123334,0.325470,-3.593416,19.306493,5.241719
0.005000,2.759387,-0.923939,3.124918,0.307986,-3.496883,19.306493,5.241259
0.005000,2.760142,-0.925232,3.126415,0.290984,-3.400351,19.306493,5.240824
0.005000,2.760855,-0.926453,3.127829,0.274465,-3.303818,19.306493,5.240415
0.005000,2.761526,-0.927604,3.129161,0.258429,-3.207286,19.306493,5.240029
0.005000,2.762156,-0.928686,3.130415,0.242875,-3.110753,19.306493,5.239667
0.005000,2.762748,-0.929703,3.131591,0.227804,-3.014221,19.306493,5.239328
0.005000,2.763303,-0.930656,3.132694,0.213215,-2.917689,19.306493,5.239010
0.005000,2.763821,-0.931548,3.133725,0.199110,-2.821156,19.306493,5.238714
0.005000,2.764303,-0.932379,3.134686,0.185486,-2.724624,19.306493,5.238438
0.005000,2.764753,-0.933153,3.135581,0.172346,-2.628091,19.306493,5.238181
0.005000,2.765169,-0.933871,3.136411,0.159688,-2.531559,19.306493,5.237943
0.005000,2.765554,-0.934535,3.137179,0.147513,-2.435026,19.306493,5.237723
