dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,0.000000,0.000000,0.000001,0.000449,0.089861,17.972257,0.000000
0.005000,0.000005,0.000000,0.000006,0.001348,0.179723,17.972257,0.000000
0.005000,0.000015,0.000000,0.000016,0.002696,0.269584,17.972257,0.000000
0.005000,0.000033,0.000000,0.000034,0.004493,0.359445,17.972257,0.000000
0.005000,0.000061,0.000000,0.000062,0.006740,0.449306,17.972257,0.000000
0.005000,0.000101,0.000000,0.000102,0.009435,0.539168,17.972257,0.000000
0.005000,0.000156,0.000000,0.000157,0.012581,0.629029,17.972257,0.000000
0.005000,0.000228,0.000000,0.000229,0.016175,0.718890,17.972257,0.000000
0.005000,0.000319,0.000000,0.000320,0.020219,0.808752,17.972257,0.000000
0.005000,0.000431,0.000000,0.000432,0.024712,0.898613,17.972257,0.000000
0.005000,0.000566,0.000000,0.000567,0.029205,0.898613,0.000000,0.000000
0.005000,0.000723,0.000000,0.000725,0.033698,0.898613,0.000000,0.000000
0.005000,0.000903,0.000000,0.000904,0.038191,0.898613,-0.000000,0.000000
0.005000,0.001105,0.000000,0.001106,0.042684,0.898613,0.000000,0.000000
0.005000,0.001330,0.000000,0.001331,0.047177,0.898613,0.000000,0.000000
0.005000,0.001577,0.000000,0.001578,0.051670,0.898613,-0.000000,0.000000
0.005000,0.001847,0.000000,0.001848,0.056163,0.898613,0.000000,0.000000
0.005000,0.002139,0.000000,0.002140,0.060656,0.898613,0.000000,0.000000
0.005000,0.002453,0.000000,0.002454,0.065149,0.898613,-0.000000,0.000000
0.005000,0.002790,0.000000,0.002791,0.069642,0.898613,0.000000,0.000000
0.005000,0.003150,0.000000,0.003151,0.074136,0.898613,0.000000,0.000000
0.005000,0.003532,0.000000,0.003533,0.078629,0.898613,0.000000,0.000000
0.005000,0.003936,0.000000,0.003937,0.083122,0.898613,0.000000,0.000000
0.005000,0.004363,0.000000,0.004364,0.087615,0.898613,-0.000000,0.000000
0.005000,0.004812,0.000000,0.004813,0.092108,0.898613,0.000000,0.000000
0.005000,0.005284,0.000000,0.005285,0.096601,0.898613,0.000000,0.000000
0.005000,0.005778,0.000000,0.005779,0.101094,0.898613,-0.000000,0.000000
0.005000,0.006295,0.000000,0.006296,0.105587,0.898613,0.000000,0.000000
0.005000,0.006834,0.000000,0.006835,0.110080,0.898613,-0.000000,0.000000
0.005000,0.007396,0.000000,0.007397,0.114573,0.898613,0.000000,0.000000
0.005000,0.007980,0.000000,0.007981,0.119066,0.898613,0.000000,0.000000
0.005000,0.008586,0.000000,0.008587,0.123559,0.898613,-0.000000,0.000000
0.005000,0.009215,0.000000,0.009216,0.128052,0.898613,0.000000,0.000000
0.005000,0.009867,0.000000,0.009868,0.132545,0.898613,-0.000000,0.000000
0.005000,0.010541,0.000000,0.010542,0.137038,0.898613,0.000000,0.000000
0.005000,0.011237,0.000000,0.011238,0.141532,0.898613,-0.000000,0.000000
0.005000,0.011956,0.000000,0.011957,0.146025,0.898613,0.000000,0.000000
0.005000,0.012698,0.000000,0.012699,0.150518,0.898613,-0.000000,0.000000
0.005000,0.013461,0.000000,0.013462,0.155011,0.898613,0.000000,0.000000
0.005000,0.014248,0.000000,0.014249,0.159504,0.898613,-0.000000,0.000000
0.005000,0.015056,0.000000,0.015057,0.163997,0.898613,0.000000,0.000000
0.005000,0.015888,0.000000,0.015889,0.168490,0.898613,-0.000000,0.000000
0.005000,0.016741,0.000000,0.016742,0.172983,0.898613,0.000000,0.000000
0.005000,0.017617,0.000000,0.017618,0.177476,0.898613,-0.000000,0.000000
0.005000,0.018516,0.000000,0.018517,0.181969,0.898613,0.000000,0.000000
0.005000,0.019437,0.000000,0.019438,0.186462,0.898613,0.000000,0.000000
0.005000,0.020381,0.000000,0.020382,0.190955,0.898613,0.000000,0.000000
0.005000,0.021347,0.000000,0.021348,0.195448,0.898613,-0.000000,0.000000
0.005000,0.022335,0.000000,0.022336,0.199941,0.898613,0.000000,0.000000
0.005000,0.023346,0.000000,0.023347,0.204434,0.898613,-0.000000,0.000000
0.005000,0.024379,0.000000,0.024380,0.208927,0.898613,0.000000,0.000000
0.005000,0.025435,0.000000,0.025436,0.213421,0.898613,0.000000,0.000000
0.005000,0.026514,0.000000,0.026515,0.217914,0.898613,0.000000,0.000000
0.005000,0.027614,0.000000,0.027615,0.222407,0.898613,-0.000000,0.000000
0.005000,0.028738,0.000000,0.028739,0.226900,0.898613,0.000000,0.000000
0.005000,0.029883,0.000000,0.029884,0.231393,0.898613,-0.000000,0.000000
0.005000,0.031052,0.000000,0.031053,0.235886,0.898613,0.000000,0.000000
0.005000,0.032242,0.000000,0.032243,0.240379,0.898613,-0.000000,0.000000
0.005000,0.033455,0.000000,0.033456,0.244872,0.898613,0.000000,0.000000
0.005000,0.034691,0.000000,0.034692,0.249365,0.898613,-0.000000,0.000000
0.005000,0.035949,0.000000,0.035950,0.253858,0.898613,0.000000,0.000000
0.005000,0.037230,0.000000,0.037231,0.258351,0.898613,0.000000,0.000000
0.005000,0.038533,0.000000,0.038534,0.262844,0.898613,0.000000,0.000000
0.005000,0.039857,0.000000,0.039858,0.266888,0.808752,-17.972257,0.000000
0.005000,0.041200,0.000000,0.041201,0.270482,0.718890,-17.972257,0.000000
